Group,best_Global LDDT_v1_ref,best_model_v1_ref,best_version_v1_ref,best_model_v2_ref,best_version_v2_ref,best_Global LDDT_v2_ref,best_v1_ref,best_v2_ref,Combined_Score
TS198,0.7667,T1228v1TS198_3,v1,T1228v2TS198_2,v2,0.7305,0.7667,0.7305,1.4972
TS475,0.7643,T1228v1TS475_5,v1,T1228v2TS475_4,v2,0.731,0.7643,0.731,1.4952999999999999
TS017,0.7654,T1228v1TS017_4,v1,T1228v2TS017_2,v2,0.7298,0.7654,0.7298,1.4952
TS301,0.7579,T1228v1TS301_3,v1,T1228v2TS301_4,v2,0.7366,0.7579,0.7366,1.4945
TS159,0.7598,T1228v1TS159_1,v1,T1228v2TS159_1,v2,0.7343,0.7598,0.7343,1.4941
TS325,0.7598,T1228v1TS325_1,v1,T1228v2TS325_1,v2,0.7343,0.7598,0.7343,1.4941
TS456,0.7631,T1228v1TS456_1,v1,T1228v2TS456_2,v2,0.7309,0.7631,0.7309,1.494
TS298,0.7662,T1228v1TS298_3,v1,T1228v2TS298_3,v2,0.727,0.7662,0.727,1.4931999999999999
TS465,0.7637,T1228v1TS465_1,v1,T1228v2TS465_4,v2,0.728,0.7637,0.728,1.4917
TS052,0.7607,T1228v1TS052_1,v1,T1228v2TS052_2,v2,0.7309,0.7607,0.7309,1.4916
TS481,0.7593,T1228v1TS481_4,v1,T1228v2TS481_5,v2,0.7319,0.7593,0.7319,1.4912
TS164,0.7615,T1228v1TS164_2,v1,T1228v2TS164_5,v2,0.7294,0.7615,0.7294,1.4909
TS196,0.7619,T1228v1TS196_2,v1,T1228v2TS196_4,v2,0.7285,0.7619,0.7285,1.4904000000000002
TS231,0.7635,T1228v1TS231_5,v1,T1228v2TS231_2,v2,0.7269,0.7635,0.7269,1.4904
TS264,0.7566,T1228v1TS264_1,v1,T1228v2TS264_5,v2,0.7336,0.7566,0.7336,1.4902000000000002
TS489,0.766,T1228v1TS489_2,v1,T1228v2TS489_2,v2,0.7241,0.766,0.7241,1.4901
TS375,0.7627,T1228v1TS375_4,v1,T1228v2TS375_2,v2,0.7271,0.7627,0.7271,1.4898
TS019,0.7603,T1228v1TS019_4,v1,T1228v2TS019_4,v2,0.7292,0.7603,0.7292,1.4895
TS033,0.7618,T1228v1TS033_2,v1,T1228v2TS033_2,v2,0.7277,0.7618,0.7277,1.4895
TS369,0.7603,T1228v1TS369_1,v1,T1228v2TS369_1,v2,0.7284,0.7603,0.7284,1.4887000000000001
TS269,0.7606,T1228v1TS269_1,v1,T1228v2TS269_1,v2,0.728,0.7606,0.728,1.4886
TS294,0.7636,T1228v1TS294_3,v1,T1228v2TS294_3,v2,0.7248,0.7636,0.7248,1.4884
TS312,0.7575,T1228v1TS312_5,v1,T1228v2TS312_3,v2,0.7299,0.7575,0.7299,1.4874
TS304,0.7575,T1228v1TS304_3,v1,T1228v2TS304_1,v2,0.7297,0.7575,0.7297,1.4872
TS287,0.7578,T1228v1TS287_4,v1,T1228v2TS287_3,v2,0.7288,0.7578,0.7288,1.4866000000000001
TS235,0.7594,T1228v1TS235_2,v1,T1228v2TS235_2,v2,0.7266,0.7594,0.7266,1.486
TS015,0.7588,T1228v1TS015_5,v1,T1228v2TS015_2,v2,0.7249,0.7588,0.7249,1.4837
TS388,0.7509,T1228v1TS388_3,v1,T1228v2TS388_3,v2,0.7323,0.7509,0.7323,1.4832
TS023,0.7554,T1228v1TS023_3,v1,T1228v2TS023_1,v2,0.7272,0.7554,0.7272,1.4826
TS148,0.7552,T1228v1TS148_2,v1,T1228v2TS148_5,v2,0.7256,0.7552,0.7256,1.4808
TS014,0.7586,T1228v1TS014_5,v1,T1228v2TS014_5,v2,0.7221,0.7586,0.7221,1.4807000000000001
TS059,0.7497,T1228v1TS059_4,v1,T1228v2TS059_4,v2,0.7303,0.7497,0.7303,1.48
TS208,0.759,T1228v1TS208_1,v1,T1228v2TS208_5,v2,0.7186,0.759,0.7186,1.4776
TS091,0.75,T1228v1TS091_3,v1,T1228v2TS091_4,v2,0.7264,0.75,0.7264,1.4764
TS221,0.75,T1228v1TS221_2,v1,T1228v2TS221_4,v2,0.7261,0.75,0.7261,1.4761
TS267,0.7559,T1228v1TS267_4,v1,T1228v2TS267_2,v2,0.72,0.7559,0.72,1.4759
TS419,0.7497,T1228v1TS419_2,v1,T1228v2TS419_3,v2,0.7258,0.7497,0.7258,1.4755
TS079,0.7554,T1228v1TS079_1,v1,T1228v2TS079_1,v2,0.7191,0.7554,0.7191,1.4745
TS311,0.7468,T1228v1TS311_4,v1,T1228v2TS311_5,v2,0.7268,0.7468,0.7268,1.4736
TS163,0.7545,T1228v1TS163_1,v1,T1228v2TS163_2,v2,0.7191,0.7545,0.7191,1.4735999999999998
TS286,0.7483,T1228v1TS286_1,v1,T1228v2TS286_3,v2,0.7252,0.7483,0.7252,1.4735
TS293,0.754,T1228v1TS293_4,v1,T1228v2TS293_4,v2,0.7161,0.754,0.7161,1.4701
TS112,0.754,T1228v1TS112_1,v1,T1228v2TS112_2,v2,0.7144,0.754,0.7144,1.4684
TS262,0.7438,T1228v1TS262_4,v1,T1228v2TS262_2,v2,0.7139,0.7438,0.7139,1.4577
TS274,0.7411,T1228v1TS274_1,v1,T1228v2TS274_3,v2,0.7051,0.7411,0.7051,1.4462
TS494,0.7411,T1228v1TS494_1,v1,T1228v2TS494_3,v2,0.7051,0.7411,0.7051,1.4462
TS139,0.7147,T1228v1TS139_4,v1,T1228v2TS139_2,v2,0.6894,0.7147,0.6894,1.4041000000000001
TS212,0.6938,T1228v1TS212_2,v1,T1228v2TS212_5,v2,0.6654,0.6938,0.6654,1.3592
TS120,0.652,T1228v1TS120_2,v1,T1228v2TS120_5,v2,0.6324,0.652,0.6324,1.2844
TS361,0.6458,T1228v1TS361_2,v1,T1228v2TS361_1,v2,0.6227,0.6458,0.6227,1.2685
