Model,Global_LDDT_normalized
R1203TS417_3 v1,44.3
R1203TS456_5 v1,43.9
R1203TS417_3 v2,43.5
R1203TS261_1 v2,40.2
R1203TS261_3 v1,39.1
R1203TS208_1 v2,38.5
R1203TS261_4 v2,38.5
R1203TS169_5 v1,38.1
R1203TS169_5 v2,38
R1203TS261_1 v1,37.8
R1203TS261_4 v1,37.6
R1203TS169_2 v2,37.3
R1203TS261_5 v2,36.8
R1203TS169_2 v1,36.7
R1203TS261_2 v2,35
R1203TS169_3 v1,33.5
R1203TS169_3 v2,33.5
R1203TS261_2 v1,33.5
R1203TS028_4 v1,30
R1203TS028_4 v2,29.5
R1203TS369_1 v1,10.8
R1203TS369_1 v2,10.6
R1203TS094_3 v1,8.6
R1203TS094_3 v2,8.6
R1203TS156_3 v1,7.3
R1203TS156_3 v2,7.3
R1203TS094_4 v1,6.7
R1203TS094_4 v2,6.7
R1203TS094_1 v1,4.7
R1203TS094_1 v2,4.7
R1203TS156_2 v1,4.6
R1203TS156_2 v2,4.6
R1203TS317_1 v2,2.3
R1203TS306_1 v1,0.8
R1203TS033_1 v1,0
R1203TS033_1 v2,0
R1203TS033_2 v1,0
R1203TS033_2 v2,0
R1203TS033_3 v1,0
R1203TS033_3 v2,0
R1203TS033_4 v1,0
R1203TS033_4 v2,0
R1203TS033_5 v1,0
R1203TS033_5 v2,0
R1203TS456_3 v1,0
R1203TS456_3 v2,0
