Group,V1A,V1A_model,V1A_version,V1B,V1B_version,V1B_model,V1A_final_fit,V1B_final_fit,V1A_final_model,V1B_final_model,Combined_Score
TS052,55.932,T1239v1TS052_5.lga,v1,44.12,v1,T1239v1TS052_2.lga,55.932,44.12,T1239v1TS052_5.lga,T1239v2TS052_2.lga,100.05199999999999
TS481,56.568,T1239v2TS481_5.lga,v2,47.124,v2,T1239v2TS481_4.lga,56.568,43.105,T1239v2TS481_5.lga,T1239v1TS481_2.lga,99.673
TS091,52.076,T1239v1TS091_5.lga,v1,47.166,v1,T1239v1TS091_1.lga,52.076,47.166,T1239v1TS091_5.lga,T1239v2TS091_3.lga,99.24199999999999
TS319,55.636,T1239v1TS319_2.lga,v1,42.893,v1,T1239v1TS319_1.lga,55.636,42.893,T1239v1TS319_2.lga,T1239v2TS319_5.lga,98.529
TS262,57.627,T1239v1TS262_2.lga,v1,41.794,v1,T1239v1TS262_2.lga,57.627,40.736,T1239v1TS262_2.lga,T1239v2TS262_5.lga,98.363
TS033,53.941,T1239v2TS033_2.lga,v2,43.993,v1,T1239v1TS033_1.lga,53.941,43.993,T1239v2TS033_2.lga,T1239v1TS033_1.lga,97.934
TS331,55.636,T1239v1TS331_2.lga,v1,42.09,v1,T1239v1TS331_2.lga,55.636,42.09,T1239v1TS331_2.lga,T1239v2TS331_2.lga,97.726
TS159,55.212,T1239v1TS159_2.lga,v1,42.259,v1,T1239v1TS159_2.lga,55.212,42.259,T1239v1TS159_2.lga,T1239v2TS159_2.lga,97.471
TS325,55.212,T1239v1TS325_2.lga,v1,42.259,v1,T1239v1TS325_2.lga,55.212,42.259,T1239v1TS325_2.lga,T1239v2TS325_2.lga,97.471
TS369,54.068,T1239v1TS369_4.lga,v1,43.105,v1,T1239v1TS369_4.lga,54.068,43.105,T1239v1TS369_4.lga,T1239v2TS369_4.lga,97.173
TS489,54.958,T1239v1TS489_3.lga,v1,41.794,v1,T1239v1TS489_3.lga,54.958,41.751,T1239v1TS489_3.lga,T1239v2TS489_4.lga,96.709
TS298,61.737,T1239v1TS298_1.lga,v1,41.794,v1,T1239v1TS298_1.lga,61.737,34.264,T1239v1TS298_1.lga,T1239v2TS298_1.lga,96.001
TS212,55.212,T1239v2TS212_1.lga,v2,41.794,v2,T1239v2TS212_5.lga,55.212,40.694,T1239v2TS212_1.lga,T1239v1TS212_3.lga,95.906
TS241,54.322,T1239v1TS241_1.lga,v1,45.347,v1,T1239v1TS241_1.lga,54.322,40.821,T1239v1TS241_1.lga,T1239v2TS241_5.lga,95.143
TS231,54.068,T1239v2TS231_1.lga,v2,44.416,v2,T1239v2TS231_1.lga,54.068,40.271,T1239v2TS231_1.lga,T1239v1TS231_2.lga,94.339
TS304,50.89,T1239v2TS304_5.lga,v2,43.147,v1,T1239v1TS304_2.lga,50.89,43.147,T1239v2TS304_5.lga,T1239v1TS304_2.lga,94.037
TS465,48.136,T1239v1TS465_4.lga,v1,44.839,v2,T1239v2TS465_2.lga,48.136,44.839,T1239v1TS465_4.lga,T1239v2TS465_2.lga,92.975
TS358,54.958,T1239v2TS358_2.lga,v2,43.105,v2,T1239v2TS358_2.lga,54.958,37.817,T1239v2TS358_2.lga,T1239v1TS358_4.lga,92.775
TS293,49.915,T1239v1TS293_2.lga,v1,42.005,v1,T1239v1TS293_3.lga,49.915,42.005,T1239v1TS293_2.lga,T1239v2TS293_3.lga,91.92
TS079,49.915,T1239v1TS079_2.lga,v1,42.005,v1,T1239v1TS079_3.lga,49.915,42.005,T1239v1TS079_2.lga,T1239v2TS079_3.lga,91.92
TS272,50.085,T1239v1TS272_3.lga,v1,41.244,v1,T1239v1TS272_3.lga,50.085,41.244,T1239v1TS272_3.lga,T1239v2TS272_4.lga,91.32900000000001
TS423,51.907,T1239v2TS423_4.lga,v2,39.594,v2,T1239v2TS423_5.lga,51.907,39.171,T1239v2TS423_4.lga,T1239v1TS423_1.lga,91.078
TS267,50.0,T1239v1TS267_1.lga,v1,41.455,v1,T1239v1TS267_4.lga,50.0,39.298,T1239v1TS267_1.lga,T1239v2TS267_4.lga,89.298
TS148,48.941,T1239v2TS148_5.lga,v2,39.721,v2,T1239v2TS148_3.lga,48.941,39.594,T1239v2TS148_5.lga,T1239v1TS148_4.lga,88.535
TS287,49.322,T1239v1TS287_3.lga,v1,42.343,v1,T1239v1TS287_3.lga,49.322,39.171,T1239v1TS287_3.lga,T1239v2TS287_4.lga,88.493
TS198,50.339,T1239v1TS198_2.lga,v1,39.805,v1,T1239v1TS198_2.lga,50.339,37.775,T1239v1TS198_2.lga,T1239v2TS198_1.lga,88.114
TS375,47.161,T1239v2TS375_3.lga,v2,40.567,v1,T1239v1TS375_4.lga,47.161,40.567,T1239v2TS375_3.lga,T1239v1TS375_4.lga,87.72800000000001
TS112,48.093,T1239v1TS112_4.lga,v1,38.79,v2,T1239v2TS112_5.lga,48.093,38.79,T1239v1TS112_4.lga,T1239v2TS112_5.lga,86.88300000000001
TS014,49.492,T1239v2TS014_3.lga,v2,39.721,v2,T1239v2TS014_3.lga,49.492,37.352,T1239v2TS014_3.lga,T1239v1TS014_3.lga,86.844
TS301,46.653,T1239v2TS301_4.lga,v2,40.186,v1,T1239v1TS301_1.lga,46.653,40.186,T1239v2TS301_4.lga,T1239v1TS301_1.lga,86.839
TS163,48.39,T1239v1TS163_3.lga,v1,38.579,v1,T1239v1TS163_3.lga,48.39,38.325,T1239v1TS163_3.lga,T1239v2TS163_3.lga,86.715
TS040,48.093,T1239v1TS040_3.lga,v1,38.409,v1,T1239v1TS040_3.lga,48.093,38.409,T1239v1TS040_3.lga,T1239v2TS040_3.lga,86.50200000000001
TS145,47.669,T1239v1TS145_2.lga,v1,38.79,v2,T1239v2TS145_1.lga,47.669,38.79,T1239v1TS145_2.lga,T1239v2TS145_1.lga,86.459
TS023,47.669,T1239v1TS023_2.lga,v1,38.79,v2,T1239v2TS023_1.lga,47.669,38.79,T1239v1TS023_2.lga,T1239v2TS023_1.lga,86.459
TS264,47.542,T1239v2TS264_2.lga,v2,40.482,v2,T1239v2TS264_1.lga,47.542,38.663,T1239v2TS264_2.lga,T1239v1TS264_5.lga,86.205
TS312,46.271,T1239v2TS312_4.lga,v2,39.594,v1,T1239v1TS312_4.lga,46.271,39.594,T1239v2TS312_4.lga,T1239v1TS312_4.lga,85.86500000000001
TS122,46.653,T1239v1TS122_3.lga,v1,39.129,v1,T1239v1TS122_2.lga,46.653,39.129,T1239v1TS122_3.lga,T1239v2TS122_2.lga,85.782
TS139,45.932,T1239v1TS139_6.lga,v1,38.832,v2,T1239v2TS139_6.lga,45.932,38.832,T1239v1TS139_6.lga,T1239v2TS139_6.lga,84.76400000000001
TS059,45.932,T1239v1TS059_6.lga,v1,38.832,v2,T1239v2TS059_6.lga,45.932,38.832,T1239v1TS059_6.lga,T1239v2TS059_6.lga,84.76400000000001
TS017,48.051,T1239v1TS017_5.lga,v1,38.283,v1,T1239v1TS017_5.lga,48.051,36.464,T1239v1TS017_5.lga,T1239v2TS017_4.lga,84.515
TS397,45.0,T1239v1TS397_1.lga,v1,39.129,v2,T1239v2TS397_1.lga,45.0,39.129,T1239v1TS397_1.lga,T1239v2TS397_1.lga,84.12899999999999
TS164,45.466,T1239v2TS164_2.lga,v2,38.409,v2,T1239v2TS164_2.lga,45.466,38.367,T1239v2TS164_2.lga,T1239v1TS164_3.lga,83.833
TS015,45.0,T1239v1TS015_4.lga,v1,39.382,v1,T1239v1TS015_4.lga,45.0,38.79,T1239v1TS015_4.lga,T1239v2TS015_1.lga,83.78999999999999
TS196,38.941,T1239v1TS196_2.lga,v1,39.467,v1,T1239v1TS196_2.lga,38.941,39.467,T1239v2TS196_2.lga,T1239v1TS196_2.lga,78.408
TS388,37.924,T1239v1TS388_3.lga,v1,37.986,v1,T1239v1TS388_3.lga,37.797,37.986,T1239v2TS388_1.lga,T1239v1TS388_3.lga,75.78299999999999
TS120,31.483,T1239v1TS120_3.lga,v1,29.949,v2,T1239v2TS120_2.lga,31.483,29.949,T1239v1TS120_3.lga,T1239v2TS120_2.lga,61.432
TS475,49.195,T1239v2TS475_1.lga,v2,41.624,v2,T1239v2TS475_1.lga,49.195,0.0,T1239v2TS475_1.lga,,49.195
TS351,24.449,T1239v1TS351_1.lga,v1,24.281,v1,T1239v1TS351_1.lga,24.449,24.281,T1239v1TS351_1.lga,T1239v2TS351_1.lga,48.730000000000004
TS269,48.178,T1239v2TS269_4.lga,v2,37.775,v2,T1239v2TS269_1.lga,48.178,0.0,T1239v2TS269_4.lga,,48.178
TS284,46.653,T1239v2TS284_4.lga,v2,39.129,v2,T1239v2TS284_2.lga,46.653,0.0,T1239v2TS284_4.lga,,46.653
TS075,46.653,T1239v2TS075_4.lga,v2,39.129,v2,T1239v2TS075_2.lga,46.653,0.0,T1239v2TS075_4.lga,,46.653
TS311,42.246,T1239v1TS311_1.lga,v1,41.582,v1,T1239v1TS311_1.lga,42.246,0.0,T1239v1TS311_1.lga,,42.246
TS361,31.398,T1239v1TS361_2.lga,v1,29.949,v1,T1239v1TS361_2.lga,31.398,0.0,T1239v1TS361_2.lga,,31.398
TS105,4.195,T1239v1TS105_3.lga,v1,4.146,v1,T1239v1TS105_3.lga,4.195,0.0,T1239v1TS105_3.lga,,4.195
