Group,V1A,V1A_model,V1A_version,V1B,V1B_version,V1B_model,V1A_final_fit,V1B_final_fit,V1A_final_model,V1B_final_model,Combined_Score
TS262,55.899,T1228v1TS262_2,v1,52.341,v2,T1228v2TS262_4,55.899,52.341,T1228v1TS262_2,T1228v2TS262_4,108.24000000000001
TS212,55.103,T1228v2TS212_4,v2,52.481,v1,T1228v1TS212_2,55.103,52.481,T1228v2TS212_4,T1228v1TS212_2,107.584
TS375,59.41,T1228v2TS375_4,v2,49.345,v2,T1228v2TS375_5,59.41,47.566,T1228v2TS375_4,T1228v1TS375_3,106.976
TS028,51.311,T1228v1TS028_2,v1,55.384,v2,T1228v2TS028_5,51.311,55.384,T1228v1TS028_2,T1228v2TS028_5,106.695
TS301,55.946,T1228v1TS301_3,v1,50.702,v2,T1228v2TS301_4,55.946,50.702,T1228v1TS301_3,T1228v2TS301_4,106.648
TS110,52.247,T1228v1TS110_2,v1,53.558,v2,T1228v2TS110_5,52.247,53.558,T1228v1TS110_2,T1228v2TS110_5,105.805
TS304,57.725,T1228v1TS304_4,v1,48.174,v1,T1228v1TS304_1,57.725,46.863,T1228v1TS304_4,T1228v2TS304_5,104.588
TS051,56.648,T1228v1TS051_3,v1,47.331,v1,T1228v1TS051_2,56.648,47.331,T1228v1TS051_3,T1228v2TS051_2,103.97900000000001
TS319,56.648,T1228v1TS319_2,v1,47.331,v1,T1228v1TS319_4,56.648,47.331,T1228v1TS319_2,T1228v2TS319_4,103.97900000000001
TS331,56.648,T1228v1TS331_2,v1,47.331,v1,T1228v1TS331_4,56.648,47.331,T1228v1TS331_2,T1228v2TS331_4,103.97900000000001
TS345,56.648,T1228v1TS345_3,v1,47.331,v1,T1228v1TS345_2,56.648,47.331,T1228v1TS345_3,T1228v2TS345_2,103.97900000000001
TS274,56.32,T1228v1TS274_2,v1,47.519,v1,T1228v1TS274_2,56.32,47.519,T1228v1TS274_2,T1228v2TS274_2,103.839
TS494,56.32,T1228v1TS494_2,v1,47.519,v1,T1228v1TS494_2,56.32,47.519,T1228v1TS494_2,T1228v2TS494_2,103.839
TS231,56.273,T1228v2TS231_4,v2,47.331,v1,T1228v1TS231_4,56.273,47.331,T1228v2TS231_4,T1228v1TS231_4,103.60400000000001
TS314,49.345,T1228v1TS314_5,v1,55.009,v1,T1228v1TS314_1,48.549,55.009,T1228v2TS314_3,T1228v1TS314_1,103.55799999999999
TS286,56.133,T1228v1TS286_5,v1,47.706,v1,T1228v1TS286_3,56.133,47.331,T1228v1TS286_5,T1228v2TS286_4,103.464
TS425,55.852,T1228v1TS425_1,v1,47.331,v1,T1228v1TS425_3,55.852,47.331,T1228v1TS425_1,T1228v2TS425_1,103.18299999999999
TS198,56.414,T1228v2TS198_2,v2,46.161,v1,T1228v1TS198_2,56.414,46.161,T1228v2TS198_2,T1228v1TS198_2,102.575
TS419,55.524,T1228v2TS419_4,v2,47.659,v2,T1228v2TS419_2,55.524,46.77,T1228v2TS419_4,T1228v1TS419_3,102.29400000000001
TS221,55.571,T1228v2TS221_2,v2,47.378,v2,T1228v2TS221_1,55.571,46.629,T1228v2TS221_2,T1228v1TS221_5,102.19999999999999
TS369,54.822,T1228v1TS369_2,v1,47.285,v1,T1228v1TS369_1,54.822,47.285,T1228v1TS369_2,T1228v2TS369_1,102.107
TS019,51.685,T1228v1TS019_4,v1,50.281,v2,T1228v2TS019_4,51.685,50.281,T1228v1TS019_4,T1228v2TS019_4,101.96600000000001
TS475,58.427,T1228v2TS475_5,v2,48.83,v2,T1228v2TS475_5,58.427,42.697,T1228v2TS475_5,T1228v1TS475_2,101.124
TS014,58.567,T1228v2TS014_6,v2,48.549,v2,T1228v2TS014_2,58.567,42.556,T1228v2TS014_6,T1228v1TS014_6,101.12299999999999
TS287,54.073,T1228v1TS287_2,v1,47.004,v2,T1228v2TS287_1,54.073,47.004,T1228v1TS287_2,T1228v2TS287_1,101.077
TS267,54.682,T1228v1TS267_1,v1,45.88,v1,T1228v1TS267_1,54.682,45.365,T1228v1TS267_1,T1228v2TS267_5,100.047
TS079,54.822,T1228v1TS079_2,v1,44.944,v1,T1228v1TS079_2,54.822,44.944,T1228v1TS079_2,T1228v2TS079_2,99.766
TS293,54.822,T1228v1TS293_2,v1,44.944,v1,T1228v1TS293_2,54.822,44.944,T1228v1TS293_2,T1228v2TS293_2,99.766
TS489,55.478,T1228v1TS489_2,v1,45.272,v1,T1228v1TS489_2,55.478,44.195,T1228v1TS489_2,T1228v2TS489_2,99.673
TS208,54.541,T1228v2TS208_5,v2,46.348,v2,T1228v2TS208_5,54.541,44.663,T1228v2TS208_5,T1228v1TS208_1,99.204
TS196,53.371,T1228v1TS196_5,v1,45.365,v1,T1228v1TS196_5,53.371,45.365,T1228v1TS196_5,T1228v2TS196_5,98.736
TS312,53.839,T1228v1TS312_4,v1,47.238,v1,T1228v1TS312_4,53.839,44.663,T1228v1TS312_4,T1228v2TS312_2,98.502
TS017,54.354,T1228v1TS017_5,v1,43.633,v1,T1228v1TS017_5,54.354,43.633,T1228v1TS017_5,T1228v2TS017_5,97.987
TS112,54.354,T1228v1TS112_4,v1,43.633,v1,T1228v1TS112_4,54.354,43.633,T1228v1TS112_4,T1228v2TS112_3,97.987
TS145,54.354,T1228v1TS145_3,v1,43.633,v1,T1228v1TS145_3,54.354,43.539,T1228v1TS145_3,T1228v2TS145_3,97.893
TS465,50.0,T1228v1TS465_5,v1,47.472,v2,T1228v2TS465_1,50.0,47.472,T1228v1TS465_5,T1228v2TS465_1,97.47200000000001
TS235,50.796,T1228v1TS235_1,v1,45.833,v1,T1228v1TS235_3,50.796,45.833,T1228v1TS235_1,T1228v2TS235_3,96.62899999999999
TS311,49.86,T1228v1TS311_2,v1,46.723,v1,T1228v1TS311_5,49.86,46.723,T1228v1TS311_2,T1228v2TS311_5,96.583
TS163,53.23,T1228v1TS163_5,v1,42.79,v1,T1228v1TS163_2,53.23,42.79,T1228v1TS163_5,T1228v2TS163_2,96.02
TS015,51.124,T1228v2TS015_2,v2,44.429,v1,T1228v1TS015_5,51.124,44.429,T1228v2TS015_2,T1228v1TS015_5,95.553
TS298,54.354,T1228v1TS298_3,v1,47.8,v1,T1228v1TS298_1,54.354,40.684,T1228v1TS298_3,T1228v2TS298_3,95.038
TS122,44.195,T1228v1TS122_3,v1,50.702,v2,T1228v2TS122_4,44.195,50.702,T1228v1TS122_3,T1228v2TS122_4,94.89699999999999
TS075,44.195,T1228v1TS075_3,v1,50.702,v2,T1228v2TS075_4,44.195,50.702,T1228v1TS075_3,T1228v2TS075_4,94.89699999999999
TS284,44.195,T1228v1TS284_3,v1,50.702,v2,T1228v2TS284_4,44.195,50.702,T1228v1TS284_3,T1228v2TS284_4,94.89699999999999
TS164,48.034,T1228v1TS164_1,v1,46.723,v2,T1228v2TS164_2,48.034,46.723,T1228v1TS164_1,T1228v2TS164_2,94.757
TS325,49.345,T1228v1TS325_1,v1,44.944,v1,T1228v1TS325_1,49.345,44.944,T1228v1TS325_1,T1228v2TS325_1,94.289
TS159,49.345,T1228v1TS159_1,v1,44.944,v1,T1228v1TS159_1,49.345,44.944,T1228v1TS159_1,T1228v2TS159_1,94.289
TS269,50.702,T1228v1TS269_1,v1,42.275,v1,T1228v1TS269_1,50.702,42.275,T1228v1TS269_1,T1228v2TS269_1,92.977
TS059,46.91,T1228v2TS059_3,v2,45.974,v2,T1228v2TS059_3,46.91,44.616,T1228v2TS059_3,T1228v1TS059_3,91.526
TS388,44.569,T1228v2TS388_3,v2,45.131,v2,T1228v2TS388_3,44.101,45.131,T1228v1TS388_3,T1228v2TS388_3,89.232
TS023,45.787,T1228v1TS023_3,v1,39.841,v1,T1228v1TS023_3,45.787,39.841,T1228v1TS023_3,T1228v2TS023_4,85.628
TS139,40.59,T1228v1TS139_4,v1,39.56,v2,T1228v2TS139_2,40.59,39.56,T1228v1TS139_4,T1228v2TS139_2,80.15
TS120,38.343,T1228v1TS120_4,v1,37.734,v2,T1228v2TS120_1,38.343,37.734,T1228v1TS120_4,T1228v2TS120_1,76.077
TS361,32.818,T1228v2TS361_2,v2,33.333,v2,T1228v2TS361_1,32.772,33.333,T1228v1TS361_1,T1228v2TS361_1,66.10499999999999
