Model,Gr.Code,lDDT
T1249v2TS219_1o,219s,0.738
T1249v1TS219_4o,219s,0.738
T1249v2TS322_1o,322,0.738
T1249v1TS322_4o,322,0.738
T1249v2TS204_5o,204,0.755
T1249v2TS304_2o,304s,0.77
T1249v1TS261_2o,261,0.719
T1249v2TS008_5o,8,0.749
T1249v1TS091_1o,91,0.756
T1249v1TS051_4o,51,0.752
T1249v2TS287_2o,287,0.777
T1249v2TS147_5o,147s,0.751
T1249v2TS462_5o,462,0.751
T1249v2TS314_2o,314s,0.764
T1249v2TS369_4o,369,0.745
T1249v1TS369_4o,369,0.745
T1249v2TS261_3o,261,0.72
T1249v2TS284_2o,284s,0.766
T1249v2TS122_3o,122s,0.766
T1249v2TS475_2o,475s,0.766
T1249v2TS075_2o,075s,0.766
T1249v2TS380_5o,380,0.755
T1249v2TS091_5o,91,0.743
T1249v1TS272_1o,272,0.75
T1249v2TS145_5o,145s,0.755
T1249v2TS345_5o,345,0.761
T1249v1TS345_5o,345,0.761
T1249v1TS380_5o,380,0.754
T1249v1TS145_5o,145s,0.754
T1249v1TS397_1o,397,0.746
T1249v1TS290_5o,290,0.76
T1249v1TS393_4o,393,0.755
T1249v2TS290_1o,290,0.76
T1249v1TS304_1o,304s,0.757
T1249v2TS091_3o,91,0.728
T1249v1TS052_1o,052s,0.76
T1249v1TS375_3o,375s,0.758
T1249v2TS052_2o,052s,0.76
T1249v2TS312_3o,312s,0.747
T1249v2TS264_3o,264,0.747
T1249v2TS148_3o,148s,0.747
T1249v1TS393_3o,393,0.756
T1249v1TS052_2o,052s,0.754
T1249v1TS022_1o,22,0.754
T1249v2TS022_1o,22,0.754
T1249v2TS198_5o,198s,0.744
T1249v2TS167_2o,167,0.755
T1249v2TS450_2o,450s,0.755
T1249v2TS375_2o,375s,0.76
T1249v1TS450_1o,450s,0.752
T1249v1TS167_1o,167,0.752
T1249v1TS167_5o,167,0.756
T1249v1TS450_5o,450s,0.756
T1249v1TS375_1o,375s,0.758
T1249v1TS091_2o,91,0.745
T1249v2TS375_1o,375s,0.754
T1249v2TS241_5o,241,0.765
T1249v1TS241_1o,241,0.756
T1249v2TS008_2o,8,0.735
T1249v1TS198_5o,198s,0.742
T1249v2TS008_1o,8,0.735
T1249v2TS284_1o,284s,0.767
T1249v2TS075_1o,075s,0.767
T1249v2TS122_2o,122s,0.767
T1249v2TS475_1o,475s,0.767
T1249v2TS462_1o,462,0.758
T1249v2TS110_1o,110s,0.758
T1249v2TS147_1o,147s,0.758
T1249v2TS028_1o,028s,0.755
T1249v2TS322_4o,322,0.665
T1249v2TS219_4o,219s,0.665
T1249v2TS163_3o,163s,0.745
T1249v1TS163_3o,163s,0.745
T1249v1TS219_2o,219s,0.665
T1249v1TS322_2o,322,0.665
T1249v1TS241_5o,241,0.747
T1249v1TS294_5o,294,0.722
T1249v1TS375_4o,375s,0.751
T1249v2TS294_1o,294,0.756
T1249v2TS294_2o,294,0.739
T1249v1TS375_2o,375s,0.748
T1249v1TS294_4o,294,0.745
T1249v2TS294_5o,294,0.745
T1249v2TS375_3o,375s,0.746
T1249v2TS375_4o,375s,0.746
T1249v2TS241_2o,241,0.752
T1249v1TS051_2o,51,0.757
T1249v2TS345_2o,345,0.757
T1249v1TS345_2o,345,0.757
T1249v2TS051_2o,51,0.757
T1249v2TS145_3o,145s,0.741
T1249v2TS380_2o,380,0.741
T1249v2TS208_4o,208s,0.748
T1249v1TS380_2o,380,0.743
T1249v1TS145_3o,145s,0.743
T1249v2TS393_4o,393,0.755
T1249v1TS345_4o,345,0.757
T1249v2TS345_1o,345,0.757
T1249v2TS051_1o,51,0.757
T1249v1TS198_3o,198s,0.746
T1249v2TS425_3o,425s,0.752
T1249v1TS345_3o,345,0.752
T1249v2TS319_3o,319s,0.752
T1249v2TS331_3o,331s,0.752
T1249v2TS163_1o,163s,0.742
T1249v1TS163_1o,163s,0.742
T1249v1TS059_5o,59,0.749
T1249v2TS198_3o,198s,0.746
T1249v2TS274_1o,274,0.729
T1249v2TS465_3o,465,0.69
T1249v2TS312_5o,312s,0.751
T1249v1TS465_1o,465,0.69
T1249v2TS264_5o,264,0.751
T1249v2TS148_5o,148s,0.751
T1249v1TS163_5o,163s,0.745
T1249v2TS163_5o,163s,0.745
T1249v2TS117_1o,117,0.625
T1249v1TS419_4o,419,0.571
T1249v1TS221_4o,221,0.571
T1249v2TS204_3o,204,0.757
T1249v1TS022_5o,22,0.752
T1249v2TS022_5o,22,0.752
T1249v1TS494_4o,494,0.705
T1249v2TS494_4o,494,0.705
T1249v2TS110_3o,110s,0.741
T1249v1TS091_4o,91,0.735
T1249v2TS117_2o,117,0.642
T1249v1TS274_5o,274,0.73
T1249v2TS164_4o,164,0.744
T1249v1TS008_1o,8,0.74
T1249v2TS369_5o,369,0.743
T1249v1TS079_2o,079s,0.754
T1249v1TS293_2o,293,0.754
T1249v1TS369_5o,369,0.743
T1249v2TS145_4o,145s,0.742
T1249v2TS028_4o,028s,0.754
T1249v2TS380_1o,380,0.742
T1249v2TS462_2o,462,0.747
T1249v2TS028_5o,028s,0.747
T1249v1TS380_1o,380,0.743
T1249v1TS145_4o,145s,0.743
T1249v2TS110_2o,110s,0.753
T1249v2TS147_2o,147s,0.747
T1249v1TS091_5o,91,0.709
T1249v2TS331_2o,331s,0.76
T1249v1TS319_5o,319s,0.76
T1249v2TS319_2o,319s,0.76
T1249v1TS425_5o,425s,0.76
T1249v2TS419_4o,419,0.538
T1249v2TS425_2o,425s,0.76
T1249v1TS331_5o,331s,0.76
T1249v2TS221_4o,221,0.538
T1249v2TS489_5o,489,0.513
T1249v1TS028_4o,028s,0.742
T1249v1TS489_4o,489,0.534
T1249v2TS110_4o,110s,0.756
T1249v2TS147_3o,147s,0.756
T1249v2TS462_3o,462,0.756
T1249v2TS293_2o,293,0.723
T1249v2TS079_2o,079s,0.723
T1249v1TS456_4o,456s,0.749
T1249v1TS022_4o,22,0.749
T1249v2TS397_1o,397,0.745
T1249v1TS052_4o,052s,0.749
T1249v2TS052_4o,052s,0.749
T1249v2TS052_5o,052s,0.753
T1249v1TS052_5o,052s,0.753
T1249v2TS164_2o,164,0.752
T1249v1TS014_1o,14,0.75
T1249v1TS148_3o,148s,0.742
T1249v1TS294_1o,294,0.746
T1249v1TS267_1o,267s,0.731
T1249v1TS163_2o,163s,0.739
T1249v1TS079_3o,079s,0.738
T1249v2TS267_3o,267s,0.739
T1249v2TS163_2o,163s,0.739
T1249v2TS164_5o,164,0.747
T1249v2TS079_5o,079s,0.738
T1249v1TS293_3o,293,0.738
T1249v2TS293_5o,293,0.738
T1249v2TS345_4o,345,0.728
T1249v2TS091_2o,91,0.713
T1249v1TS293_1o,293,0.74
T1249v2TS059_2o,59,0.738
T1249v1TS079_1o,079s,0.74
T1249v2TS267_1o,267s,0.74
T1249v1TS423_4o,423s,0.723
T1249v1TS489_3o,489,0.546
T1249v2TS051_4o,51,0.753
T1249v2TS294_3o,294,0.756
T1249v1TS267_3o,267s,0.735
T1249v1TS051_3o,51,0.753
T1249v2TS164_1o,164,0.751
T1249v1TS294_2o,294,0.738
T1249v1TS241_3o,241,0.758
T1249v2TS164_3o,164,0.75
T1249v2TS110_5o,110s,0.757
T1249v2TS167_1o,167,0.749
T1249v2TS450_1o,450s,0.749
T1249v2TS423_2o,423s,0.725
T1249v2TS423_3o,423s,0.721
T1249v1TS456_2o,456s,0.744
T1249v2TS456_2o,456s,0.744
T1249v2TS091_1o,91,0.73
T1249v1TS419_3o,419,0.611
T1249v1TS286_3o,286,0.611
T1249v1TS221_3o,221,0.611
T1249v1TS221_1o,221,0.639
T1249v1TS286_1o,286,0.639
T1249v2TS040_3o,40,0.692
T1249v1TS419_1o,419,0.639
T1249v1TS145_1o,145s,0.746
T1249v1TS241_2o,241,0.755
T1249v2TS290_3o,290,0.735
T1249v1TS380_3o,380,0.746
T1249v1TS293_4o,293,0.726
T1249v1TS079_4o,079s,0.726
T1249v2TS294_4o,294,0.738
T1249v2TS145_1o,145s,0.746
T1249v2TS286_1o,286,0.571
T1249v1TS187_1o,187,0.737
T1249v2TS380_3o,380,0.746
T1249v2TS419_1o,419,0.571
T1249v1TS489_5o,489,0.544
T1249v2TS221_1o,221,0.571
T1249v2TS187_1o,187,0.737
T1249v2TS423_4o,423s,0.721
T1249v1TS489_1o,489,0.533
T1249v2TS015_1o,15,0.745
T1249v1TS419_2o,419,0.594
T1249v1TS221_2o,221,0.594
T1249v1TS015_2o,15,0.745
T1249v1TS323_1o,323,0.489
T1249v1TS286_2o,286,0.594
T1249v1TS091_3o,91,0.736
T1249v2TS241_1o,241,0.759
T1249v1TS014_2o,14,0.743
T1249v1TS015_4o,15,0.636
T1249v2TS015_4o,15,0.636
T1249v2TS148_2o,148s,0.724
T1249v2TS264_2o,264,0.724
T1249v1TS110_4o,110s,0.745
T1249v1TS028_5o,028s,0.744
T1249v2TS198_2o,198s,0.747
T1249v2TS312_2o,312s,0.724
T1249v1TS393_2o,393,0.742
T1249v2TS059_5o,59,0.726
T1249v2TS286_3o,286,0.553
T1249v2TS419_3o,419,0.553
T1249v2TS221_3o,221,0.553
T1249v1TS204_3o,204,0.739
T1249v1TS312_4o,312s,0.747
T1249v1TS148_1o,148s,0.751
T1249v1TS059_4o,59,0.749
T1249v1TS264_4o,264,0.747
T1249v2TS204_4o,204,0.737
T1249v1TS147_3o,147s,0.739
T1249v1TS290_3o,290,0.739
T1249v1TS148_2o,148s,0.746
T1249v1TS110_1o,110s,0.737
T1249v1TS014_4o,14,0.743
T1249v1TS147_2o,147s,0.737
T1249v1TS462_2o,462,0.737
T1249v1TS462_3o,462,0.739
T1249v2TS267_5o,267s,0.667
T1249v1TS110_2o,110s,0.739
T1249v1TS059_3o,59,0.748
T1249v1TS059_2o,59,0.727
T1249v1TS028_3o,028s,0.739
T1249v2TS301_5o,301,0.735
T1249v2TS262_5o,262,0.495
T1249v1TS312_5o,312s,0.76
T1249v1TS267_4o,267s,0.731
T1249v1TS014_3o,14,0.743
T1249v1TS264_5o,264,0.76
T1249v2TS031_1o,31,0.711
T1249v1TS014_5o,14,0.737
T1249v1TS462_1o,462,0.756
T1249v1TS028_2o,028s,0.757
T1249v1TS031_5o,31,0.711
T1249v1TS028_1o,028s,0.756
T1249v1TS110_3o,110s,0.756
T1249v1TS147_1o,147s,0.756
T1249v1TS267_5o,267s,0.726
T1249v2TS423_1o,423s,0.708
T1249v1TS423_5o,423s,0.704
T1249v2TS423_5o,423s,0.707
T1249v2TS301_1o,301,0.74
T1249v1TS423_3o,423s,0.71
T1249v2TS221_5o,221,0.566
T1249v2TS262_1o,262,0.496
T1249v2TS419_5o,419,0.566
T1249v1TS031_4o,31,0.365
T1249v1TS075_2o,075s,0.744
T1249v1TS122_3o,122s,0.744
T1249v1TS475_2o,475s,0.744
T1249v1TS284_2o,284s,0.744
T1249v2TS293_4o,293,0.682
T1249v2TS079_4o,079s,0.682
T1249v2TS091_4o,91,0.743
T1249v2TS462_4o,462,0.748
T1249v1TS423_2o,423s,0.705
T1249v2TS147_4o,147s,0.748
T1249v2TS028_2o,028s,0.748
T1249v2TS015_5o,15,0.743
T1249v1TS015_5o,15,0.743
T1249v2TS290_2o,290,0.743
T1249v2TS031_4o,31,0.72
T1249v2TS059_3o,59,0.719
T1249v1TS290_2o,290,0.744
T1249v2TS293_1o,293,0.708
T1249v2TS079_1o,079s,0.708
T1249v1TS450_3o,450s,0.744
T1249v1TS167_3o,167,0.744
T1249v1TS262_3o,262,0.489
T1249v1TS262_1o,262,0.49
T1249v1TS262_2o,262,0.632
T1249v1TS267_2o,267s,0.706
T1249v1TS450_4o,450s,0.746
T1249v2TS163_4o,163s,0.741
T1249v1TS163_4o,163s,0.741
T1249v1TS167_4o,167,0.746
T1249v2TS198_4o,198s,0.741
T1249v1TS301_4o,301,0.724
T1249v2TS167_4o,167,0.738
T1249v1TS314_1o,314s,0.746
T1249v2TS208_1o,208s,0.75
T1249v2TS450_4o,450s,0.738
T1249v1TS264_2o,264,0.752
T1249v1TS494_2o,494,0.745
T1249v1TS264_1o,264,0.741
T1249v1TS475_5o,475s,0.739
T1249v2TS494_5o,494,0.745
T1249v2TS494_2o,494,0.745
T1249v1TS122_2o,122s,0.739
T1249v1TS075_5o,075s,0.739
T1249v2TS059_1o,59,0.733
T1249v1TS494_5o,494,0.745
T1249v1TS312_2o,312s,0.752
T1249v1TS312_1o,312s,0.741
T1249v1TS284_5o,284s,0.739
T1249v1TS475_3o,475s,0.74
T1249v1TS075_3o,075s,0.74
T1249v2TS262_4o,262,0.608
T1249v2TS241_3o,241,0.74
T1249v1TS122_1o,122s,0.74
T1249v1TS198_4o,198s,0.74
T1249v1TS284_3o,284s,0.74
T1249v2TS008_4o,8,0.719
T1249v2TS323_1o,323,0.746
T1249v2TS425_5o,425s,0.752
T1249v2TS489_2o,489,0.519
T1249v2TS345_3o,345,0.752
T1249v1TS051_1o,51,0.752
T1249v2TS051_3o,51,0.752
T1249v1TS319_2o,319s,0.752
T1249v1TS345_1o,345,0.752
T1249v1TS331_2o,331s,0.752
T1249v1TS274_2o,274,0.73
T1249v2TS319_5o,319s,0.752
T1249v2TS331_5o,331s,0.752
T1249v1TS425_1o,425s,0.752
T1249v1TS287_4o,287,0.751
T1249v2TS262_2o,262,0.609
T1249v1TS314_2o,314s,0.749
T1249v2TS312_4o,312s,0.736
T1249v2TS380_4o,380,0.74
T1249v2TS031_5o,31,0.73
T1249v2TS204_1o,204,0.737
T1249v2TS148_4o,148s,0.736
T1249v2TS145_2o,145s,0.74
T1249v1TS423_1o,423s,0.707
T1249v2TS264_4o,264,0.736
T1249v1TS380_4o,380,0.741
T1249v2TS015_3o,15,0.733
T1249v1TS015_3o,15,0.733
T1249v1TS287_5o,287,0.75
T1249v1TS145_2o,145s,0.741
T1249v2TS489_3o,489,0.528
T1249v2TS456_4o,456s,0.725
T1249v1TS456_1o,456s,0.725
T1249v2TS262_3o,262,0.494
T1249v2TS489_1o,489,0.523
T1249v2TS196_5o,196,0.51
T1249v2TS456_5o,456s,0.745
T1249v1TS456_5o,456s,0.745
T1249v2TS040_2o,40,0.678
T1249v2TS465_5o,465,0.547
T1249v1TS196_1o,196,0.557
T1249v1TS419_5o,419,0.601
T1249v2TS311_2o,311,0.736
T1249v1TS311_2o,311,0.736
T1249v1TS221_5o,221,0.601
T1249v1TS122_5o,122s,0.747
T1249v1TS198_2o,198s,0.719
T1249v1TS075_4o,075s,0.747
T1249v2TS286_2o,286,0.567
T1249v1TS475_4o,475s,0.747
T1249v1TS110_5o,110s,0.745
T1249v1TS462_4o,462,0.745
T1249v2TS221_2o,221,0.567
T1249v2TS489_4o,489,0.522
T1249v2TS419_2o,419,0.567
T1249v2TS450_5o,450s,0.742
T1249v1TS284_4o,284s,0.747
T1249v1TS147_4o,147s,0.745
T1249v2TS167_5o,167,0.742
T1249v1TS148_4o,148s,0.745
T1249v1TS311_4o,311,0.728
T1249v2TS311_4o,311,0.728
T1249v2TS008_3o,8,0.727
T1249v1TS301_3o,301,0.736
T1249v1TS274_4o,274,0.729
T1249v1TS148_5o,148s,0.742
T1249v2TS040_4o,40,0.678
T1249v1TS031_2o,31,0.62
T1249v2TS301_2o,301,0.735
T1249v2TS301_4o,301,0.731
T1249v2TS059_4o,59,0.649
T1249v1TS301_5o,301,0.715
T1249v1TS241_4o,241,0.746
T1249v2TS022_3o,22,0.69
T1249v1TS052_3o,052s,0.69
T1249v2TS052_3o,052s,0.69
T1249v1TS022_3o,22,0.69
T1249v2TS267_4o,267s,0.61
T1249v2TS293_3o,293,0.709
T1249v2TS079_3o,079s,0.709
T1249v2TS196_3o,196,0.524
T1249v1TS147_5o,147s,0.741
T1249v1TS462_5o,462,0.741
T1249v1TS031_3o,31,0.501
T1249v2TS031_2o,31,0.725
T1249v1TS117_2o,117,0.419
T1249v2TS031_3o,31,0.722
T1249v2TS311_3o,311,0.739
T1249v1TS311_3o,311,0.739
T1249v1TS301_2o,301,0.735
T1249v1TS262_5o,262,0.717
T1249v2TS040_5o,40,0.678
T1249v1TS059_1o,59,0.743
T1249v1TS262_4o,262,0.628
T1249v1TS456_3o,456s,0.742
T1249v1TS314_4o,314s,0.742
T1249v1TS375_5o,375s,0.744
T1249v2TS456_3o,456s,0.742
T1249v2TS040_1o,40,0.675
T1249v1TS274_1o,274,0.725
T1249v2TS311_1o,311,0.747
T1249v2TS015_2o,15,0.619
T1249v1TS015_1o,15,0.619
T1249v1TS311_1o,311,0.747
T1249v1TS312_3o,312s,0.759
T1249v2TS014_1o,14,0.712
T1249v1TS264_3o,264,0.759
T1249v2TS301_3o,301,0.738
T1249v2TS337_4o,337s,0.153
T1249v1TS337_4o,337s,0.153
T1249v1TS300_2o,300s,0.167
T1249v2TS337_2o,337s,0.155
T1249v1TS337_2o,337s,0.155
T1249v2TS300_2o,300s,0.167
T1249v1TS465_3o,465,0.424
T1249v1TS494_3o,494,0.702
T1249v1TS465_2o,465,0.436
T1249v2TS014_3o,14,0.407
T1249v2TS014_4o,14,0.374
T1249v2TS014_5o,14,0.369
T1249v1TS393_5o,393,0.743
T1249v2TS085_5o,85,0.547
T1249v2TS022_2o,22,0.74
T1249v1TS450_2o,450s,0.747
T1249v1TS425_3o,425s,0.748
T1249v1TS425_2o,425s,0.747
T1249v1TS393_1o,393,0.739
T1249v1TS337_3o,337s,0.154
T1249v2TS167_3o,167,0.729
T1249v2TS022_4o,22,0.732
T1249v1TS331_3o,331s,0.748
T1249v2TS196_1o,196,0.441
T1249v2TS196_2o,196,0.432
T1249v2TS196_4o,196,0.445
T1249v2TS023_1o,23,0.157
T1249v2TS198_1o,198s,0.739
T1249v2TS023_2o,23,0.158
T1249v1TS322_3o,322,0.721
T1249v1TS337_5o,337s,0.155
T1249v2TS023_3o,23,0.159
T1249v1TS322_1o,322,0.729
T1249v2TS274_4o,274,0.722
T1249v1TS319_1o,319s,0.747
T1249v1TS331_1o,331s,0.747
T1249v1TS314_3o,314s,0.737
T1249v1TS314_5o,314s,0.742
T1249v1TS300_3o,300s,0.166
T1249v1TS287_3o,287,0.743
T1249v1TS219_3o,219s,0.721
T1249v1TS311_5o,311,0.738
T1249v1TS219_1o,219s,0.729
T1249v1TS204_5o,204,0.737
T1249v1TS204_2o,204,0.736
T1249v2TS085_2o,85,0.545
T1249v1TS198_1o,198s,0.737
T1249v1TS196_5o,196,0.405
T1249v1TS196_4o,196,0.434
T1249v1TS196_3o,196,0.434
T1249v1TS301_1o,301,0.726
T1249v1TS300_5o,300s,0.154
T1249v1TS300_4o,300s,0.168
T1249v1TS300_1o,300s,0.17
T1249v1TS294_3o,294,0.481
T1249v1TS293_5o,293,0.733
T1249v2TS465_2o,465,0.443
T1249v2TS085_1o,85,0.541
T1249v1TS196_2o,196,0.441
T1249v2TS085_3o,85,0.543
T1249v1TS287_2o,287,0.738
T1249v2TS085_4o,85,0.541
T1249v2TS114_1o,114s,0.17
T1249v1TS164_3o,164,0.739
T1249v1TS164_4o,164,0.739
T1249v1TS164_2o,164,0.74
T1249v1TS465_5o,465,0.438
T1249v1TS284_1o,284s,0.742
T1249v1TS164_1o,164,0.74
T1249v1TS085_2o,85,0.433
T1249v1TS274_3o,274,0.727
T1249v2TS114_2o,114s,0.166
T1249v1TS290_1o,290,0.743
T1249v2TS114_3o,114s,0.177
T1249v2TS114_4o,114s,0.182
T1249v1TS290_4o,290,0.738
T1249v2TS114_5o,114s,0.178
T1249v2TS139_1o,139,0.253
T1249v2TS139_2o,139,0.186
T1249v2TS139_3o,139,0.202
T1249v2TS139_5o,139,0.186
T1249v1TS139_1o,139,0.394
T1249v1TS117_1o,117,0.376
T1249v1TS167_2o,167,0.747
T1249v1TS114_5o,114s,0.178
T1249v1TS114_4o,114s,0.182
T1249v1TS114_3o,114s,0.177
T1249v1TS114_2o,114s,0.166
T1249v1TS287_1o,287,0.742
T1249v2TS148_1o,148s,0.743
T1249v1TS139_5o,139,0.4
T1249v2TS208_2o,208s,0.749
T1249v1TS139_4o,139,0.223
T1249v2TS375_5o,375s,0.743
T1249v2TS219_2o,219s,0.721
T1249v2TS494_3o,494,0.702
T1249v1TS139_3o,139,0.398
T1249v1TS139_2o,139,0.225
T1249v1TS122_4o,122s,0.742
T1249v2TS494_1o,494,0.743
T1249v2TS219_3o,219s,0.729
T1249v2TS337_3o,337s,0.154
T1249v1TS337_1o,337s,0.177
T1249v2TS264_1o,264,0.743
T1249v1TS117_5o,117,0.366
T1249v1TS117_4o,117,0.376
T1249v1TS117_3o,117,0.416
T1249v2TS267_2o,267s,0.747
T1249v2TS465_1o,465,0.442
T1249v1TS465_4o,465,0.394
T1249v1TS085_5o,85,0.435
T1249v2TS274_2o,274,0.717
T1249v1TS319_3o,319s,0.748
T1249v1TS085_3o,85,0.434
T1249v1TS085_1o,85,0.434
T1249v1TS079_5o,079s,0.733
T1249v1TS114_1o,114s,0.17
T1249v2TS274_5o,274,0.723
T1249v2TS300_1o,300s,0.17
T1249v1TS075_1o,075s,0.742
T1249v2TS274_3o,274,0.723
T1249v2TS456_1o,456s,0.74
T1249v2TS319_4o,319s,0.747
T1249v2TS450_3o,450s,0.729
T1249v1TS208_5o,208s,0.744
T1249v2TS300_3o,300s,0.166
T1249v2TS425_4o,425s,0.747
T1249v1TS204_1o,204,0.732
T1249v2TS139_4o,139,0.254
T1249v2TS300_4o,300s,0.168
T1249v2TS300_5o,300s,0.154
T1249v1TS031_1o,31,0.484
T1249v1TS023_5o,23,0.156
T1249v2TS014_2o,14,0.396
T1249v1TS023_4o,23,0.158
T1249v1TS023_3o,23,0.159
T1249v1TS204_4o,204,0.729
T1249v2TS311_5o,311,0.738
T1249v2TS312_1o,312s,0.743
T1249v2TS322_2o,322,0.721
T1249v1TS023_2o,23,0.158
T1249v2TS465_4o,465,0.437
T1249v1TS023_1o,23,0.157
T1249v2TS393_3o,393,0.748
T1249v1TS008_2o,8,0.719
T1249v1TS022_2o,22,0.74
T1249v1TS085_4o,85,0.434
T1249v2TS322_3o,322,0.729
T1249v1TS164_5o,164,0.74
T1249v2TS331_4o,331s,0.747
T1249v2TS337_1o,337s,0.177
T1249v2TS337_5o,337s,0.155
T1249v1TS489_2o,489,0.493
T1249v2TS023_5o,23,0.156
T1249v2TS023_4o,23,0.158
T1249v1TS494_1o,494,0.743
T1249v1TS475_1o,475s,0.742
