Group,best_Average_dockq_v1_ref,best_model_v1_ref,best_version_v1_ref,best_model_v2_ref,best_version_v2_ref,best_Average_dockq_v2_ref,best_v1_ref,best_v2_ref,Combined_Score
TS450,0.4829999999999999,T1249v2TS450_2o,v2,T1249v1TS450_5o,v1,0.2176666666666666,0.4829999999999999,0.2176666666666666,0.7006666666666664
TS008,0.457,T1249v1TS008_1o,v1,T1249v2TS008_5o,v2,0.239,0.457,0.239,0.696
TS059,0.4683333333333333,T1249v2TS059_3o,v2,T1249v1TS059_5o,v1,0.209,0.4683333333333333,0.209,0.6773333333333333
TS369,0.444,T1249v1TS369_3o,v1,T1249v2TS369_2o,v2,0.2196666666666666,0.444,0.2196666666666666,0.6636666666666666
TS022,0.4606666666666667,T1249v1TS022_5o,v1,T1249v2TS022_1o,v2,0.1826666666666666,0.4606666666666667,0.1826666666666666,0.6433333333333333
TS425,0.457,T1249v2TS425_3o,v2,T1249v1TS425_4o,v1,0.1823333333333333,0.457,0.1823333333333333,0.6393333333333333
TS319,0.457,T1249v2TS319_3o,v2,T1249v1TS319_4o,v1,0.1823333333333333,0.457,0.1823333333333333,0.6393333333333333
TS331,0.457,T1249v2TS331_3o,v2,T1249v1TS331_4o,v1,0.1823333333333333,0.457,0.1823333333333333,0.6393333333333333
TS301,0.5003333333333333,T1249v1TS301_4o,v1,T1249v2TS301_1o,v2,0.1386666666666667,0.5003333333333333,0.1386666666666667,0.639
TS267,0.4816666666666667,T1249v1TS267_2o,v1,T1249v2TS267_5o,v2,0.1536666666666666,0.4816666666666667,0.1536666666666666,0.6353333333333333
TS375,0.4526666666666667,T1249v2TS375_1o,v2,T1249v1TS375_4o,v1,0.1816666666666666,0.4526666666666667,0.1816666666666666,0.6343333333333333
TS423,0.4873333333333333,T1249v1TS423_2o,v1,T1249v2TS423_2o,v2,0.1446666666666666,0.4873333333333333,0.1446666666666666,0.6319999999999999
TS294,0.46,T1249v2TS294_4o,v2,T1249v1TS294_5o,v1,0.1646666666666666,0.46,0.1646666666666666,0.6246666666666666
TS204,0.508,T1249v2TS204_5o,v2,T1249v1TS204_1o,v1,0.114,0.508,0.114,0.622
TS145,0.3756666666666666,T1249v1TS145_2o,v1,T1249v2TS145_5o,v2,0.2416666666666666,0.3756666666666666,0.2416666666666666,0.6173333333333332
TS380,0.3756666666666666,T1249v1TS380_4o,v1,T1249v2TS380_5o,v2,0.2416666666666666,0.3756666666666666,0.2416666666666666,0.6173333333333332
TS311,0.4723333333333332,T1249v1TS311_2o,v1,T1249v2TS311_1o,v2,0.1436666666666666,0.4723333333333332,0.1436666666666666,0.6159999999999999
TS148,0.5816666666666666,T1249v2TS148_2o,v2,T1249v1TS148_3o,v1,0.034,0.5816666666666666,0.034,0.6156666666666666
TS051,0.428,T1249v1TS051_2o,v1,T1249v2TS051_5o,v2,0.1823333333333333,0.428,0.1823333333333333,0.6103333333333333
TS264,0.5816666666666666,T1249v2TS264_2o,v2,T1249v1TS264_4o,v1,0.026,0.5816666666666666,0.026,0.6076666666666666
TS312,0.5816666666666666,T1249v2TS312_2o,v2,T1249v1TS312_4o,v1,0.026,0.5816666666666666,0.026,0.6076666666666666
TS287,0.4736666666666667,T1249v2TS287_2o,v2,T1249v1TS287_5o,v1,0.1236666666666666,0.4736666666666667,0.1236666666666666,0.5973333333333333
TS198,0.3859999999999999,T1249v2TS198_2o,v2,T1249v1TS198_3o,v1,0.2103333333333333,0.3859999999999999,0.2103333333333333,0.5963333333333332
TS475,0.566,T1249v2TS475_1o,v2,T1249v1TS475_2o,v1,0.0236666666666666,0.566,0.0236666666666666,0.5896666666666666
TS075,0.566,T1249v2TS075_1o,v2,T1249v1TS075_2o,v1,0.0236666666666666,0.566,0.0236666666666666,0.5896666666666666
TS122,0.566,T1249v2TS122_2o,v2,T1249v1TS122_3o,v1,0.0236666666666666,0.566,0.0236666666666666,0.5896666666666666
TS284,0.566,T1249v2TS284_1o,v2,T1249v1TS284_2o,v1,0.0236666666666666,0.566,0.0236666666666666,0.5896666666666666
TS031,0.4253333333333333,T1249v2TS031_4o,v2,T1249v1TS031_5o,v1,0.1386666666666667,0.4253333333333333,0.1386666666666667,0.564
TS163,0.3616666666666666,T1249v1TS163_3o,v1,T1249v2TS163_5o,v2,0.192,0.3616666666666666,0.192,0.5536666666666665
TS494,0.3513333333333333,T1249v1TS494_4o,v1,T1249v2TS494_4o,v2,0.1983333333333333,0.3513333333333333,0.1983333333333333,0.5496666666666665
TS261,0.2893333333333334,T1249v1TS261_1o,v1,T1249v2TS261_1o,v2,0.257,0.2893333333333334,0.257,0.5463333333333333
TS187,0.3619999999999999,T1249v2TS187_1o,v2,T1249v1TS187_1o,v1,0.1666666666666666,0.3619999999999999,0.1666666666666666,0.5286666666666665
