Model,Gr.Code,lDDT
T1249v1TS322_2o,322,0.664
T1249v2TS322_4o,322,0.664
T1249v2TS450_1o,450s,0.766
T1249v2TS167_1o,167,0.766
T1249v2TS040_3o,40,0.719
T1249v1TS267_1o,267s,0.759
T1249v1TS059_4o,59,0.771
T1249v1TS051_4o,51,0.769
T1249v2TS267_2o,267s,0.764
T1249v1TS450_3o,450s,0.763
T1249v1TS167_3o,167,0.763
T1249v2TS241_2o,241,0.764
T1249v2TS198_2o,198s,0.764
T1249v1TS198_5o,198s,0.751
T1249v2TS110_2o,110s,0.769
T1249v1TS375_1o,375s,0.774
T1249v1TS287_5o,287,0.764
T1249v2TS274_1o,274,0.747
T1249v1TS375_2o,375s,0.762
T1249v1TS311_5o,311,0.761
T1249v2TS311_5o,311,0.761
T1249v2TS208_4o,208s,0.762
T1249v2TS117_2o,117,0.654
T1249v1TS059_5o,59,0.75
T1249v1TS079_5o,079s,0.748
T1249v1TS293_5o,293,0.748
T1249v2TS117_1o,117,0.636
T1249v1TS241_5o,241,0.756
T1249v1TS014_4o,14,0.77
T1249v1TS419_3o,419,0.621
T1249v1TS221_3o,221,0.621
T1249v1TS286_3o,286,0.621
T1249v2TS419_4o,419,0.553
T1249v1TS393_4o,393,0.764
T1249v2TS221_4o,221,0.553
T1249v1TS091_1o,91,0.764
T1249v1TS221_4o,221,0.583
T1249v1TS419_4o,419,0.583
T1249v1TS198_2o,198s,0.731
T1249v2TS187_1o,187,0.748
T1249v2TS163_3o,163s,0.76
T1249v2TS304_2o,304s,0.77
T1249v1TS163_3o,163s,0.76
T1249v2TS148_5o,148s,0.757
T1249v1TS494_4o,494,0.708
T1249v2TS494_4o,494,0.708
T1249v2TS312_5o,312s,0.757
T1249v2TS264_5o,264,0.757
T1249v1TS187_1o,187,0.748
T1249v1TS221_5o,221,0.607
T1249v1TS419_5o,419,0.607
T1249v2TS462_2o,462,0.761
T1249v2TS028_5o,028s,0.761
T1249v2TS147_2o,147s,0.761
T1249v2TS219_2o,219s,0.732
T1249v1TS219_3o,219s,0.732
T1249v2TS322_2o,322,0.732
T1249v1TS322_3o,322,0.732
T1249v1TS419_1o,419,0.645
T1249v1TS221_1o,221,0.645
T1249v1TS286_1o,286,0.645
T1249v1TS380_3o,380,0.756
T1249v1TS145_1o,145s,0.756
T1249v2TS163_5o,163s,0.751
T1249v1TS163_5o,163s,0.751
T1249v2TS380_3o,380,0.756
T1249v2TS145_1o,145s,0.756
T1249v1TS489_1o,489,0.542
T1249v2TS028_2o,028s,0.756
T1249v2TS462_4o,462,0.756
T1249v2TS147_4o,147s,0.756
T1249v2TS419_1o,419,0.586
