Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,v1_v1_Score,v1_v1_ModelNumber,v2_v2_Score,v2_v2_ModelNumber
TS464,PocketTracer,166.62082619760088,81.86501743631148,84.75580876128939,TS464_v1_5,81.86501743631148,5,84.75580876128939,5
TS272,GromihaLab,166.55832424329554,82.10623805325835,84.45208619003718,TS272_v1_1,82.10623805325835,1,84.45208619003718,1
TS301,GHZ-MAN,166.49661691428219,83.68452319625044,82.81209371803175,TS301_v1_2,83.68452319625044,2,82.81209371803175,2
TS167,OpenComplex,166.47322980605918,83.59203671059386,82.88119309546532,TS167_v1_2,83.59203671059386,2,82.88119309546532,2
TS450,OpenComplex_Server,166.47322980605918,83.59203671059386,82.88119309546532,TS450_v1_5,83.59203671059386,5,82.88119309546532,5
TS345,MULTICOM_human,166.39192149429107,83.44677770563598,82.9451437886551,TS345_v1_4,83.44677770563598,4,82.9451437886551,4
TS207,MULTICOM_ligand,166.37538945541425,84.68386570332214,81.69152375209211,TS207_v1_2,84.68386570332214,2,81.69152375209211,2
TS294,KiharaLab,166.30916755090425,84.28143150189752,82.02773604900672,TS294_v1_2,84.28143150189752,2,82.02773604900672,2
TS423,ShanghaiTech-server,166.24956980007784,85.97045150045659,80.27911829962125,TS423_v1_1,85.97045150045659,1,80.27911829962125,1
TS369,Bhattacharya,166.21264288048036,83.2179428280057,82.99470005247464,TS369_v1_1,83.2179428280057,1,82.99470005247464,1
TS400,OmniFold,166.10618244291214,82.22289626132708,83.88328618158505,TS400_v1_1,82.22289626132708,1,83.88328618158505,1
TS079,MRAFold,166.05820963292905,83.63934540169319,82.41886423123587,TS079_v1_5,83.63934540169319,5,82.41886423123587,5
TS267,kiharalab_server,166.00661501402243,83.6702982494991,82.33631676452335,TS267_v1_2,83.6702982494991,2,82.33631676452335,2
TS293,MRAH,165.97111420918074,83.63145034962801,82.33966385955273,TS293_v1_2,83.63145034962801,2,82.33966385955273,2
TS475,ptq,165.1965135966769,84.05934162917588,81.13717196750103,TS475_v1_3,84.05934162917588,3,81.13717196750103,3
TS494,ClusPro,148.72852325418205,50.65722639675796,98.07129685742407,TS494_v1_3,50.65722639675796,3,98.07129685742407,3
TS274,kozakovvajda,148.72852325418205,50.65722639675796,98.07129685742407,TS274_v1_3,50.65722639675796,3,98.07129685742407,3
TS040,DELCLAB,148.68614511241503,50.1588893940899,98.52725571832512,TS040_v1_3,50.1588893940899,3,98.52725571832512,3
TS286,CSSB_experimental,147.7739348310418,51.90924085173471,95.86469397930708,TS286_v1_2,51.90924085173471,2,95.86469397930708,2
TS014,Cool-PSP,146.04729048114996,84.8497069491668,61.19758353198314,TS014_v1_5,84.8497069491668,5,61.19758353198314,5
TS465,Wallner,145.7519707299925,89.56840300681213,56.183567723180374,TS465_v1_3,89.56840300681213,3,56.183567723180374,3
TS051,MULTICOM,145.61288688363553,83.12290761103884,62.48997927259668,TS051_v1_3,83.12290761103884,3,62.48997927259668,3
TS331,MULTICOM_AI,145.61288688363553,83.12290761103884,62.48997927259668,TS331_v1_3,83.12290761103884,3,62.48997927259668,3
TS075,GHZ-ISM,145.51867139131275,83.41616193536211,62.102509455950646,TS075_v1_2,83.41616193536211,2,62.102509455950646,2
TS284,Unicorn,145.51867139131275,83.41616193536211,62.102509455950646,TS284_v1_2,83.41616193536211,2,62.102509455950646,2
TS408,SNU-CHEM-lig,144.80094812561254,90.61451102123688,54.186437104375656,TS408_v1_1,90.61451102123688,1,54.186437104375656,1
TS055,LCDD-team,144.6965790744917,90.39562715007756,54.30095192441412,TS055_v1_4,90.39562715007756,4,54.30095192441412,4
TS202,test001,142.72687523637526,89.37716954614855,53.34970569022671,TS202_v1_5,89.37716954614855,5,53.34970569022671,5
TS039,arosko,137.94740544749993,53.04602062977807,84.90138481772186,TS039_v1_3,53.04602062977807,3,84.90138481772186,3
TS120,Cerebra,121.641346588711,60.40966668431105,61.23167990439996,TS120_v1_6,60.40966668431105,6,61.23167990439996,6
TS275,Seminoles,76.33439895188732,39.949967413599474,36.384431538287856,TS275_v1_1,39.949967413599474,1,36.384431538287856,1
TS461,forlilab,76.27264206667965,36.72635580883595,39.5462862578437,TS461_v1_2,36.72635580883595,2,39.5462862578437,2
TS361,Cerebra_server,76.16452935215696,34.59266170068429,41.571867651472665,TS361_v1_1,34.59266170068429,1,41.571867651472665,1
TS132,profold2,22.529192552414138,10.443317752507289,12.08587479990685,TS132_v1_1,10.443317752507289,1,12.08587479990685,1
