Group,Group_Name,Combined_Score,Best_v1_ref,V1_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v1_ModelNumber
TS225,Unknown,76.66992354071155,76.66992354071155,TS225_v1_1,76.66992354071155,v1_v1,76.66992354071155,1
TS164,McGuffin,76.66992354071155,76.66992354071155,TS164_v1_1,76.66992354071155,v1_v1,76.66992354071155,1
TS163,MultiFOLD2,76.66992354071155,76.66992354071155,TS163_v1_1,76.66992354071155,v1_v1,76.66992354071155,1
TS019,Zheng-Server,76.55553082238967,76.55553082238967,TS019_v1_1,76.55553082238967,v1_v1,76.55553082238967,1
TS196,HYU_MLLAB,76.32439837817067,76.32439837817067,TS196_v1_4,76.32439837817067,v1_v1,76.32439837817067,4
TS450,OpenComplex_Server,76.08509908224781,76.08509908224781,TS450_v1_5,76.08509908224781,v1_v1,76.08509908224781,5
TS167,OpenComplex,76.08509908224781,76.08509908224781,TS167_v1_2,76.08509908224781,v1_v1,76.08509908224781,2
TS304,AF3-server,76.05390660362482,76.05390660362482,TS304_v1_2,76.05390660362482,v1_v1,76.05390660362482,2
TS241,elofsson,76.05390660362482,76.05390660362482,TS241_v1_2,76.05390660362482,v1_v1,76.05390660362482,2
TS475,ptq,76.00894957892237,76.00894957892237,TS475_v1_3,76.00894957892237,v1_v1,76.00894957892237,3
TS293,MRAH,75.99611324194933,75.99611324194933,TS293_v1_2,75.99611324194933,v1_v1,75.99611324194933,2
TS079,MRAFold,75.99611324194933,75.99611324194933,TS079_v1_1,75.99611324194933,v1_v1,75.99611324194933,1
TS267,kiharalab_server,75.92426766343397,75.92426766343397,TS267_v1_2,75.92426766343397,v1_v1,75.92426766343397,2
TS345,MULTICOM_human,75.84175384830478,75.84175384830478,TS345_v1_4,75.84175384830478,v1_v1,75.84175384830478,4
TS301,GHZ-MAN,75.55628138278448,75.55628138278448,TS301_v1_2,75.55628138278448,v1_v1,75.55628138278448,2
TS369,Bhattacharya,75.37233540174797,75.37233540174797,TS369_v1_1,75.37233540174797,v1_v1,75.37233540174797,1
TS284,Unicorn,75.256178246897,75.256178246897,TS284_v1_2,75.256178246897,v1_v1,75.256178246897,2
TS075,GHZ-ISM,75.256178246897,75.256178246897,TS075_v1_2,75.256178246897,v1_v1,75.256178246897,2
TS051,MULTICOM,75.09022703035485,75.09022703035485,TS051_v1_1,75.09022703035485,v1_v1,75.09022703035485,1
TS331,MULTICOM_AI,75.09022703035485,75.09022703035485,TS331_v1_1,75.09022703035485,v1_v1,75.09022703035485,1
TS122,MQA_server,75.02802386716938,75.02802386716938,TS122_v1_4,75.02802386716938,v1_v1,75.02802386716938,4
TS235,isyslab-hust,74.66484374825231,74.66484374825231,TS235_v1_3,74.66484374825231,v1_v1,74.66484374825231,3
TS198,colabfold,74.33252591101584,74.33252591101584,TS198_v1_3,74.33252591101584,v1_v1,74.33252591101584,3
TS145,colabfold_baseline,74.24053191898435,74.24053191898435,TS145_v1_5,74.24053191898435,v1_v1,74.24053191898435,5
TS017,Seder2024hard,74.24053191898435,74.24053191898435,TS017_v1_3,74.24053191898435,v1_v1,74.24053191898435,3
TS272,GromihaLab,74.02745783942945,74.02745783942945,TS272_v1_1,74.02745783942945,v1_v1,74.02745783942945,1
TS400,OmniFold,73.89463304583032,73.89463304583032,TS400_v1_1,73.89463304583032,v1_v1,73.89463304583032,1
TS464,PocketTracer,73.68518883046397,73.68518883046397,TS464_v1_5,73.68518883046397,v1_v1,73.68518883046397,5
TS120,Cerebra,68.48808966892682,68.48808966892682,TS120_v1_6,68.48808966892682,v1_v1,68.48808966892682,6
TS139,DeepFold-refine,68.3596812415962,68.3596812415962,TS139_v1_3,68.3596812415962,v1_v1,68.3596812415962,3
TS275,Seminoles,65.38158736790764,65.38158736790764,TS275_v1_1,65.38158736790764,v1_v1,65.38158736790764,1
TS052,Yang-Server,64.23227232081933,64.23227232081933,TS052_v1_1,64.23227232081933,v1_v1,64.23227232081933,1
TS419,CSSB-Human,63.714433078918375,63.714433078918375,TS419_v1_3,63.714433078918375,v1_v1,63.714433078918375,3
TS221,CSSB_FAKER,63.714433078918375,63.714433078918375,TS221_v1_3,63.714433078918375,v1_v1,63.714433078918375,3
