Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS122,MQA_server,171.07968263100437,84.64721909373552,86.43246353726886,TS122_v1_4,TS122_v2_1,86.43246353726886,v2_v2,84.64721909373552,,,86.43246353726886,4.0,,,1.0
TS055,LCDD-team,170.85219145668913,91.58236732649496,79.26982413019415,TS055_v1_3,TS055_v2_1,91.58236732649496,v1_v1,91.58236732649496,,,79.26982413019415,3.0,,,1.0
TS019,Zheng-Server,170.7595160094466,85.61582465791173,85.14369135153488,TS019_v1_1,TS019_v2_5,85.61582465791173,v1_v1,85.61582465791173,,,85.14369135153488,1.0,,,5.0
TS262,CoDock,170.6971349072491,74.53553907878016,96.16159582846896,TS262_v1_3,TS262_v2_2,96.16159582846896,v2_v2,74.53553907878016,,,96.16159582846896,3.0,,,2.0
TS227,KUMC,170.56371242244597,86.66552338965171,83.89818903279425,TS227_v1_3,TS227_v2_5,86.66552338965171,v1_v1,86.66552338965171,,,83.89818903279425,3.0,,,5.0
TS284,Unicorn,170.53735204020694,84.8863425975176,85.65100944268933,TS284_v1_2,TS284_v2_1,85.65100944268933,v2_v2,84.8863425975176,,,85.65100944268933,2.0,,,1.0
TS075,GHZ-ISM,170.53735204020694,84.8863425975176,85.65100944268933,TS075_v1_2,TS075_v2_1,85.65100944268933,v2_v2,84.8863425975176,,,85.65100944268933,2.0,,,1.0
TS102,Psi-Phi,170.05912575712009,86.95398986052467,83.10513589659541,TS102_v1_4,TS102_v2_5,86.95398986052467,v1_v1,86.95398986052467,,,83.10513589659541,4.0,,,5.0
TS331,MULTICOM_AI,169.93789269816344,84.55640402076835,85.38148867739508,TS331_v1_3,TS331_v2_5,85.38148867739508,v2_v2,84.55640402076835,,,85.38148867739508,3.0,,,5.0
TS464,PocketTracer,169.76965059183206,83.4359510643712,86.33369952746087,TS464_v1_1,TS464_v2_2,86.33369952746087,v2_v2,83.4359510643712,,,86.33369952746087,1.0,,,2.0
TS272,GromihaLab,169.70546241458246,83.66676627154354,86.03869614303892,TS272_v1_1,TS272_v2_3,86.03869614303892,v2_v2,83.66676627154354,,,86.03869614303892,1.0,,,3.0
TS207,MULTICOM_ligand,169.5863095057237,86.08934026305562,83.4969692426681,TS207_v1_3,TS207_v2_1,86.08934026305562,v1_v1,86.08934026305562,,,83.4969692426681,3.0,,,1.0
TS079,MRAFold,169.31641306635413,85.06329059355946,84.25312247279469,TS079_v1_1,TS079_v2_2,85.06329059355946,v1_v1,85.06329059355946,,,84.25312247279469,1.0,,,2.0
TS293,MRAH,169.31641306635413,85.06329059355946,84.25312247279469,TS293_v1_2,TS293_v2_1,85.06329059355946,v1_v1,85.06329059355946,,,84.25312247279469,2.0,,,1.0
TS020,comppharmunibas,164.51418414273104,70.15271410180117,94.36147004092987,TS020_v1_4,TS020_v2_3,94.36147004092987,v2_v2,70.15271410180117,,,94.36147004092987,4.0,,,3.0
TS139,DeepFold-refine,160.05785155455322,62.94714499327697,97.11070656127625,TS139_v1_3,TS139_v2_6,97.11070656127625,v2_v2,62.94714499327697,,,97.11070656127625,3.0,,,6.0
TS494,ClusPro,153.1062403844809,53.90498705923477,99.20125332524614,TS494_v1_3,TS494_v2_1,99.20125332524614,v2_v2,53.90498705923477,,,99.20125332524614,3.0,,,1.0
TS274,kozakovvajda,153.1062403844809,53.90498705923477,99.20125332524614,TS274_v1_3,TS274_v2_1,99.20125332524614,v2_v2,53.90498705923477,,,99.20125332524614,3.0,,,1.0
TS040,DELCLAB,152.7249665416281,53.84392541068784,98.88104113094026,TS040_v1_5,TS040_v2_3,98.88104113094026,v2_v2,53.84392541068784,,,98.88104113094026,5.0,,,3.0
TS059,DeepFold,152.25599579253688,55.145289231260634,97.11070656127625,TS059_v1_1,TS059_v2_6,97.11070656127625,v2_v2,55.145289231260634,,,97.11070656127625,1.0,,,6.0
TS286,CSSB_experimental,151.54129677117226,54.6898902945462,96.85140647662604,TS286_v1_4,TS286_v2_3,96.85140647662604,v2_v2,54.6898902945462,,,96.85140647662604,4.0,,,3.0
TS294,KiharaLab,143.70105724570897,85.78367880397442,57.91737844173453,TS294_v1_2,TS294_v2_1,85.78367880397442,v1_v1,85.78367880397442,,,57.91737844173453,2.0,,,1.0
TS039,arosko,141.666360442788,55.807636237747126,85.85872420504087,TS039_v1_3,TS039_v2_2,85.85872420504087,v2_v2,55.807636237747126,,,85.85872420504087,3.0,,,2.0
TS202,test001,128.90688848281184,90.8608083189099,38.04608016390193,TS202_v1_5,TS202_v2_4,90.8608083189099,v1_v1,90.8608083189099,,,38.04608016390193,5.0,,,4.0
TS461,forlilab,111.64090400576693,39.804513143766144,71.83639086200078,TS461_v1_2,TS461_v2_3,71.83639086200078,v2_v2,39.804513143766144,,,71.83639086200078,2.0,,,3.0
TS167,OpenComplex,96.55803604838786,85.00407926579825,11.553956782589603,TS167_v1_2,TS167_v2_5,85.00407926579825,v1_v1,85.00407926579825,,,11.553956782589603,2.0,,,5.0
TS450,OpenComplex_Server,95.61587101668259,85.00407926579825,10.611791750884336,TS450_v1_5,TS450_v2_3,85.00407926579825,v1_v1,85.00407926579825,,,10.611791750884336,5.0,,,3.0
TS225,Unknown,86.06253883256925,86.06253883256925,0.0,TS225_v1_1,TS225_v2_None,86.06253883256925,v1_v1,86.06253883256925,,,0.0,1.0,,,
TS400,OmniFold,85.50326049676758,0.0,85.50326049676758,TS400_v1_None,TS400_v2_1,85.50326049676758,v2_v2,0.0,,,85.50326049676758,,,,1.0
TS120,Cerebra,82.65102503832395,18.763535444563463,63.887489593760485,TS120_v1_1,TS120_v2_6,63.887489593760485,v2_v2,18.763535444563463,,,63.887489593760485,1.0,,,6.0
TS361,Cerebra_server,60.766329733980655,15.544640644236376,45.22168908974428,TS361_v1_3,TS361_v2_1,45.22168908974428,v2_v2,15.544640644236376,,,45.22168908974428,3.0,,,1.0
TS275,Seminoles,42.72586989432613,42.72586989432613,0.0,TS275_v1_1,TS275_v2_None,42.72586989432613,v1_v1,42.72586989432613,,,0.0,1.0,,,
TS132,profold2,11.169907745219056,0.0,11.169907745219056,TS132_v1_None,TS132_v2_1,11.169907745219056,v2_v2,0.0,,,11.169907745219056,,,,1.0
