Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS167,OpenComplex,1.5074999999999998,0.7635,0.744,TS167_v1_1,TS167_v2_5,0.7635,v1_v1,0.7635,0.7538,0.7432,0.744,1,5,1,5
TS450,OpenComplex_Server,1.5074999999999998,0.7635,0.744,TS450_v1_1,TS450_v2_5,0.7635,v1_v1,0.7635,0.7538,0.7432,0.744,1,3,1,5
TS017,Seder2024hard,1.5064,0.7654,0.741,TS017_v1_4,TS017_v2_2,0.7654,v1_v1,0.7654,0.7652,0.7414,0.741,4,1,3,2
TS475,ptq,1.5063,0.7643,0.742,TS475_v1_5,TS475_v2_4,0.7643,v1_v1,0.7643,0.7627,0.7428,0.742,5,3,3,4
TS298,ShanghaiTech-human,1.5061,0.7662,0.7399,TS298_v1_3,TS298_v2_1,0.7662,v1_v1,0.7662,0.7652,0.7438,0.7399,3,2,3,1
TS231,B-LAB,1.5059999999999998,0.7646,0.7414,TS231_v2_4,TS231_v1_1,0.7646,v1_v2,0.7635,0.7646,0.7414,0.7389,5,4,1,2
TS294,KiharaLab,1.505,0.7645,0.7405,TS294_v2_4,TS294_v1_3,0.7645,v1_v2,0.7636,0.7645,0.7405,0.7373,3,4,3,4
TS264,GuijunLab-Human,1.5048,0.7643,0.7405,TS264_v2_4,TS264_v1_6,0.7643,v1_v2,0.7578,0.7643,0.7405,0.7433,6,4,6,1
TS325,405,1.5048,0.7598,0.745,TS325_v1_1,TS325_v2_1,0.7598,v1_v1,0.7598,0.7598,0.745,0.745,1,1,1,1
TS159,406,1.5048,0.7598,0.745,TS159_v1_1,TS159_v2_1,0.7598,v1_v1,0.7598,0.7598,0.745,0.745,1,1,1,1
TS375,milliseconds,1.5046,0.7647,0.7399,TS375_v2_4,TS375_v1_2,0.7647,v1_v2,0.7627,0.7647,0.7399,0.7395,4,4,2,2
TS033,Diff,1.5042,0.764,0.7402,TS033_v2_1,TS033_v1_4,0.764,v1_v2,0.7618,0.764,0.7402,0.7392,2,1,4,2
TS465,Wallner,1.5037,0.7637,0.74,TS465_v1_1,TS465_v2_4,0.7637,v1_v1,0.7637,0.7588,0.7341,0.74,1,4,3,4
TS301,GHZ-MAN,1.5037,0.7579,0.7458,TS301_v1_3,TS301_v2_4,0.7579,v1_v1,0.7579,0.7568,0.7382,0.7458,3,4,5,4
TS456,Yang-Multimer,1.5034,0.7631,0.7403,TS456_v1_1,TS456_v2_2,0.7631,v1_v1,0.7631,0.7631,0.7403,0.7403,1,5,2,2
TS148,Guijunlab-Complex,1.5032,0.7575,0.7457,TS148_v2_2,TS148_v1_2,0.7575,v1_v2,0.7552,0.7575,0.7457,0.7383,2,2,2,4
