Group,Group_Name,TSBI_Score,Balance,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS164,McGuffin,1.684,0.9428891377379619,1.786,0.944,0.842,TS164_v2_5o,TS164_v1_4o,0.944,v1_v2,0.829,0.944,0.842,0.887,5o,5o,4o,2o
TS208,falcon2,1.668,0.9386606640405177,1.777,0.943,0.834,TS208_v2_4o,TS208_v1_5o,0.943,v1_v2,0.85,0.943,0.834,0.88,5o,4o,5o,1o
TS286,CSSB_experimental,1.642,0.9750593824228029,1.684,0.863,0.821,TS286_v1_3o,TS286_v2_3o,0.863,v1_v1,0.863,0.854,0.863,0.821,3o,3o,3o,3o
TS419,CSSB-Human,1.642,0.9750593824228029,1.684,0.863,0.821,TS419_v1_3o,TS419_v2_3o,0.863,v1_v1,0.863,0.854,0.863,0.821,3o,3o,3o,3o
TS221,CSSB_FAKER,1.642,0.9750593824228029,1.684,0.863,0.821,TS221_v1_3o,TS221_v2_3o,0.863,v1_v1,0.863,0.854,0.863,0.821,3o,3o,3o,3o
TS272,GromihaLab,1.376,0.8426209430496019,1.633,0.688,0.945,TS272_v2_1o,TS272_v1_2o,0.945,v2_v1,0.921,0.688,0.945,0.836,3o,1o,2o,2o
TS262,CoDock,1.4800000000000002,0.9462915601023019,1.564,0.824,0.74,TS262_v2_1o,TS262_v1_1o,0.824,v1_v2,0.749,0.824,0.74,0.763,1o,1o,1o,2o
TS122,MQA_server,0.916,0.6482661004953999,1.413,0.955,0.458,TS122_v2_2o,TS122_v1_2o,0.955,v1_v2,0.365,0.955,0.458,0.934,2o,2o,2o,1o
TS475,ptq,0.916,0.6482661004953999,1.413,0.955,0.458,TS475_v2_1o,TS475_v1_5o,0.955,v1_v2,0.365,0.955,0.458,0.934,3o,1o,5o,4o
TS075,GHZ-ISM,0.916,0.6482661004953999,1.413,0.955,0.458,TS075_v2_1o,TS075_v1_5o,0.955,v1_v2,0.365,0.955,0.458,0.934,3o,1o,5o,4o
TS284,Unicorn,0.916,0.6482661004953999,1.413,0.955,0.458,TS284_v2_1o,TS284_v1_5o,0.955,v1_v2,0.365,0.955,0.458,0.934,5o,1o,5o,4o
TS264,GuijunLab-Human,0.864,0.6153846153846154,1.404,0.972,0.432,TS264_v2_2o,TS264_v1_6o,0.972,v1_v2,0.366,0.972,0.432,0.901,1o,2o,6o,5o
TS110,MIEnsembles-Server,0.8819999999999999,0.630901287553648,1.398,0.957,0.441,TS110_v2_5o,TS110_v1_4o,0.957,v1_v2,0.368,0.957,0.441,0.893,5o,5o,4o,1o
TS312,GuijunLab-Assembly,0.77,0.5674281503316139,1.357,0.972,0.385,TS312_v2_2o,TS312_v1_1o,0.972,v1_v2,0.366,0.972,0.385,0.901,2o,2o,1o,5o
TS148,Guijunlab-Complex,0.77,0.5674281503316139,1.357,0.972,0.385,TS148_v2_2o,TS148_v1_3o,0.972,v1_v2,0.368,0.972,0.385,0.901,3o,2o,3o,5o
TS147,Zheng-Multimer,0.7819999999999999,0.5801186943620178,1.3479999999999999,0.957,0.391,TS147_v2_3o,TS147_v1_4o,0.957,v1_v2,0.368,0.957,0.391,0.893,4o,3o,4o,1o
TS028,NKRNA-s,0.7619999999999998,0.5686567164179104,1.3399999999999999,0.959,0.381,TS028_v2_1o,TS028_v1_1o,0.959,v1_v2,0.364,0.959,0.381,0.89,1o,1o,1o,3o
TS117,Vakser,0.7400000000000001,0.5705474171164225,1.2970000000000002,0.37,0.927,TS117_v1_2o,TS117_v2_4o,0.927,v2_v2,0.37,0.926,0.456,0.927,2o,2o,2o,4o
TS323,Yan,0.6359999999999998,0.5153970826580225,1.234,0.916,0.318,TS323_v2_1o,TS323_v1_1o,0.916,v1_v2,0.271,0.916,0.318,0.887,1o,1o,1o,1o
TS489,Fernandez-Recio,0.928,0.7701244813278009,1.205,0.741,0.464,TS489_v1_1o,TS489_v2_5o,0.741,v1_v1,0.741,0.367,0.718,0.464,1o,5o,3o,5o
TS040,DELCLAB,-1.0,0.0,0.948,0.948,0.0,TS040_v2_3o,TS040_v1_None,0.948,v1_v2,0.0,0.948,0.0,0.885,,3o,,3o
TS196,HYU_MLLAB,0.784,0.9074074074074074,0.864,0.392,0.472,TS196_v1_4o,TS196_v2_5o,0.472,v2_v2,0.392,0.38,0.45,0.472,4o,5o,4o,5o
TS085,Bates,0.572,0.7835616438356163,0.73,0.286,0.444,TS085_v2_4o,TS085_v1_1o,0.444,v2_v1,0.393,0.286,0.444,0.309,2o,4o,1o,5o
TS139,DeepFold-refine,0.546,0.9115191986644408,0.599,0.273,0.326,TS139_v2_1o,TS139_v1_1o,0.326,v2_v1,0.286,0.273,0.326,0.285,5o,1o,1o,4o
TS023,FTBiot0119,0.564,0.9690721649484536,0.582,0.282,0.3,TS023_v1_3o,TS023_v2_1o,0.3,v2_v2,0.282,0.282,0.3,0.3,3o,3o,1o,1o
TS114,COAST,0.5559999999999999,0.9703315881326353,0.573,0.295,0.278,TS114_v1_1o,TS114_v2_4o,0.295,v1_v1,0.295,0.295,0.278,0.278,1o,1o,4o,4o
TS300,ARC,0.5159999999999999,0.9330922242314648,0.5529999999999999,0.295,0.258,TS300_v1_1o,TS300_v2_4o,0.295,v1_v1,0.295,0.295,0.258,0.258,1o,1o,4o,4o
TS337,APOLLO,0.516,0.9754253308128544,0.529,0.258,0.271,TS337_v1_1o,TS337_v2_1o,0.271,v2_v2,0.258,0.258,0.271,0.271,1o,1o,1o,1o
