Group,Group_Name,TSBI_Score,Balance,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS286,CSSB_experimental,1.5986,0.9597166356486763,1.6657,0.7993,0.8664,TS286_v1_2,TS286_v2_4,0.8664,v2_v2,0.7993,,,0.8664,2.0,,,4.0
TS301,GHZ-MAN,1.649,0.9918200408997956,1.6625999999999999,0.8381,0.8245,TS301_v1_2,TS301_v2_4,0.8381,v1_v1,0.8381,,,0.8245,2.0,,,4.0
TS079,MRAFold,1.631,0.9820568400770713,1.6608,0.8453,0.8155,TS079_v1_1,TS079_v2_5,0.8453,v1_v1,0.8453,,,0.8155,1.0,,,5.0
TS196,HYU_MLLAB,1.6452,0.9910246370700561,1.6601,0.8375,0.8226,TS196_v1_3,TS196_v2_4,0.8375,v1_v1,0.8375,,,0.8226,3.0,,,4.0
TS293,MRAH,1.6290000000000002,0.9814435474153512,1.6598000000000002,0.8453,0.8145,TS293_v1_2,TS293_v2_1,0.8453,v1_v1,0.8453,,,0.8145,2.0,,,1.0
TS164,McGuffin,1.6452,0.9917415154620531,1.6589,0.8363,0.8226,TS164_v1_3,TS164_v2_4,0.8363,v1_v1,0.8363,,,0.8226,3.0,,,4.0
TS163,MultiFOLD2,1.6452,0.9917415154620531,1.6589,0.8363,0.8226,TS163_v1_3,TS163_v2_4,0.8363,v1_v1,0.8363,,,0.8226,3.0,,,4.0
TS423,ShanghaiTech-server,1.615,0.9738301977809938,1.6583999999999999,0.8509,0.8075,TS423_v1_5,TS423_v2_4,0.8509,v1_v1,0.8509,,,0.8075,5.0,,,4.0
TS014,Cool-PSP,1.6262,0.9844421575155882,1.6519,0.8388,0.8131,TS014_v1_4,TS014_v2_3,0.8388,v1_v1,0.8388,,,0.8131,4.0,,,3.0
TS331,MULTICOM_AI,1.6063999999999998,0.9734577626954308,1.6502,0.847,0.8032,TS331_v1_1,TS331_v2_5,0.847,v1_v1,0.847,,,0.8032,1.0,,,5.0
TS075,GHZ-ISM,1.6,0.9706970818418977,1.6483,0.8483,0.8,TS075_v1_1,TS075_v2_3,0.8483,v1_v1,0.8483,,,0.8,1.0,,,3.0
TS284,Unicorn,1.6,0.9706970818418977,1.6483,0.8483,0.8,TS284_v1_1,TS284_v2_3,0.8483,v1_v1,0.8483,,,0.8,1.0,,,3.0
TS408,SNU-CHEM-lig,1.6174000000000002,0.983341439688716,1.6448,0.8361,0.8087,TS408_v1_3,TS408_v2_2,0.8361,v1_v1,0.8361,,,0.8087,3.0,,,2.0
TS475,ptq,1.6082000000000003,0.9821068702290077,1.6375000000000002,0.8334,0.8041,TS475_v1_5,TS475_v2_3,0.8334,v1_v1,0.8334,,,0.8041,5.0,,,3.0
TS020,comppharmunibas,1.5464,0.9549215758923059,1.6194,0.7732,0.8462,TS020_v1_4,TS020_v2_3,0.8462,v2_v2,0.7732,,,0.8462,4.0,,,3.0
TS294,KiharaLab,1.4408,0.9260830440930711,1.5558,0.8354,0.7204,TS294_v1_2,TS294_v2_3,0.8354,v1_v1,0.8354,,,0.7204,2.0,,,3.0
TS202,test001,1.4645999999999997,0.9511007208260276,1.5398999999999998,0.8076,0.7323,TS202_v1_5,TS202_v2_2,0.8076,v1_v1,0.8076,,,0.7323,5.0,,,2.0
TS461,forlilab,1.4227999999999998,0.983751642121275,1.4463,0.7114,0.7349,TS461_v1_2,TS461_v2_3,0.7349,v2_v2,0.7114,,,0.7349,2.0,,,3.0
TS120,Cerebra,1.2528,0.9273817455029979,1.3509,0.6264,0.7245,TS120_v1_1,TS120_v2_6,0.7245,v2_v2,0.6264,,,0.7245,1.0,,,6.0
TS361,Cerebra_server,1.2384,0.980367321089297,1.2631999999999999,0.6192,0.644,TS361_v1_4,TS361_v2_1,0.644,v2_v2,0.6192,,,0.644,4.0,,,1.0
TS167,OpenComplex,0.783,0.6312988793033943,1.2403,0.8488,0.3915,TS167_v1_2,TS167_v2_5,0.8488,v1_v1,0.8488,,,0.3915,2.0,,,5.0
TS450,OpenComplex_Server,0.7015999999999999,0.58486162054018,1.1996,0.8488,0.3508,TS450_v1_5,TS450_v2_3,0.8488,v1_v1,0.8488,,,0.3508,5.0,,,3.0
TS400,OmniFold,-1.0,0.0,0.8374,0.8374,0.0,TS400_v1_1,TS400_v2_None,0.8374,v1_v1,0.8374,,,0.0,1.0,,,
TS225,Unknown,-1.0,0.0,0.8344,0.8344,0.0,TS225_v1_1,TS225_v2_None,0.8344,v1_v1,0.8344,,,0.0,1.0,,,
TS275,Seminoles,-1.0,0.0,0.6919,0.6919,0.0,TS275_v1_1,TS275_v2_None,0.6919,v1_v1,0.6919,,,0.0,1.0,,,
TS132,profold2,-1.0,0.0,0.5033,0.0,0.5033,TS132_v1_None,TS132_v2_1,0.5033,v2_v2,0.0,,,0.5033,,,,1.0
