Group,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,Combined_Score,Best_v1_ref,Best_v2_ref
TS167,0.8287,v2_v2,0.7404,0.7505,0.7833,0.8287,1.5691,0.7404,0.8287
TS450,0.8287,v2_v2,0.7404,0.7505,0.7833,0.8287,1.5691,0.7404,0.8287
TS304,0.8053,v2_v2,0.7388,0.7441,0.7962,0.8053,1.5441,0.7388,0.8053
TS033,0.8062,v2_v2,0.7322,0.7491,0.799,0.8062,1.5384,0.7322,0.8062
TS231,0.7967,v2_v2,0.7404,0.7419,0.7899,0.7967,1.5371,0.7404,0.7967
TS091,0.7823,v2_v2,0.7382,0.7382,0.7823,0.7823,1.5205,0.7382,0.7823
TS264,0.7858,v2_v1,0.7243,0.7196,0.7858,0.7741,1.5054,0.7196,0.7858
TS198,0.7866,v2_v2,0.7164,0.7344,0.7644,0.7866,1.5030000000000001,0.7164,0.7866
TS023,0.7884,v2_v2,0.7146,0.7404,0.7649,0.7884,1.5030000000000001,0.7146,0.7884
TS145,0.7884,v2_v2,0.7146,0.7404,0.7649,0.7884,1.5030000000000001,0.7146,0.7884
TS164,0.7759,v2_v2,0.7253,0.7253,0.7755,0.7759,1.5011999999999999,0.7253,0.7759
TS017,0.7855,v2_v2,0.7146,0.7391,0.7649,0.7855,1.5001,0.7146,0.7855
TS358,0.7848,v2_v2,0.7132,0.7312,0.766,0.7848,1.498,0.7132,0.7848
TS369,0.7733,v2_v2,0.7247,0.7247,0.7733,0.7733,1.498,0.7247,0.7733
TS148,0.7801,v2_v1,0.7228,0.7129,0.7801,0.7703,1.4929999999999999,0.7129,0.7801
TS312,0.7801,v2_v1,0.7228,0.7103,0.7801,0.7662,1.4904000000000002,0.7103,0.7801
TS287,0.7742,v2_v1,0.72,0.7128,0.7742,0.7688,1.487,0.7128,0.7742
TS163,0.7755,v2_v2,0.7098,0.725,0.7602,0.7755,1.4853,0.7098,0.7755
TS112,0.7855,v2_v2,0.6991,0.7391,0.7425,0.7855,1.4846,0.6991,0.7855
TS301,0.7717,v2_v1,0.7174,0.7096,0.7717,0.7619,1.4813,0.7096,0.7717
TS375,0.7686,v2_v1,0.7126,0.7105,0.7686,0.7662,1.4790999999999999,0.7105,0.7686
TS397,0.7652,v2_v2,0.7074,0.7108,0.7632,0.7652,1.4726,0.7074,0.7652
TS122,0.7619,v2_v2,0.7096,0.7096,0.7619,0.7619,1.4715,0.7096,0.7619
TS423,0.7558,v2_v1,0.7049,0.6827,0.7558,0.7312,1.4385,0.6827,0.7558
TS465,0.7545,v2_v2,0.675,0.6923,0.7238,0.7545,1.4295,0.675,0.7545
TS212,0.7696,v2_v2,0.6578,0.7315,0.7021,0.7696,1.4274,0.6578,0.7696
TS267,0.7415,v2_v2,0.6797,0.6873,0.7257,0.7415,1.4212,0.6797,0.7415
TS388,0.761,v2_v2,0.6489,0.6965,0.71,0.761,1.4099,0.6489,0.761
TS014,0.7314,v2_v1,0.685,0.6782,0.7314,0.7271,1.4096000000000002,0.6782,0.7314
TS059,0.74,v2_v2,0.6655,0.6783,0.7125,0.74,1.4055,0.6655,0.74
TS293,0.7157,v2_v2,0.6727,0.6727,0.7157,0.7157,1.3883999999999999,0.6727,0.7157
TS079,0.7157,v2_v2,0.6727,0.6727,0.7157,0.7157,1.3883999999999999,0.6727,0.7157
TS139,0.7221,v2_v2,0.6655,0.6738,0.7125,0.7221,1.3876,0.6655,0.7221
TS040,0.6971,v2_v2,0.647,0.647,0.6971,0.6971,1.3441,0.647,0.6971
TS015,0.6976,v2_v1,0.6582,0.6454,0.6976,0.6846,1.343,0.6454,0.6976
TS196,0.6619,v2_v2,0.6042,0.6042,0.6619,0.6619,1.2661,0.6042,0.6619
TS351,0.6407,v2_v2,0.5902,0.5902,0.6407,0.6407,1.2309,0.5902,0.6407
TS120,0.5805,v2_v2,0.5439,0.5439,0.5776,0.5805,1.1244,0.5439,0.5805
TS475,0.7713,v2_v2,0.0,0.7136,0.0,0.7713,0.7713,0.0,0.7713
TS269,0.7631,v2_v2,0.0,0.7084,0.0,0.7631,0.7631,0.0,0.7631
TS075,0.7619,v2_v2,0.0,0.7096,0.0,0.7619,0.7619,0.0,0.7619
TS284,0.7619,v2_v2,0.0,0.7096,0.0,0.7619,0.7619,0.0,0.7619
TS311,0.7573,v2_v1,0.6991,0.0,0.7573,0.0,0.7573,0.0,0.7573
TS361,0.5805,v2_v1,0.5439,0.0,0.5805,0.0,0.5805,0.0,0.5805
TS105,0.0684,v2_v1,0.0642,0.0,0.0684,0.0,0.0684,0.0,0.0684
