Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,v1_v1_Score,v1_v1_ModelNumber,v2_v2_Score,v2_v2_ModelNumber
TS235,isyslab-hust,150.79472997251656,74.66484374825231,76.12988622426425,TS235_v1_3,74.66484374825231,3,76.12988622426425,3
TS241,elofsson,150.74770963740104,76.05390660362482,74.69380303377622,TS241_v1_2,76.05390660362482,2,74.69380303377622,2
TS304,AF3-server,150.74770963740104,76.05390660362482,74.69380303377622,TS304_v1_2,76.05390660362482,2,74.69380303377622,2
TS167,OpenComplex,150.73881309807535,76.08509908224781,74.65371401582756,TS167_v1_2,76.08509908224781,2,74.65371401582756,2
TS450,OpenComplex_Server,150.73881309807535,76.08509908224781,74.65371401582756,TS450_v1_5,76.08509908224781,5,74.65371401582756,5
TS287,plmfold,150.6891677519821,78.27746454370639,72.4117032082757,TS287_v1_1,78.27746454370639,1,72.4117032082757,1
TS464,PocketTracer,150.64056323979005,73.68518883046397,76.95537440932608,TS464_v1_5,73.68518883046397,5,76.95537440932608,5
TS272,GromihaLab,150.5883280182281,74.02745783942945,76.56087017879867,TS272_v1_1,74.02745783942945,1,76.56087017879867,1
TS091,Huang-HUST,150.46863558127512,78.62154666338226,71.84708891789288,TS091_v1_2,78.62154666338226,2,71.84708891789288,2
TS122,MQA_server,150.46538313967048,75.02802386716938,75.4373592725011,TS122_v1_4,75.02802386716938,4,75.4373592725011,4
TS207,MULTICOM_ligand,150.43788688215466,77.17392532881952,73.26396155333512,TS207_v1_2,77.17392532881952,2,73.26396155333512,2
TS319,MULTICOM_LLM,150.4300737455923,78.02288887636337,72.40718486922893,TS319_v1_3,78.02288887636337,3,72.40718486922893,3
TS425,MULTICOM_GATE,150.4300737455923,78.02288887636337,72.40718486922893,TS425_v1_2,78.02288887636337,2,72.40718486922893,2
TS163,MultiFOLD2,150.42735543912755,76.66992354071155,73.757431898416,TS163_v1_1,76.66992354071155,1,73.757431898416,1
TS164,McGuffin,150.42735543912755,76.66992354071155,73.757431898416,TS164_v1_1,76.66992354071155,1,73.757431898416,1
TS225,Unknown,150.42735543912755,76.66992354071155,73.757431898416,TS225_v1_1,76.66992354071155,1,73.757431898416,1
TS375,milliseconds,150.41741907073327,78.30773570040328,72.10968337032998,TS375_v1_3,78.30773570040328,3,72.10968337032998,3
TS345,MULTICOM_human,150.3984905505198,75.84175384830478,74.556736702215,TS345_v1_4,75.84175384830478,4,74.556736702215,4
TS198,colabfold,150.1754414942128,74.33252591101584,75.84291558319697,TS198_v1_3,74.33252591101584,3,75.84291558319697,3
TS227,KUMC,150.14091840648337,77.80840423706465,72.33251416941872,TS227_v1_3,77.80840423706465,3,72.33251416941872,3
TS369,Bhattacharya,150.00282913964247,75.37233540174797,74.63049373789448,TS369_v1_1,75.37233540174797,1,74.63049373789448,1
TS301,GHZ-MAN,149.95011225765518,75.55628138278448,74.3938308748707,TS301_v1_2,75.55628138278448,2,74.3938308748707,2
TS267,kiharalab_server,149.8771552646849,75.92426766343397,73.95288760125092,TS267_v1_2,75.92426766343397,2,73.95288760125092,2
TS079,MRAFold,149.7855448346856,75.99611324194933,73.78943159273628,TS079_v1_1,75.99611324194933,1,73.78943159273628,1
TS293,MRAH,149.7855448346856,75.99611324194933,73.78943159273628,TS293_v1_2,75.99611324194933,2,73.78943159273628,2
TS423,ShanghaiTech-server,149.78144583983544,78.89271060480272,70.88873523503273,TS423_v1_1,78.89271060480272,1,70.88873523503273,1
TS400,OmniFold,149.7119586667898,73.89463304583032,75.81732562095948,TS400_v1_1,73.89463304583032,1,75.81732562095948,1
TS331,MULTICOM_AI,149.16202923937698,75.09022703035485,74.07180220902212,TS331_v1_1,75.09022703035485,1,74.07180220902212,1
TS051,MULTICOM,149.16202923937698,75.09022703035485,74.07180220902212,TS051_v1_1,75.09022703035485,1,74.07180220902212,1
TS465,Wallner,148.76209397048413,83.15138476133947,65.61070920914466,TS465_v1_3,83.15138476133947,3,65.61070920914466,3
TS014,Cool-PSP,148.40570347535993,76.85286256875992,71.5528409066,TS014_v1_5,76.85286256875992,5,71.5528409066,5
TS284,Unicorn,147.96831009415553,75.256178246897,72.71213184725855,TS284_v1_2,75.256178246897,2,72.71213184725855,2
TS075,GHZ-ISM,147.96831009415553,75.256178246897,72.71213184725855,TS075_v1_2,75.256178246897,2,72.71213184725855,2
TS475,ptq,147.9258922470195,76.00894957892237,71.91694266809714,TS475_v1_3,76.00894957892237,3,71.91694266809714,3
TS408,SNU-CHEM-lig,147.87166005507623,83.92391245740286,63.94774759767338,TS408_v1_1,83.92391245740286,1,63.94774759767338,1
TS055,LCDD-team,147.69452292071963,83.58945915811869,64.10506376260093,TS055_v1_5,83.58945915811869,5,64.10506376260093,5
TS202,test001,142.3971222347902,81.15626039863739,61.240861836152824,TS202_v1_5,81.15626039863739,5,61.240861836152824,5
TS020,comppharmunibas,141.9741786701812,78.80614262725146,63.16803604292975,TS020_v1_4,78.80614262725146,4,63.16803604292975,4
TS039,arosko,141.23905769634214,60.24629529718391,80.99276239915822,TS039_v1_3,60.24629529718391,3,80.99276239915822,3
TS294,KiharaLab,138.27301349968076,78.29120231166901,59.98181118801175,TS294_v1_3,78.29120231166901,3,59.98181118801175,3
TS120,Cerebra,137.36670166112742,68.48808966892682,68.87861199220062,TS120_v1_6,68.48808966892682,6,68.87861199220062,6
TS139,DeepFold-refine,135.48519935902607,68.3596812415962,67.12551811742988,TS139_v1_3,68.3596812415962,3,67.12551811742988,3
TS461,forlilab,127.60954993110747,61.64039142970768,65.96915850139979,TS461_v1_2,61.64039142970768,2,65.96915850139979,2
TS275,Seminoles,126.46560356416974,65.38158736790764,61.0840161962621,TS275_v1_1,65.38158736790764,1,61.0840161962621,1
TS361,Cerebra_server,124.45953066788469,58.04416930570433,66.41536136218036,TS361_v1_1,58.04416930570433,1,66.41536136218036,1
