Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS298,ShanghaiTech-human,1.9664000000000001,0.9906,0.9758,TS298_v1_1,TS298_v2_5,0.9906,v1_v1,0.9906,,,0.9758,1.0,,,5.0
TS386,ShanghaiTech-Ligand,1.9664000000000001,0.9906,0.9758,TS386_v1_1,TS386_v2_5,0.9906,v1_v1,0.9906,,,0.9758,1.0,,,5.0
TS059,DeepFold,1.9664000000000001,0.9713,0.9951,TS059_v1_3,TS059_v2_6,0.9951,v2_v2,0.9713,,,0.9951,3.0,,,6.0
TS284,Unicorn,1.9661,0.9863,0.9798,TS284_v1_3,TS284_v2_5,0.9863,v1_v1,0.9863,,,0.9798,3.0,,,5.0
TS075,GHZ-ISM,1.9661,0.9863,0.9798,TS075_v1_3,TS075_v2_5,0.9863,v1_v1,0.9863,,,0.9798,3.0,,,5.0
TS286,CSSB_experimental,1.9656,0.9716,0.994,TS286_v1_2,TS286_v2_4,0.994,v2_v2,0.9716,,,0.994,2.0,,,4.0
TS262,CoDock,1.9655,0.9734,0.9921,TS262_v1_5,TS262_v2_2,0.9921,v2_v2,0.9734,,,0.9921,5.0,,,2.0
TS040,DELCLAB,1.9605000000000001,0.9616,0.9989,TS040_v1_5,TS040_v2_3,0.9989,v2_v2,0.9616,,,0.9989,5.0,,,3.0
TS494,ClusPro,1.9527999999999999,0.9531,0.9997,TS494_v1_3,TS494_v2_1,0.9997,v2_v2,0.9531,,,0.9997,3.0,,,1.0
TS274,kozakovvajda,1.9527999999999999,0.9531,0.9997,TS274_v1_3,TS274_v2_1,0.9997,v2_v2,0.9531,,,0.9997,3.0,,,1.0
TS039,arosko,1.9508999999999999,0.9571,0.9938,TS039_v1_1,TS039_v2_2,0.9938,v2_v2,0.9571,,,0.9938,1.0,,,2.0
TS294,KiharaLab,1.9419,0.983,0.9589,TS294_v1_2,TS294_v2_1,0.983,v1_v1,0.983,,,0.9589,2.0,,,1.0
TS202,test001,1.938,0.9842,0.9538,TS202_v1_5,TS202_v2_2,0.9842,v1_v1,0.9842,,,0.9538,5.0,,,2.0
TS461,forlilab,1.9332,0.9589,0.9743,TS461_v1_2,TS461_v2_3,0.9743,v2_v2,0.9589,,,0.9743,2.0,,,3.0
TS167,OpenComplex,1.9224999999999999,0.9862,0.9363,TS167_v1_2,TS167_v2_1,0.9862,v1_v1,0.9862,,,0.9363,2.0,,,1.0
TS120,Cerebra,1.9197,0.9692,0.9505,TS120_v1_6,TS120_v2_1,0.9692,v1_v1,0.9692,,,0.9505,6.0,,,1.0
TS450,OpenComplex_Server,1.9031,0.9862,0.9169,TS450_v1_5,TS450_v2_1,0.9862,v1_v1,0.9862,,,0.9169,5.0,,,1.0
TS361,Cerebra_server,1.8918,0.9413,0.9505,TS361_v1_3,TS361_v2_1,0.9505,v2_v2,0.9413,,,0.9505,3.0,,,1.0
TS225,Unknown,0.985,0.985,0.0,TS225_v1_1,TS225_v2_None,0.985,v1_v1,0.985,,,0.0,1.0,,,
TS400,OmniFold,0.9837,0.9837,0.0,TS400_v1_1,TS400_v2_None,0.9837,v1_v1,0.9837,,,0.0,1.0,,,
TS275,Seminoles,0.9642,0.9642,0.0,TS275_v1_1,TS275_v2_None,0.9642,v1_v1,0.9642,,,0.0,1.0,,,
TS132,profold2,0.8041,0.0,0.8041,TS132_v1_None,TS132_v2_1,0.8041,v2_v2,0.0,,,0.8041,,,,1.0
