Model,Group,Model Number,GDT_TS
T1214TS264_2,TS264,2,93.911
T1214TS331_5,TS331,5,93.911
T1214TS148_5,TS148,5,93.873
T1214TS235_3,TS235,3,93.873
T1214TS264_1,TS264,1,93.873
T1214TS311_3,TS311,3,93.873
T1214TS312_1,TS312,1,93.873
T1214TS314_1,TS314,1,93.873
T1214TS393_1,TS393,1,93.873
T1214TS465_2,TS465,2,93.873
T1214TS147_2,TS147,2,93.835
T1214TS227_1,TS227,1,93.835
T1214TS227_4,TS227,4,93.835
T1214TS227_5,TS227,5,93.835
T1214TS462_2,TS462,2,93.835
T1214TS465_1,TS465,1,93.835
T1214TS267_1,TS267,1,93.797
T1214TS423_4,TS423,4,93.797
T1214TS075_1,TS075,1,93.759
T1214TS284_1,TS284,1,93.759
T1214TS311_5,TS311,5,93.759
T1214TS475_3,TS475,3,93.759
T1214TS051_1,TS051,1,93.722
T1214TS331_1,TS331,1,93.722
T1214TS425_1,TS425,1,93.722
T1214TS019_3,TS019,3,93.684
T1214TS051_6,TS051,6,93.684
T1214TS075_3,TS075,3,93.684
T1214TS102_1,TS102,1,93.684
T1214TS102_2,TS102,2,93.684
T1214TS102_3,TS102,3,93.684
T1214TS102_4,TS102,4,93.684
T1214TS102_5,TS102,5,93.684
T1214TS122_2,TS122,2,93.684
T1214TS147_4,TS147,4,93.684
T1214TS284_3,TS284,3,93.684
T1214TS462_4,TS462,4,93.684
T1214TS475_2,TS475,2,93.646
T1214TS075_4,TS075,4,93.608
T1214TS264_5,TS264,5,93.608
T1214TS284_4,TS284,4,93.608
T1214TS312_2,TS312,2,93.608
T1214TS314_2,TS314,2,93.608
T1214TS393_6,TS393,6,93.608
T1214TS267_2,TS267,2,93.57
T1214TS462_6,TS462,6,93.57
T1214TS475_4,TS475,4,93.57
T1214TS019_1,TS019,1,93.533
T1214TS235_1,TS235,1,93.533
T1214TS287_1,TS287,1,93.533
T1214TS287_2,TS287,2,93.533
T1214TS311_1,TS311,1,93.533
T1214TS014_3,TS014,3,93.495
T1214TS051_4,TS051,4,93.495
T1214TS052_3,TS052,3,93.495
T1214TS235_5,TS235,5,93.495
T1214TS267_5,TS267,5,93.495
T1214TS331_4,TS331,4,93.495
T1214TS475_5,TS475,5,93.495
T1214TS196_2,TS196,2,93.457
T1214TS375_2,TS375,2,93.457
T1214TS408_3,TS408,3,93.457
T1214TS207_1,TS207,1,93.419
T1214TS207_2,TS207,2,93.419
T1214TS207_3,TS207,3,93.419
T1214TS110_4,TS110,4,93.381
T1214TS122_5,TS122,5,93.381
T1214TS198_5,TS198,5,93.381
T1214TS301_1,TS301,1,93.381
T1214TS375_1,TS375,1,93.381
T1214TS464_1,TS464,1,93.381
T1214TS464_2,TS464,2,93.381
T1214TS464_3,TS464,3,93.381
T1214TS464_4,TS464,4,93.381
T1214TS464_5,TS464,5,93.381
T1214TS475_1,TS475,1,93.381
T1214TS051_2,TS051,2,93.343
T1214TS122_1,TS122,1,93.343
T1214TS196_4,TS196,4,93.343
T1214TS319_2,TS319,2,93.343
T1214TS331_2,TS331,2,93.343
T1214TS369_1,TS369,1,93.343
T1214TS196_3,TS196,3,93.306
T1214TS235_2,TS235,2,93.306
T1214TS272_1,TS272,1,93.306
T1214TS272_2,TS272,2,93.306
T1214TS272_3,TS272,3,93.306
T1214TS272_4,TS272,4,93.306
T1214TS272_5,TS272,5,93.306
T1214TS287_3,TS287,3,93.306
T1214TS369_2,TS369,2,93.268
T1214TS196_5,TS196,5,93.23
T1214TS163_3,TS163,3,93.192
T1214TS164_3,TS164,3,93.192
T1214TS345_1,TS345,1,93.192
T1214TS051_3,TS051,3,93.154
T1214TS241_4,TS241,4,93.154
T1214TS267_4,TS267,4,93.154
T1214TS301_4,TS301,4,93.154
T1214TS304_4,TS304,4,93.154
T1214TS312_3,TS312,3,93.154
T1214TS314_3,TS314,3,93.154
T1214TS331_3,TS331,3,93.154
T1214TS345_3,TS345,3,93.154
T1214TS465_5,TS465,5,93.154
T1214TS017_4,TS017,4,93.116
T1214TS145_2,TS145,2,93.116
T1214TS198_2,TS198,2,93.116
T1214TS227_2,TS227,2,93.116
T1214TS227_3,TS227,3,93.116
T1214TS147_5,TS147,5,93.079
T1214TS198_3,TS198,3,93.079
T1214TS462_5,TS462,5,93.079
T1214TS208_2,TS208,2,93.041
T1214TS345_5,TS345,5,93.003
T1214TS408_2,TS408,2,93.003
T1214TS163_1,TS163,1,92.927
T1214TS164_1,TS164,1,92.927
T1214TS196_1,TS196,1,92.927
T1214TS208_1,TS208,1,92.927
T1214TS225_1,TS225,1,92.927
T1214TS017_5,TS017,5,92.89
T1214TS052_2,TS052,2,92.89
T1214TS145_4,TS145,4,92.89
T1214TS301_5,TS301,5,92.89
T1214TS017_2,TS017,2,92.852
T1214TS145_3,TS145,3,92.852
T1214TS264_6,TS264,6,92.852
T1214TS312_4,TS312,4,92.852
T1214TS314_4,TS314,4,92.852
T1214TS345_2,TS345,2,92.852
T1214TS345_6,TS345,6,92.852
T1214TS393_2,TS393,2,92.852
T1214TS400_1,TS400,1,92.852
T1214TS022_2,TS022,2,92.814
T1214TS052_5,TS052,5,92.814
T1214TS163_2,TS163,2,92.814
T1214TS164_2,TS164,2,92.814
T1214TS122_4,TS122,4,92.776
T1214TS147_1,TS147,1,92.776
T1214TS163_5,TS163,5,92.776
T1214TS164_5,TS164,5,92.776
T1214TS241_3,TS241,3,92.776
T1214TS304_3,TS304,3,92.776
T1214TS462_1,TS462,1,92.776
T1214TS163_4,TS163,4,92.7
T1214TS164_4,TS164,4,92.7
T1214TS208_5,TS208,5,92.7
T1214TS014_2,TS014,2,92.663
T1214TS022_1,TS022,1,92.663
T1214TS075_2,TS075,2,92.663
T1214TS241_2,TS241,2,92.663
T1214TS241_5,TS241,5,92.663
T1214TS267_3,TS267,3,92.663
T1214TS284_2,TS284,2,92.663
T1214TS304_2,TS304,2,92.663
T1214TS304_5,TS304,5,92.663
T1214TS014_6,TS014,6,92.625
T1214TS456_3,TS456,3,92.625
T1214TS207_4,TS207,4,92.587
T1214TS301_3,TS301,3,92.587
T1214TS301_2,TS301,2,92.549
T1214TS052_1,TS052,1,92.511
T1214TS312_5,TS312,5,92.511
T1214TS314_5,TS314,5,92.511
T1214TS393_4,TS393,4,92.511
T1214TS456_2,TS456,2,92.511
T1214TS014_4,TS014,4,92.436
T1214TS262_5,TS262,5,92.436
T1214TS014_5,TS014,5,92.398
T1214TS075_5,TS075,5,92.398
T1214TS262_3,TS262,3,92.398
T1214TS284_5,TS284,5,92.398
T1214TS287_4,TS287,4,92.398
T1214TS456_5,TS456,5,92.36
T1214TS241_1,TS241,1,92.322
T1214TS262_1,TS262,1,92.322
T1214TS262_2,TS262,2,92.322
T1214TS262_4,TS262,4,92.322
T1214TS294_2,TS294,2,92.322
T1214TS304_1,TS304,1,92.322
T1214TS369_4,TS369,4,92.284
T1214TS456_4,TS456,4,92.247
T1214TS052_4,TS052,4,92.209
T1214TS369_3,TS369,3,92.171
T1214TS020_3,TS020,3,92.133
T1214TS456_1,TS456,1,92.133
T1214TS015_1,TS015,1,91.982
T1214TS287_5,TS287,5,91.944
T1214TS207_5,TS207,5,91.906
T1214TS017_3,TS017,3,91.301
T1214TS145_5,TS145,5,91.301
T1214TS369_5,TS369,5,91.301
T1214TS022_3,TS022,3,91.036
T1214TS198_4,TS198,4,90.998
T1214TS059_6,TS059,6,90.923
T1214TS139_6,TS139,6,90.923
T1214TS388_2,TS388,2,90.923
T1214TS388_1,TS388,1,90.847
T1214TS148_2,TS148,2,90.734
T1214TS221_3,TS221,3,90.545
T1214TS419_3,TS419,3,90.545
T1214TS147_3,TS147,3,90.507
T1214TS221_4,TS221,4,90.507
T1214TS419_4,TS419,4,90.507
T1214TS462_3,TS462,3,90.507
T1214TS375_4,TS375,4,90.469
T1214TS221_1,TS221,1,90.431
T1214TS235_4,TS235,4,90.431
T1214TS419_1,TS419,1,90.431
T1214TS110_5,TS110,5,90.393
T1214TS319_4,TS319,4,90.393
T1214TS221_2,TS221,2,90.356
T1214TS419_2,TS419,2,90.356
T1214TS425_4,TS425,4,90.356
T1214TS204_3,TS204,3,90.318
T1214TS204_5,TS204,5,90.318
T1214TS269_1,TS269,1,90.318
T1214TS269_3,TS269,3,90.318
T1214TS269_2,TS269,2,90.242
T1214TS221_5,TS221,5,90.129
T1214TS269_5,TS269,5,90.129
T1214TS419_5,TS419,5,90.129
T1214TS269_4,TS269,4,90.053
T1214TS204_1,TS204,1,90.015
T1214TS286_4,TS286,4,89.788
T1214TS286_5,TS286,5,89.788
T1214TS286_2,TS286,2,89.75
T1214TS286_3,TS286,3,89.713
T1214TS198_1,TS198,1,89.637
T1214TS286_1,TS286,1,89.637
T1214TS202_5,TS202,5,89.561
T1214TS017_1,TS017,1,89.523
T1214TS055_1,TS055,1,89.523
T1214TS055_2,TS055,2,89.523
T1214TS145_1,TS145,1,89.523
T1214TS204_2,TS204,2,89.523
T1214TS204_4,TS204,4,89.486
T1214TS059_1,TS059,1,89.032
T1214TS059_3,TS059,3,88.994
T1214TS059_4,TS059,4,88.994
T1214TS059_5,TS059,5,88.994
T1214TS059_2,TS059,2,88.918
T1214TS091_1,TS091,1,88.238
T1214TS091_3,TS091,3,88.238
T1214TS091_4,TS091,4,88.238
T1214TS091_5,TS091,5,88.238
T1214TS040_2,TS040,2,87.935
T1214TS040_3,TS040,3,87.708
T1214TS040_5,TS040,5,87.632
T1214TS040_4,TS040,4,87.292
T1214TS040_1,TS040,1,87.216
T1214TS020_4,TS020,4,87.141
T1214TS039_1,TS039,1,87.027
T1214TS039_2,TS039,2,87.027
T1214TS039_3,TS039,3,87.027
T1214TS274_1,TS274,1,86.649
T1214TS494_1,TS494,1,86.649
T1214TS274_3,TS274,3,86.611
T1214TS494_3,TS494,3,86.611
T1214TS274_2,TS274,2,86.498
T1214TS494_2,TS494,2,86.498
T1214TS274_4,TS274,4,86.422
T1214TS494_4,TS494,4,86.422
T1214TS274_5,TS274,5,86.233
T1214TS494_5,TS494,5,86.233
T1214TS120_6,TS120,6,85.703
T1214TS294_3,TS294,3,85.552
T1214TS319_5,TS319,5,85.325
T1214TS425_5,TS425,5,85.325
T1214TS375_5,TS375,5,85.25
T1214TS294_1,TS294,1,84.796
T1214TS408_4,TS408,4,84.38
T1214TS408_5,TS408,5,84.342
T1214TS122_3,TS122,3,83.396
T1214TS202_3,TS202,3,82.791
T1214TS202_2,TS202,2,82.526
T1214TS139_3,TS139,3,82.413
T1214TS139_2,TS139,2,82.375
T1214TS202_1,TS202,1,81.997
T1214TS139_1,TS139,1,81.77
T1214TS139_5,TS139,5,81.543
T1214TS294_5,TS294,5,80.938
T1214TS294_4,TS294,4,80.749
T1214TS167_3,TS167,3,80.673
T1214TS202_4,TS202,4,80.635
T1214TS139_4,TS139,4,80.484
T1214TS275_1,TS275,1,78.707
T1214TS020_2,TS020,2,78.48
T1214TS148_3,TS148,3,78.064
T1214TS167_5,TS167,5,77.383
T1214TS020_5,TS020,5,76.891
T1214TS020_1,TS020,1,76.853
T1214TS461_3,TS461,3,76.74
T1214TS361_3,TS361,3,76.551
T1214TS148_4,TS148,4,76.513
T1214TS461_2,TS461,2,76.399
T1214TS148_1,TS148,1,76.135
T1214TS264_4,TS264,4,76.135
T1214TS361_2,TS361,2,76.135
T1214TS393_3,TS393,3,76.135
T1214TS361_4,TS361,4,75.908
T1214TS461_4,TS461,4,75.832
T1214TS461_5,TS461,5,75.832
T1214TS120_1,TS120,1,75.719
T1214TS361_1,TS361,1,75.719
T1214TS167_1,TS167,1,75.567
T1214TS361_5,TS361,5,75.378
T1214TS450_1,TS450,1,70.083
T1214TS450_3,TS450,3,68.797
T1214TS167_4,TS167,4,67.587
T1214TS450_2,TS450,2,67.587
T1214TS450_4,TS450,4,66.793
T1214TS461_1,TS461,1,55.522
T1214TS132_1,TS132,1,54.501
