Model,Group,Model Number,Model Version,AvgDockQ
T1249v1TS304_1o,TS304,1o,v1,0.429
T1249v2TS375_2o,TS375,2o,v2,0.429
T1249v2TS294_3o,TS294,3o,v2,0.428
T1249v2TS022_4o,TS022,4o,v2,0.428
T1249v1TS051_2o,TS051,2o,v1,0.428
T1249v2TS345_2o,TS345,2o,v2,0.428
T1249v2TS051_2o,TS051,2o,v2,0.428
T1249v1TS345_2o,TS345,2o,v1,0.428
T1249v2TS294_1o,TS294,1o,v2,0.427
T1249v1TS241_3o,TS241,3o,v1,0.427
T1249v1TS091_5o,TS091,5o,v1,0.427
T1249v1TS331_4o,TS331,4o,v1,0.426
T1249v2TS331_1o,TS331,1o,v2,0.426
T1249v1TS425_4o,TS425,4o,v1,0.426
T1249v2TS319_1o,TS319,1o,v2,0.426
T1249v1TS319_4o,TS319,4o,v1,0.426
T1249v2TS051_5o,TS051,5o,v2,0.426
T1249v1TS051_5o,TS051,5o,v1,0.426
T1249v2TS425_1o,TS425,1o,v2,0.426
T1249v2TS031_4o,TS031,4o,v2,0.425
T1249v2TS294_2o,TS294,2o,v2,0.424
T1249v2TS393_4o,TS393,4o,v2,0.424
T1249v2TS051_4o,TS051,4o,v2,0.424
T1249v1TS051_3o,TS051,3o,v1,0.424
T1249v1TS014_5o,TS014,5o,v1,0.424
T1249v1TS294_4o,TS294,4o,v1,0.424
T1249v2TS294_5o,TS294,5o,v2,0.424
T1249v1TS014_3o,TS014,3o,v1,0.423
T1249v1TS241_1o,TS241,1o,v1,0.423
T1249v1TS311_3o,TS311,3o,v1,0.422
T1249v2TS311_3o,TS311,3o,v2,0.422
T1249v2TS008_2o,TS008,2o,v2,0.421
T1249v2TS301_5o,TS301,5o,v2,0.421
T1249v2TS393_1o,TS393,1o,v2,0.42
T1249v2TS301_1o,TS301,1o,v2,0.418
T1249v2TS301_2o,TS301,2o,v2,0.418
T1249v2TS031_5o,TS031,5o,v2,0.418
T1249v2TS290_2o,TS290,2o,v2,0.416
T1249v1TS079_3o,TS079,3o,v1,0.415
T1249v1TS293_3o,TS293,3o,v1,0.415
T1249v2TS079_5o,TS079,5o,v2,0.415
T1249v2TS293_5o,TS293,5o,v2,0.415
T1249v2TS369_2o,TS369,2o,v2,0.414
T1249v1TS369_2o,TS369,2o,v1,0.414
T1249v2TS052_5o,TS052,5o,v2,0.414
T1249v1TS052_5o,TS052,5o,v1,0.414
T1249v1TS091_3o,TS091,3o,v1,0.414
T1249v1TS079_4o,TS079,4o,v1,0.414
T1249v1TS293_4o,TS293,4o,v1,0.414
T1249v1TS267_3o,TS267,3o,v1,0.414
T1249v2TS301_3o,TS301,3o,v2,0.414
T1249v1TS301_2o,TS301,2o,v1,0.414
T1249v2TS051_1o,TS051,1o,v2,0.413
T1249v2TS345_1o,TS345,1o,v2,0.413
T1249v1TS345_4o,TS345,4o,v1,0.413
T1249v1TS031_5o,TS031,5o,v1,0.413
T1249v2TS031_1o,TS031,1o,v2,0.413
T1249v2TS423_3o,TS423,3o,v2,0.412
T1249v1TS423_4o,TS423,4o,v1,0.412
T1249v1TS311_5o,TS311,5o,v1,0.412
T1249v2TS311_5o,TS311,5o,v2,0.412
T1249v2TS462_5o,TS462,5o,v2,0.411
T1249v2TS147_5o,TS147,5o,v2,0.411
T1249v2TS423_4o,TS423,4o,v2,0.411
T1249v2TS423_2o,TS423,2o,v2,0.411
T1249v1TS294_5o,TS294,5o,v1,0.41
T1249v1TS059_3o,TS059,3o,v1,0.409
T1249v2TS290_4o,TS290,4o,v2,0.406
T1249v1TS393_2o,TS393,2o,v1,0.406
T1249v2TS031_3o,TS031,3o,v2,0.406
T1249v2TS241_4o,TS241,4o,v2,0.405
T1249v1TS301_3o,TS301,3o,v1,0.405
T1249v2TS031_2o,TS031,2o,v2,0.405
T1249v2TS450_1o,TS450,1o,v2,0.405
T1249v2TS167_1o,TS167,1o,v2,0.405
T1249v2TS059_1o,TS059,1o,v2,0.404
T1249v2TS059_2o,TS059,2o,v2,0.403
T1249v1TS059_4o,TS059,4o,v1,0.402
T1249v1TS301_1o,TS301,1o,v1,0.399
T1249v1TS425_5o,TS425,5o,v1,0.398
T1249v2TS319_2o,TS319,2o,v2,0.398
T1249v1TS331_5o,TS331,5o,v1,0.398
T1249v2TS331_2o,TS331,2o,v2,0.398
T1249v2TS425_2o,TS425,2o,v2,0.398
T1249v1TS319_5o,TS319,5o,v1,0.398
T1249v2TS014_1o,TS014,1o,v2,0.397
T1249v1TS014_4o,TS014,4o,v1,0.396
T1249v1TS267_4o,TS267,4o,v1,0.395
T1249v2TS284_3o,TS284,3o,v2,0.394
T1249v2TS075_3o,TS075,3o,v2,0.394
T1249v2TS475_3o,TS475,3o,v2,0.394
T1249v2TS122_4o,TS122,4o,v2,0.394
T1249v2TS091_4o,TS091,4o,v2,0.394
T1249v1TS241_2o,TS241,2o,v1,0.394
T1249v2TS462_2o,TS462,2o,v2,0.394
T1249v2TS028_5o,TS028,5o,v2,0.394
T1249v2TS147_2o,TS147,2o,v2,0.394
T1249v2TS164_5o,TS164,5o,v2,0.393
T1249v1TS267_1o,TS267,1o,v1,0.393
T1249v2TS287_3o,TS287,3o,v2,0.392
T1249v1TS462_6o,TS462,6o,v1,0.392
T1249v2TS462_6o,TS462,6o,v2,0.392
T1249v2TS267_2o,TS267,2o,v2,0.392
T1249v2TS040_3o,TS040,3o,v2,0.391
T1249v2TS314_2o,TS314,2o,v2,0.39
T1249v2TS059_5o,TS059,5o,v2,0.39
T1249v2TS241_2o,TS241,2o,v2,0.388
T1249v2TS198_2o,TS198,2o,v2,0.386
T1249v2TS369_1o,TS369,1o,v2,0.385
T1249v1TS369_1o,TS369,1o,v1,0.385
T1249v1TS450_3o,TS450,3o,v1,0.385
T1249v1TS167_3o,TS167,3o,v1,0.385
T1249v1TS375_1o,TS375,1o,v1,0.384
T1249v1TS079_5o,TS079,5o,v1,0.384
T1249v1TS293_5o,TS293,5o,v1,0.384
T1249v1TS008_5o,TS008,5o,v1,0.382
T1249v2TS375_3o,TS375,3o,v2,0.38
T1249v2TS375_4o,TS375,4o,v2,0.38
T1249v2TS008_5o,TS008,5o,v2,0.376
T1249v1TS198_2o,TS198,2o,v1,0.376
T1249v1TS380_4o,TS380,4o,v1,0.376
T1249v1TS145_2o,TS145,2o,v1,0.376
T1249v1TS051_4o,TS051,4o,v1,0.374
T1249v2TS208_4o,TS208,4o,v2,0.374
T1249v2TS380_4o,TS380,4o,v2,0.374
T1249v2TS145_2o,TS145,2o,v2,0.374
T1249v2TS091_3o,TS091,3o,v2,0.373
T1249v1TS267_5o,TS267,5o,v1,0.373
T1249v2TS110_2o,TS110,2o,v2,0.373
T1249v2TS015_3o,TS015,3o,v2,0.371
T1249v1TS015_3o,TS015,3o,v1,0.371
T1249v1TS311_1o,TS311,1o,v1,0.371
T1249v2TS311_1o,TS311,1o,v2,0.371
T1249v1TS008_3o,TS008,3o,v1,0.37
T1249v2TS164_4o,TS164,4o,v2,0.368
T1249v1TS091_2o,TS091,2o,v1,0.366
T1249v1TS375_2o,TS375,2o,v1,0.366
T1249v1TS314_2o,TS314,2o,v1,0.366
T1249v2TS274_1o,TS274,1o,v2,0.365
T1249v1TS456_5o,TS456,5o,v1,0.364
T1249v2TS456_5o,TS456,5o,v2,0.364
T1249v2TS052_1o,TS052,1o,v2,0.364
T1249v2TS059_6o,TS059,6o,v2,0.363
T1249v1TS287_5o,TS287,5o,v1,0.363
T1249v2TS187_1o,TS187,1o,v2,0.362
T1249v2TS163_3o,TS163,3o,v2,0.362
T1249v1TS163_3o,TS163,3o,v1,0.362
T1249v1TS241_5o,TS241,5o,v1,0.361
T1249v1TS187_1o,TS187,1o,v1,0.36
T1249v2TS380_3o,TS380,3o,v2,0.359
T1249v2TS145_1o,TS145,1o,v2,0.359
T1249v1TS380_3o,TS380,3o,v1,0.358
T1249v1TS145_1o,TS145,1o,v1,0.358
T1249v2TS219_2o,TS219,2o,v2,0.357
T1249v1TS219_3o,TS219,3o,v1,0.357
T1249v2TS322_2o,TS322,2o,v2,0.357
T1249v1TS322_3o,TS322,3o,v1,0.357
T1249v2TS117_2o,TS117,2o,v2,0.356
T1249v1TS091_4o,TS091,4o,v1,0.356
T1249v1TS059_6o,TS059,6o,v1,0.355
T1249v2TS219_4o,TS219,4o,v2,0.354
T1249v1TS219_2o,TS219,2o,v1,0.354
T1249v1TS322_2o,TS322,2o,v1,0.354
T1249v2TS322_4o,TS322,4o,v2,0.354
T1249v2TS117_1o,TS117,1o,v2,0.352
T1249v1TS393_4o,TS393,4o,v1,0.352
T1249v1TS494_4o,TS494,4o,v1,0.351
T1249v2TS494_4o,TS494,4o,v2,0.351
T1249v2TS028_2o,TS028,2o,v2,0.351
T1249v2TS462_4o,TS462,4o,v2,0.351
T1249v2TS147_4o,TS147,4o,v2,0.351
T1249v2TS345_3o,TS345,3o,v2,0.346
T1249v2TS425_5o,TS425,5o,v2,0.346
T1249v2TS319_5o,TS319,5o,v2,0.346
T1249v2TS331_5o,TS331,5o,v2,0.346
T1249v1TS331_2o,TS331,2o,v1,0.346
T1249v2TS051_3o,TS051,3o,v2,0.346
T1249v1TS345_1o,TS345,1o,v1,0.346
T1249v1TS319_2o,TS319,2o,v1,0.346
T1249v1TS051_1o,TS051,1o,v1,0.346
T1249v1TS425_1o,TS425,1o,v1,0.346
T1249v1TS198_5o,TS198,5o,v1,0.341
T1249v1TS059_5o,TS059,5o,v1,0.339
T1249v2TS304_2o,TS304,2o,v2,0.338
T1249v2TS148_5o,TS148,5o,v2,0.335
T1249v2TS312_5o,TS312,5o,v2,0.335
T1249v2TS264_5o,TS264,5o,v2,0.335
T1249v1TS241_4o,TS241,4o,v1,0.335
T1249v2TS163_5o,TS163,5o,v2,0.333
T1249v1TS163_5o,TS163,5o,v1,0.333
T1249v1TS163_1o,TS163,1o,v1,0.331
T1249v2TS163_1o,TS163,1o,v2,0.331
T1249v2TS393_3o,TS393,3o,v2,0.331
T1249v2TS164_3o,TS164,3o,v2,0.328
T1249v2TS164_2o,TS164,2o,v2,0.325
T1249v2TS164_1o,TS164,1o,v2,0.323
T1249v1TS274_3o,TS274,3o,v1,0.322
T1249v2TS287_5o,TS287,5o,v2,0.32
T1249v1TS380_1o,TS380,1o,v1,0.32
T1249v1TS145_4o,TS145,4o,v1,0.32
T1249v1TS274_2o,TS274,2o,v1,0.32
T1249v2TS322_3o,TS322,3o,v2,0.319
T1249v2TS219_3o,TS219,3o,v2,0.319
T1249v1TS219_1o,TS219,1o,v1,0.319
T1249v1TS322_1o,TS322,1o,v1,0.319
T1249v2TS380_1o,TS380,1o,v2,0.317
T1249v2TS145_4o,TS145,4o,v2,0.317
T1249v1TS052_4o,TS052,4o,v1,0.311
T1249v1TS022_4o,TS022,4o,v1,0.311
T1249v1TS456_4o,TS456,4o,v1,0.311
T1249v2TS052_4o,TS052,4o,v2,0.311
T1249v2TS323_1o,TS323,1o,v2,0.31
T1249v1TS287_4o,TS287,4o,v1,0.309
T1249v1TS091_1o,TS091,1o,v1,0.307
T1249v2TS204_1o,TS204,1o,v2,0.303
T1249v1TS198_4o,TS198,4o,v1,0.303
T1249v2TS274_5o,TS274,5o,v2,0.303
T1249v1TS425_2o,TS425,2o,v1,0.303
T1249v2TS319_4o,TS319,4o,v2,0.303
T1249v2TS425_4o,TS425,4o,v2,0.303
T1249v2TS331_4o,TS331,4o,v2,0.303
T1249v1TS319_1o,TS319,1o,v1,0.303
T1249v1TS331_1o,TS331,1o,v1,0.303
T1249v2TS163_2o,TS163,2o,v2,0.303
T1249v1TS163_2o,TS163,2o,v1,0.303
T1249v1TS380_5o,TS380,5o,v1,0.3
T1249v1TS145_5o,TS145,5o,v1,0.3
T1249v1TS331_3o,TS331,3o,v1,0.3
T1249v1TS425_3o,TS425,3o,v1,0.3
T1249v1TS319_3o,TS319,3o,v1,0.3
T1249v2TS380_5o,TS380,5o,v2,0.298
T1249v2TS145_5o,TS145,5o,v2,0.298
T1249v1TS198_1o,TS198,1o,v1,0.296
T1249v2TS494_5o,TS494,5o,v2,0.295
T1249v1TS494_2o,TS494,2o,v1,0.295
T1249v1TS494_5o,TS494,5o,v1,0.295
T1249v2TS494_2o,TS494,2o,v2,0.295
T1249v1TS274_1o,TS274,1o,v1,0.293
T1249v2TS494_3o,TS494,3o,v2,0.293
T1249v1TS494_3o,TS494,3o,v1,0.293
T1249v1TS274_4o,TS274,4o,v1,0.292
T1249v2TS274_3o,TS274,3o,v2,0.291
T1249v1TS163_4o,TS163,4o,v1,0.29
T1249v2TS163_4o,TS163,4o,v2,0.29
T1249v1TS261_1o,TS261,1o,v1,0.289
T1249v2TS261_2o,TS261,2o,v2,0.289
T1249v2TS198_1o,TS198,1o,v2,0.289
T1249v2TS261_5o,TS261,5o,v2,0.288
T1249v2TS110_3o,TS110,3o,v2,0.288
T1249v2TS198_3o,TS198,3o,v2,0.287
T1249v2TS198_5o,TS198,5o,v2,0.287
T1249v1TS261_5o,TS261,5o,v1,0.286
T1249v1TS261_4o,TS261,4o,v1,0.285
T1249v1TS198_3o,TS198,3o,v1,0.285
T1249v2TS261_4o,TS261,4o,v2,0.284
T1249v1TS261_2o,TS261,2o,v1,0.283
T1249v1TS261_3o,TS261,3o,v1,0.283
T1249v2TS261_3o,TS261,3o,v2,0.28
T1249v2TS198_4o,TS198,4o,v2,0.28
T1249v2TS167_3o,TS167,3o,v2,0.278
T1249v2TS450_3o,TS450,3o,v2,0.278
T1249v2TS261_1o,TS261,1o,v2,0.277
T1249v1TS167_4o,TS167,4o,v1,0.273
T1249v1TS450_4o,TS450,4o,v1,0.273
T1249v2TS208_1o,TS208,1o,v2,0.271
T1249v2TS241_3o,TS241,3o,v2,0.263
T1249v1TS419_3o,TS419,3o,v1,0.262
T1249v1TS221_3o,TS221,3o,v1,0.262
T1249v1TS286_3o,TS286,3o,v1,0.262
T1249v1TS274_5o,TS274,5o,v1,0.254
T1249v2TS380_2o,TS380,2o,v2,0.251
T1249v2TS145_3o,TS145,3o,v2,0.251
T1249v1TS380_2o,TS380,2o,v1,0.251
T1249v1TS145_3o,TS145,3o,v1,0.251
T1249v2TS450_4o,TS450,4o,v2,0.246
T1249v2TS167_4o,TS167,4o,v2,0.246
T1249v2TS419_1o,TS419,1o,v2,0.245
T1249v2TS286_1o,TS286,1o,v2,0.245
T1249v2TS221_1o,TS221,1o,v2,0.245
T1249v2TS262_5o,TS262,5o,v2,0.245
T1249v2TS117_5o,TS117,5o,v2,0.243
T1249v2TS286_3o,TS286,3o,v2,0.243
T1249v2TS419_3o,TS419,3o,v2,0.243
T1249v2TS221_3o,TS221,3o,v2,0.243
T1249v2TS262_1o,TS262,1o,v2,0.24
T1249v1TS494_1o,TS494,1o,v1,0.239
T1249v2TS494_1o,TS494,1o,v2,0.239
T1249v2TS274_4o,TS274,4o,v2,0.235
T1249v2TS419_4o,TS419,4o,v2,0.234
T1249v2TS221_4o,TS221,4o,v2,0.234
T1249v1TS287_3o,TS287,3o,v1,0.233
T1249v2TS208_2o,TS208,2o,v2,0.231
T1249v2TS393_2o,TS393,2o,v2,0.229
T1249v2TS274_2o,TS274,2o,v2,0.228
T1249v1TS221_4o,TS221,4o,v1,0.226
T1249v1TS419_4o,TS419,4o,v1,0.226
T1249v2TS262_3o,TS262,3o,v2,0.222
T1249v1TS419_1o,TS419,1o,v1,0.221
T1249v1TS221_1o,TS221,1o,v1,0.221
T1249v1TS286_1o,TS286,1o,v1,0.221
T1249v1TS221_5o,TS221,5o,v1,0.219
T1249v1TS419_5o,TS419,5o,v1,0.219
T1249v1TS290_2o,TS290,2o,v1,0.218
T1249v2TS117_4o,TS117,4o,v2,0.217
T1249v2TS286_2o,TS286,2o,v2,0.216
T1249v2TS419_2o,TS419,2o,v2,0.216
T1249v2TS221_2o,TS221,2o,v2,0.216
T1249v2TS221_5o,TS221,5o,v2,0.216
T1249v2TS419_5o,TS419,5o,v2,0.216
T1249v1TS314_1o,TS314,1o,v1,0.216
T1249v1TS375_5o,TS375,5o,v1,0.216
T1249v1TS450_5o,TS450,5o,v1,0.215
T1249v1TS167_5o,TS167,5o,v1,0.215
T1249v2TS262_2o,TS262,2o,v2,0.209
T1249v1TS286_2o,TS286,2o,v1,0.208
T1249v1TS221_2o,TS221,2o,v1,0.208
T1249v1TS419_2o,TS419,2o,v1,0.208
T1249v2TS456_3o,TS456,3o,v2,0.208
T1249v1TS456_3o,TS456,3o,v1,0.208
T1249v1TS008_2o,TS008,2o,v1,0.206
T1249v2TS375_5o,TS375,5o,v2,0.206
T1249v1TS208_5o,TS208,5o,v1,0.205
T1249v1TS204_2o,TS204,2o,v1,0.202
T1249v1TS272_1o,TS272,1o,v1,0.196
T1249v2TS369_4o,TS369,4o,v2,0.195
T1249v1TS369_4o,TS369,4o,v1,0.195
T1249v2TS262_4o,TS262,4o,v2,0.193
T1249v1TS314_5o,TS314,5o,v1,0.186
T1249v1TS164_5o,TS164,5o,v1,0.183
T1249v2TS393_6o,TS393,6o,v2,0.181
T1249v1TS164_2o,TS164,2o,v1,0.181
T1249v2TS287_4o,TS287,4o,v2,0.18
T1249v2TS456_1o,TS456,1o,v2,0.18
T1249v1TS022_2o,TS022,2o,v1,0.18
T1249v2TS022_2o,TS022,2o,v2,0.18
T1249v1TS164_4o,TS164,4o,v1,0.177
T1249v2TS040_5o,TS040,5o,v2,0.173
T1249v1TS287_1o,TS287,1o,v1,0.168
T1249v1TS164_1o,TS164,1o,v1,0.168
T1249v2TS040_1o,TS040,1o,v2,0.166
T1249v2TS040_4o,TS040,4o,v2,0.165
T1249v1TS314_4o,TS314,4o,v1,0.163
T1249v1TS164_3o,TS164,3o,v1,0.161
T1249v2TS040_2o,TS040,2o,v2,0.155
T1249v1TS489_1o,TS489,1o,v1,0.15
T1249v2TS314_1o,TS314,1o,v2,0.143
T1249v2TS304_3o,TS304,3o,v2,0.141
T1249v2TS117_3o,TS117,3o,v2,0.141
T1249v1TS204_1o,TS204,1o,v1,0.139
T1249v1TS450_2o,TS450,2o,v1,0.138
T1249v1TS167_2o,TS167,2o,v1,0.138
T1249v1TS290_4o,TS290,4o,v1,0.131
T1249v2TS264_6o,TS264,6o,v2,0.13
T1249v1TS489_3o,TS489,3o,v1,0.127
T1249v1TS290_1o,TS290,1o,v1,0.127
T1249v2TS304_1o,TS304,1o,v2,0.124
T1249v1TS314_3o,TS314,3o,v1,0.124
T1249v1TS262_1o,TS262,1o,v1,0.121
T1249v1TS262_3o,TS262,3o,v1,0.118
T1249v2TS369_5o,TS369,5o,v2,0.117
T1249v1TS369_5o,TS369,5o,v1,0.117
T1249v1TS304_3o,TS304,3o,v1,0.115
T1249v1TS489_4o,TS489,4o,v1,0.11
T1249v1TS204_4o,TS204,4o,v1,0.11
T1249v2TS075_4o,TS075,4o,v2,0.109
T1249v2TS475_4o,TS475,4o,v2,0.109
T1249v2TS284_4o,TS284,4o,v2,0.109
T1249v2TS122_1o,TS122,1o,v2,0.109
T1249v2TS314_3o,TS314,3o,v2,0.109
T1249v1TS262_2o,TS262,2o,v1,0.109
T1249v1TS489_5o,TS489,5o,v1,0.106
T1249v1TS272_2o,TS272,2o,v1,0.097
T1249v1TS287_2o,TS287,2o,v1,0.097
T1249v1TS304_5o,TS304,5o,v1,0.09
T1249v1TS304_4o,TS304,4o,v1,0.089
T1249v1TS393_1o,TS393,1o,v1,0.087
T1249v1TS204_5o,TS204,5o,v1,0.086
T1249v2TS267_4o,TS267,4o,v2,0.079
T1249v1TS015_4o,TS015,4o,v1,0.079
T1249v2TS015_4o,TS015,4o,v2,0.079
T1249v2TS059_4o,TS059,4o,v2,0.076
T1249v2TS304_5o,TS304,5o,v2,0.071
T1249v1TS262_4o,TS262,4o,v1,0.064
T1249v2TS284_5o,TS284,5o,v2,0.058
T1249v2TS122_5o,TS122,5o,v2,0.058
T1249v2TS075_5o,TS075,5o,v2,0.058
T1249v2TS475_5o,TS475,5o,v2,0.058
T1249v2TS272_1o,TS272,1o,v2,0.056
T1249v2TS272_2o,TS272,2o,v2,0.056
T1249v2TS304_4o,TS304,4o,v2,0.049
T1249v1TS015_1o,TS015,1o,v1,0.028
T1249v2TS015_2o,TS015,2o,v2,0.028
T1249v1TS114_5o,TS114,5o,v1,0.021
T1249v2TS114_5o,TS114,5o,v2,0.021
T1249v2TS114_4o,TS114,4o,v2,0.019
T1249v1TS114_4o,TS114,4o,v1,0.019
T1249v1TS117_2o,TS117,2o,v1,0.018
T1249v1TS117_1o,TS117,1o,v1,0.017
T1249v2TS465_2o,TS465,2o,v2,0.017
T1249v2TS114_3o,TS114,3o,v2,0.016
