Model,Group,Model Number,GDT_TS
T1249v2TS147_5,TS147,5,0.717
T1249v2TS284_1,TS284,1,0.717
T1249v2TS462_5,TS462,5,0.717
T1249v2TS475_1,TS475,1,0.717
T1249v2TS091_5,TS091,5,0.716
T1249v1TS145_2,TS145,2,0.715
T1249v1TS380_4,TS380,4,0.715
T1249v2TS145_2,TS145,2,0.715
T1249v2TS380_4,TS380,4,0.715
T1249v1TS091_4,TS091,4,0.714
T1249v1TS091_5,TS091,5,0.713
T1249v1TS145_1,TS145,1,0.712
T1249v1TS163_3,TS163,3,0.712
T1249v1TS380_3,TS380,3,0.712
T1249v2TS163_3,TS163,3,0.712
T1249v1TS375_1,TS375,1,0.711
T1249v2TS145_1,TS145,1,0.711
T1249v2TS380_3,TS380,3,0.711
T1249v2TS091_2,TS091,2,0.71
T1249v1TS187_1,TS187,1,0.708
T1249v1TS304_2,TS304,2,0.708
T1249v2TS187_1,TS187,1,0.707
T1249v2TS287_1,TS287,1,0.705
T1249v1TS369_1,TS369,1,0.704
T1249v2TS241_5,TS241,5,0.704
T1249v2TS369_1,TS369,1,0.704
T1249v2TS290_4,TS290,4,0.697
T1249v2TS008_2,TS008,2,0.696
T1249v1TS015_3,TS015,3,0.694
T1249v2TS015_3,TS015,3,0.694
T1249v1TS052_5,TS052,5,0.692
T1249v2TS052_5,TS052,5,0.692
T1249v2TS059_6,TS059,6,0.688
T1249v2TS314_2,TS314,2,0.688
T1249v1TS311_1,TS311,1,0.687
T1249v2TS311_1,TS311,1,0.687
T1249v1TS304_1,TS304,1,0.685
T1249v1TS091_3,TS091,3,0.684
T1249v2TS164_5,TS164,5,0.683
T1249v1TS319_5,TS319,5,0.681
T1249v1TS331_5,TS331,5,0.681
T1249v1TS425_5,TS425,5,0.681
T1249v2TS241_2,TS241,2,0.681
T1249v2TS314_5,TS314,5,0.681
T1249v2TS319_2,TS319,2,0.681
T1249v2TS331_2,TS331,2,0.681
T1249v2TS375_3,TS375,3,0.681
T1249v2TS375_4,TS375,4,0.681
T1249v2TS425_2,TS425,2,0.681
T1249v1TS163_1,TS163,1,0.68
T1249v2TS163_1,TS163,1,0.68
T1249v1TS494_3,TS494,3,0.679
T1249v2TS494_3,TS494,3,0.679
T1249v2TS274_1,TS274,1,0.675
T1249v1TS241_1,TS241,1,0.674
T1249v2TS274_5,TS274,5,0.674
T1249v2TS204_2,TS204,2,0.672
T1249v1TS051_4,TS051,4,0.67
T1249v2TS075_3,TS075,3,0.67
T1249v2TS122_4,TS122,4,0.67
T1249v2TS284_3,TS284,3,0.67
T1249v2TS475_3,TS475,3,0.67
T1249v2TS204_5,TS204,5,0.669
T1249v1TS494_4,TS494,4,0.668
T1249v2TS241_4,TS241,4,0.668
T1249v2TS494_4,TS494,4,0.668
T1249v1TS219_1,TS219,1,0.667
T1249v1TS322_1,TS322,1,0.667
