Model,Group,Model Version,Model Number,Composite_Score_2
T1214TS388_3,TS388,v1,3,74.15944733460398
T1214TS301_1,TS301,v1,1,74.15004184083764
T1214TS196_1,TS196,v1,1,74.0849132638978
T1214TS284_5,TS284,v1,5,74.04904622307163
T1214TS075_5,TS075,v1,5,74.04904622307163
T1214TS272_1,TS272,v1,1,74.02745783942945
T1214TS272_3,TS272,v1,3,74.02745783942945
T1214TS272_4,TS272,v1,4,74.02699610800069
T1214TS272_2,TS272,v1,2,74.02699610800069
T1214TS272_5,TS272,v1,5,74.02699610800069
T1214TS122_1,TS122,v1,1,73.99706004339158
T1214TS163_4,TS163,v1,4,73.97605357618917
T1214TS164_4,TS164,v1,4,73.97605357618917
T1214TS014_2,TS014,v1,2,73.94083372549603
T1214TS145_3,TS145,v1,3,73.8948646875685
T1214TS017_2,TS017,v1,2,73.8948646875685
T1214TS400_1,TS400,v1,1,73.89463304583032
T1214TS145_2,TS145,v1,2,73.8551133156366
T1214TS017_4,TS017,v1,4,73.8551133156366
T1214TS464_5,TS464,v1,5,73.68518883046397
T1214TS464_4,TS464,v1,4,73.68518883046397
T1214TS464_3,TS464,v1,3,73.68518883046397
T1214TS464_2,TS464,v1,2,73.68518883046397
T1214TS464_1,TS464,v1,1,73.68518883046397
T1214TS241_3,TS241,v1,3,73.68276054474086
T1214TS304_3,TS304,v1,3,73.68276054474086
T1214TS425_1,TS425,v1,1,73.59276604213125
T1214TS345_5,TS345,v1,5,73.58664883709545
T1214TS051_6,TS051,v1,6,73.5588579049844
T1214TS198_4,TS198,v1,4,73.55750961061052
T1214TS462_2,TS462,v1,2,73.52713410794753
T1214TS147_2,TS147,v1,2,73.52713410794753
T1214TS198_5,TS198,v1,5,73.47807396168265
T1214TS304_4,TS304,v1,4,73.36923533244341
T1214TS241_4,TS241,v1,4,73.36923533244341
T1214TS301_4,TS301,v1,4,73.36418133836118
T1214TS475_1,TS475,v1,1,73.31180166668949
T1214TS375_1,TS375,v1,1,73.31180166668949
T1214TS345_1,TS345,v1,1,73.28872797666642
T1214TS235_2,TS235,v1,2,73.2488079013967
T1214TS241_1,TS241,v1,1,73.22587019558755
T1214TS304_1,TS304,v1,1,73.22587019558755
T1214TS202_2,TS202,v1,2,73.07564288784624
T1214TS267_3,TS267,v1,3,72.75440161508676
T1214TS294_4,TS294,v1,4,72.65381332441443
T1214TS147_5,TS147,v1,5,72.57665725551225
T1214TS462_5,TS462,v1,5,72.57665725551225
T1214TS314_4,TS314,v1,4,72.55356078612516
T1214TS264_6,TS264,v1,6,72.55356078612516
T1214TS393_2,TS393,v1,2,72.55356078612516
T1214TS312_4,TS312,v1,4,72.55356078612516
T1214TS465_1,TS465,v1,1,72.4871575350489
T1214TS235_1,TS235,v1,1,72.42156980198676
T1214TS020_2,TS020,v1,2,72.41450497459455
T1214TS145_4,TS145,v1,4,72.37113776546396
T1214TS017_5,TS017,v1,5,72.37113776546396
T1214TS164_5,TS164,v1,5,72.367087804662
T1214TS163_5,TS163,v1,5,72.367087804662
T1214TS235_5,TS235,v1,5,72.32727409349927
T1214TS314_5,TS314,v1,5,72.29225051390652
T1214TS393_4,TS393,v1,4,72.29225051390652
T1214TS312_5,TS312,v1,5,72.29225051390652
T1214TS294_5,TS294,v1,5,72.12978699837701
T1214TS198_2,TS198,v1,2,72.1196436030629
T1214TS208_2,TS208,v1,2,72.0543883348917
T1214TS020_5,TS020,v1,5,71.74642933027945
T1214TS020_1,TS020,v1,1,71.74083257465074
T1214TS208_5,TS208,v1,5,71.65358755753627
T1214TS287_4,TS287,v1,4,71.44604069457316
T1214TS369_4,TS369,v1,4,70.28197120721121
T1214TS287_5,TS287,v1,5,69.95939591878331
T1214TS369_3,TS369,v1,3,69.38652198307493
T1214TS319_5,TS319,v1,5,68.85146358094869
T1214TS425_5,TS425,v1,5,68.85146358094869
T1214TS202_4,TS202,v1,4,68.68319573087646
T1214TS120_6,TS120,v1,6,68.48808966892682
T1214TS369_5,TS369,v1,5,68.40948239826251
T1214TS139_3,TS139,v1,3,68.3596812415962
T1214TS055_1,TS055,v1,1,67.97397111045416
T1214TS055_2,TS055,v1,2,67.97397111045416
T1214TS375_5,TS375,v1,5,67.79573253703947
T1214TS122_3,TS122,v1,3,66.83833537030877
T1214TS235_4,TS235,v1,4,66.11369117402127
T1214TS275_1,TS275,v1,1,65.38158736790764
T1214TS148_2,TS148,v1,2,64.72308660782384
T1214TS020_3,TS020,v1,3,64.33037104228109
T1214TS052_1,TS052,v1,1,64.23227232081933
T1214TS015_1,TS015,v1,1,63.90642487326041
T1214TS022_1,TS022,v1,1,63.86244414440528
T1214TS052_3,TS052,v1,3,63.722604755207115
T1214TS419_3,TS419,v1,3,63.714433078918375
T1214TS221_3,TS221,v1,3,63.714433078918375
T1214TS456_5,TS456,v1,5,63.66065030295349
T1214TS269_3,TS269,v1,3,63.656154247084686
T1214TS456_1,TS456,v1,1,63.64178525264281
T1214TS456_2,TS456,v1,2,63.58161467594172
T1214TS419_2,TS419,v1,2,63.56061466923917
T1214TS221_2,TS221,v1,2,63.56061466923917
T1214TS269_2,TS269,v1,2,63.524741382028054
T1214TS269_1,TS269,v1,1,63.418433380077325
T1214TS425_4,TS425,v1,4,63.3082502774026
T1214TS269_5,TS269,v1,5,63.29851907279245
T1214TS221_4,TS221,v1,4,63.280080348320524
T1214TS419_4,TS419,v1,4,63.280080348320524
T1214TS419_1,TS419,v1,1,63.10510344245119
T1214TS221_1,TS221,v1,1,63.10510344245119
T1214TS022_2,TS022,v1,2,63.09574342502685
T1214TS221_5,TS221,v1,5,63.073898136263225
T1214TS419_5,TS419,v1,5,63.073898136263225
T1214TS319_4,TS319,v1,4,63.05673262383419
T1214TS269_4,TS269,v1,4,63.04537254692114
T1214TS456_3,TS456,v1,3,63.01443204292268
T1214TS388_2,TS388,v1,2,62.48705248714316
T1214TS139_6,TS139,v1,6,62.48705248714316
T1214TS059_6,TS059,v1,6,62.48705248714316
T1214TS052_4,TS052,v1,4,62.36355280993161
T1214TS456_4,TS456,v1,4,62.36137905217189
T1214TS388_1,TS388,v1,1,62.34014806061598
T1214TS052_2,TS052,v1,2,62.29281883717021
T1214TS264_4,TS264,v1,4,62.11642992495162
T1214TS148_1,TS148,v1,1,62.11642992495162
T1214TS393_3,TS393,v1,3,62.11642992495162
T1214TS204_1,TS204,v1,1,62.00671785550228
T1214TS204_5,TS204,v1,5,61.97857496823825
T1214TS462_3,TS462,v1,3,61.96662696032864
T1214TS147_3,TS147,v1,3,61.96662696032864
T1214TS204_3,TS204,v1,3,61.95815471060841
T1214TS375_4,TS375,v1,4,61.952283029135344
T1214TS022_3,TS022,v1,3,61.945543337917464
T1214TS262_3,TS262,v1,3,61.916423848475205
T1214TS262_2,TS262,v1,2,61.90747658227617
T1214TS262_1,TS262,v1,1,61.90747658227617
T1214TS110_5,TS110,v1,5,61.84779654685637
T1214TS148_3,TS148,v1,3,61.77767584790136
T1214TS052_5,TS052,v1,5,61.72848764712473
T1214TS262_4,TS262,v1,4,61.686601324699446
T1214TS461_2,TS461,v1,2,61.64039142970768
T1214TS148_4,TS148,v1,4,61.50534928942435
T1214TS204_4,TS204,v1,4,61.40791732822736
T1214TS262_5,TS262,v1,5,61.404805097043955
T1214TS198_1,TS198,v1,1,61.27863622331741
T1214TS204_2,TS204,v1,2,61.174821636039404
T1214TS017_1,TS017,v1,1,61.113613858025296
T1214TS145_1,TS145,v1,1,61.113613858025296
T1214TS286_2,TS286,v1,2,60.776429165576694
T1214TS059_5,TS059,v1,5,60.7385635769741
T1214TS286_4,TS286,v1,4,60.73686286818275
T1214TS059_3,TS059,v1,3,60.73490723824808
T1214TS059_1,TS059,v1,1,60.71711153907578
T1214TS059_4,TS059,v1,4,60.68990279133943
T1214TS286_5,TS286,v1,5,60.669638093587736
T1214TS059_2,TS059,v1,2,60.667396206416484
T1214TS286_3,TS286,v1,3,60.63580046288006
T1214TS286_1,TS286,v1,1,60.54669000073709
T1214TS408_4,TS408,v1,4,60.462716937960074
T1214TS039_3,TS039,v1,3,60.24629529718391
T1214TS039_1,TS039,v1,1,60.22745601146963
T1214TS039_2,TS039,v1,2,60.227366725755346
T1214TS408_5,TS408,v1,5,59.50735016351509
T1214TS207_4,TS207,v1,4,59.4312598715914
T1214TS207_5,TS207,v1,5,59.28659957600418
T1214TS040_5,TS040,v1,5,58.04540676335979
T1214TS120_1,TS120,v1,1,58.04416930570433
T1214TS361_1,TS361,v1,1,58.04416930570433
T1214TS091_1,TS091,v1,1,57.9775577363807
T1214TS274_1,TS274,v1,1,57.81294164300847
T1214TS494_1,TS494,v1,1,57.81294164300847
T1214TS040_3,TS040,v1,3,57.79485585651845
T1214TS040_1,TS040,v1,1,57.77497039467626
T1214TS274_3,TS274,v1,3,57.77148382404347
T1214TS494_3,TS494,v1,3,57.77148382404347
T1214TS040_2,TS040,v1,2,57.767318515697184
T1214TS040_4,TS040,v1,4,57.71532259050543
T1214TS494_5,TS494,v1,5,57.614713661048995
T1214TS274_5,TS274,v1,5,57.614713661048995
T1214TS274_2,TS274,v1,2,57.59529065090411
T1214TS494_2,TS494,v1,2,57.59529065090411
T1214TS091_4,TS091,v1,4,57.53649185841568
T1214TS091_3,TS091,v1,3,57.53649185841568
