Model,Group,Model Number,Model Version,GDT_TS
T1249v1TS393_4,TS393,4,v1,0.519
T1249v2TS031_2,TS031,2,v2,0.519
T1249v2TS423_3,TS423,3,v2,0.519
T1249v1TS014_2,TS014,2,v1,0.518
T1249v1TS311_2,TS311,2,v1,0.518
T1249v1TS345_5,TS345,5,v1,0.518
T1249v2TS008_2,TS008,2,v2,0.518
T1249v2TS311_2,TS311,2,v2,0.518
T1249v2TS345_5,TS345,5,v2,0.518
T1249v1TS079_5,TS079,5,v1,0.517
T1249v1TS267_3,TS267,3,v1,0.517
T1249v1TS293_5,TS293,5,v1,0.517
T1249v2TS267_1,TS267,1,v2,0.517
T1249v2TS294_3,TS294,3,v2,0.517
T1249v1TS022_1,TS022,1,v1,0.516
T1249v1TS052_2,TS052,2,v1,0.516
T1249v1TS393_6,TS393,6,v1,0.516
T1249v2TS022_1,TS022,1,v2,0.516
T1249v2TS059_1,TS059,1,v2,0.516
T1249v1TS198_4,TS198,4,v1,0.515
T1249v2TS040_3,TS040,3,v2,0.515
T1249v2TS267_3,TS267,3,v2,0.515
T1249v2TS290_2,TS290,2,v2,0.515
T1249v2TS301_1,TS301,1,v2,0.515
T1249v2TS241_1,TS241,1,v2,0.514
T1249v2TS301_5,TS301,5,v2,0.514
T1249v2TS014_1,TS014,1,v2,0.513
T1249v2TS204_4,TS204,4,v2,0.513
T1249v1TS014_4,TS014,4,v1,0.512
T1249v1TS014_5,TS014,5,v1,0.512
T1249v2TS079_4,TS079,4,v2,0.512
T1249v2TS293_4,TS293,4,v2,0.512
T1249v2TS294_4,TS294,4,v2,0.512
T1249v2TS301_3,TS301,3,v2,0.512
T1249v1TS301_3,TS301,3,v1,0.511
T1249v2TS022_4,TS022,4,v2,0.511
T1249v1TS267_5,TS267,5,v1,0.51
T1249v1TS393_2,TS393,2,v1,0.51
T1249v1TS456_2,TS456,2,v1,0.51
T1249v1TS494_3,TS494,3,v1,0.51
T1249v2TS290_3,TS290,3,v2,0.51
T1249v2TS456_2,TS456,2,v2,0.51
T1249v2TS494_3,TS494,3,v2,0.51
T1249v1TS015_3,TS015,3,v1,0.509
T1249v1TS301_4,TS301,4,v1,0.509
T1249v2TS015_3,TS015,3,v2,0.509
T1249v2TS148_4,TS148,4,v2,0.509
T1249v2TS264_4,TS264,4,v2,0.509
T1249v2TS312_4,TS312,4,v2,0.509
T1249v1TS022_4,TS022,4,v1,0.508
T1249v1TS052_4,TS052,4,v1,0.508
T1249v1TS274_4,TS274,4,v1,0.508
T1249v1TS456_4,TS456,4,v1,0.508
T1249v2TS028_2,TS028,2,v2,0.508
T1249v2TS052_4,TS052,4,v2,0.508
T1249v2TS059_5,TS059,5,v2,0.508
T1249v2TS147_4,TS147,4,v2,0.508
T1249v2TS323_1,TS323,1,v2,0.508
T1249v2TS462_4,TS462,4,v2,0.508
T1249v2TS274_5,TS274,5,v2,0.507
T1249v2TS301_2,TS301,2,v2,0.507
