Model,Group,Model Number,Model Version,GlobalLDDT
T1239v1TS148_4,TS148,4,v1,0.7100
T1239v1TS312_4,TS312,4,v1,0.7100
T1239v1TS198_2,TS198,2,v1,0.7099
T1239v1TS163_3,TS163,3,v1,0.7098
T1239v1TS198_4,TS198,4,v1,0.7097
T1239v2TS301_5,TS301,5,v2,0.7096
T1239v1TS122_4,TS122,4,v1,0.7096
T1239v2TS075_5,TS075,5,v2,0.7096
T1239v2TS122_4,TS122,4,v2,0.7096
T1239v2TS284_5,TS284,5,v2,0.7096
T1239v1TS375_2,TS375,2,v1,0.7096
T1239v1TS164_3,TS164,3,v1,0.7095
T1239v1TS358_3,TS358,3,v1,0.7093
T1239v1TS148_1,TS148,1,v1,0.7093
T1239v1TS312_1,TS312,1,v1,0.7093
T1239v1TS264_4,TS264,4,v1,0.7092
T1239v2TS475_2,TS475,2,v2,0.7091
T1239v2TS312_2,TS312,2,v2,0.7091
T1239v2TS145_5,TS145,5,v2,0.7090
T1239v2TS198_2,TS198,2,v2,0.7090
T1239v2TS017_2,TS017,2,v2,0.7090
T1239v2TS023_5,TS023,5,v2,0.7090
T1239v2TS075_3,TS075,3,v2,0.7089
T1239v2TS301_3,TS301,3,v2,0.7089
T1239v2TS284_3,TS284,3,v2,0.7089
T1239v1TS122_1,TS122,1,v1,0.7089
T1239v2TS122_1,TS122,1,v2,0.7089
T1239v2TS148_1,TS148,1,v2,0.7084
T1239v2TS269_2,TS269,2,v2,0.7084
T1239v2TS312_4,TS312,4,v2,0.7084
T1239v2TS148_3,TS148,3,v2,0.7083
T1239v2TS269_1,TS269,1,v2,0.7082
T1239v1TS163_5,TS163,5,v1,0.7080
T1239v1TS221_1,TS221,1,v1,0.7079
T1239v1TS419_1,TS419,1,v1,0.7079
T1239v1TS163_4,TS163,4,v1,0.7078
T1239v1TS375_5,TS375,5,v1,0.7078
T1239v2TS023_1,TS023,1,v2,0.7077
T1239v2TS145_1,TS145,1,v2,0.7077
T1239v2TS122_2,TS122,2,v2,0.7076
T1239v2TS075_2,TS075,2,v2,0.7076
T1239v1TS122_2,TS122,2,v1,0.7076
T1239v2TS301_2,TS301,2,v2,0.7076
