Model,Group,Model Number,GlobalLDDT
T1214TS145_3,TS145,3,0.8338
T1214TS017_2,TS017,2,0.8338
T1214TS375_2,TS375,2,0.8334
T1214TS475_5,TS475,5,0.8334
T1214TS014_2,TS014,2,0.8333
T1214TS456_2,TS456,2,0.8332
T1214TS235_1,TS235,1,0.8332
T1214TS456_3,TS456,3,0.8330
T1214TS301_5,TS301,5,0.8327
T1214TS423_4,TS423,4,0.8318
T1214TS198_2,TS198,2,0.8316
T1214TS287_5,TS287,5,0.8313
T1214TS163_5,TS163,5,0.8312
T1214TS164_5,TS164,5,0.8312
T1214TS145_4,TS145,4,0.8310
T1214TS017_5,TS017,5,0.8310
T1214TS052_4,TS052,4,0.8310
T1214TS293_4,TS293,4,0.8307
T1214TS456_1,TS456,1,0.8307
T1214TS052_2,TS052,2,0.8305
T1214TS462_6,TS462,6,0.8303
T1214TS122_1,TS122,1,0.8302
T1214TS456_4,TS456,4,0.8301
T1214TS052_1,TS052,1,0.8301
T1214TS475_3,TS475,3,0.8301
T1214TS369_3,TS369,3,0.8297
T1214TS052_5,TS052,5,0.8290
T1214TS015_1,TS015,1,0.8281
T1214TS196_1,TS196,1,0.8272
T1214TS475_4,TS475,4,0.8270
T1214TS262_2,TS262,2,0.8268
T1214TS262_1,TS262,1,0.8268
T1214TS408_1,TS408,1,0.8265
T1214TS262_3,TS262,3,0.8259
T1214TS055_3,TS055,3,0.8246
T1214TS055_5,TS055,5,0.8246
T1214TS055_4,TS055,4,0.8246
T1214TS262_4,TS262,4,0.8242
T1214TS022_3,TS022,3,0.8237
T1214TS020_3,TS020,3,0.8237
T1214TS262_5,TS262,5,0.8231
T1214TS465_5,TS465,5,0.8225
T1214TS475_2,TS475,2,0.8218
T1214TS375_1,TS375,1,0.8208
T1214TS475_1,TS475,1,0.8208
T1214TS145_5,TS145,5,0.8186
T1214TS017_3,TS017,3,0.8186
T1214TS198_4,TS198,4,0.8180
T1214TS369_5,TS369,5,0.8173
T1214TS408_2,TS408,2,0.8149
T1214TS269_5,TS269,5,0.8131
T1214TS419_3,TS419,3,0.8116
T1214TS221_3,TS221,3,0.8116
T1214TS269_3,TS269,3,0.8112
T1214TS221_1,TS221,1,0.8110
T1214TS419_1,TS419,1,0.8110
T1214TS269_1,TS269,1,0.8107
T1214TS269_2,TS269,2,0.8104
T1214TS419_2,TS419,2,0.8098
T1214TS221_2,TS221,2,0.8098
T1214TS148_2,TS148,2,0.8098
T1214TS139_6,TS139,6,0.8093
T1214TS059_6,TS059,6,0.8093
T1214TS388_2,TS388,2,0.8093
T1214TS388_1,TS388,1,0.8092
T1214TS221_4,TS221,4,0.8088
T1214TS419_4,TS419,4,0.8088
T1214TS425_4,TS425,4,0.8083
T1214TS221_5,TS221,5,0.8076
T1214TS319_4,TS319,4,0.8076
T1214TS419_5,TS419,5,0.8076
T1214TS202_5,TS202,5,0.8076
T1214TS269_4,TS269,4,0.8074
T1214TS147_3,TS147,3,0.8064
T1214TS462_3,TS462,3,0.8064
T1214TS204_5,TS204,5,0.8058
T1214TS204_3,TS204,3,0.8056
T1214TS110_5,TS110,5,0.8053
T1214TS375_4,TS375,4,0.8046
T1214TS198_1,TS198,1,0.8012
T1214TS017_1,TS017,1,0.7997
T1214TS145_1,TS145,1,0.7997
T1214TS204_1,TS204,1,0.7994
T1214TS286_2,TS286,2,0.7993
T1214TS286_3,TS286,3,0.7988
T1214TS286_4,TS286,4,0.7971
T1214TS286_5,TS286,5,0.7966
T1214TS286_1,TS286,1,0.7955
T1214TS204_4,TS204,4,0.7928
T1214TS204_2,TS204,2,0.7917
T1214TS235_4,TS235,4,0.7884
T1214TS059_5,TS059,5,0.7839
T1214TS059_3,TS059,3,0.7838
T1214TS059_2,TS059,2,0.7824
T1214TS059_4,TS059,4,0.7824
T1214TS059_1,TS059,1,0.7811
T1214TS020_4,TS020,4,0.7732
T1214TS139_3,TS139,3,0.7629
T1214TS139_5,TS139,5,0.7543
T1214TS139_2,TS139,2,0.7542
T1214TS040_5,TS040,5,0.7533
T1214TS494_1,TS494,1,0.7520
T1214TS274_1,TS274,1,0.7520
T1214TS040_2,TS040,2,0.7514
T1214TS139_1,TS139,1,0.7513
T1214TS425_5,TS425,5,0.7510
T1214TS319_5,TS319,5,0.7510
T1214TS040_3,TS040,3,0.7509
T1214TS091_1,TS091,1,0.7504
T1214TS274_4,TS274,4,0.7499
T1214TS202_3,TS202,3,0.7499
T1214TS494_4,TS494,4,0.7499
T1214TS274_5,TS274,5,0.7498
T1214TS494_5,TS494,5,0.7498
T1214TS274_3,TS274,3,0.7495
T1214TS274_2,TS274,2,0.7495
T1214TS494_2,TS494,2,0.7495
T1214TS494_3,TS494,3,0.7495
T1214TS040_1,TS040,1,0.7494
T1214TS202_2,TS202,2,0.7494
T1214TS039_3,TS039,3,0.7492
T1214TS139_4,TS139,4,0.7491
T1214TS039_2,TS039,2,0.7489
T1214TS039_1,TS039,1,0.7486
T1214TS091_3,TS091,3,0.7483
T1214TS091_5,TS091,5,0.7483
T1214TS294_3,TS294,3,0.7483
T1214TS091_4,TS091,4,0.7483
T1214TS202_1,TS202,1,0.7448
T1214TS040_4,TS040,4,0.7445
T1214TS202_4,TS202,4,0.7421
T1214TS375_5,TS375,5,0.7404
T1214TS294_1,TS294,1,0.7390
T1214TS408_4,TS408,4,0.7260
T1214TS122_3,TS122,3,0.7224
T1214TS120_6,TS120,6,0.7219
T1214TS408_5,TS408,5,0.7193
T1214TS055_2,TS055,2,0.7152
T1214TS055_1,TS055,1,0.7152
T1214TS461_2,TS461,2,0.7114
T1214TS294_5,TS294,5,0.7074
T1214TS294_4,TS294,4,0.7067
T1214TS275_1,TS275,1,0.6919
T1214TS020_5,TS020,5,0.6903
T1214TS020_1,TS020,1,0.6901
T1214TS020_2,TS020,2,0.6855
T1214TS461_5,TS461,5,0.6812
T1214TS461_3,TS461,3,0.6755
T1214TS461_4,TS461,4,0.6688
T1214TS264_4,TS264,4,0.6531
T1214TS393_3,TS393,3,0.6531
T1214TS148_1,TS148,1,0.6531
T1214TS361_1,TS361,1,0.6264
T1214TS120_1,TS120,1,0.6264
T1214TS148_4,TS148,4,0.6246
T1214TS361_4,TS361,4,0.6192
T1214TS361_3,TS361,3,0.6188
T1214TS361_2,TS361,2,0.6174
T1214TS361_5,TS361,5,0.6163
T1214TS148_3,TS148,3,0.6158
