Model,Group,Model Number,Model Version,GDT_TS
T1228v1TS262_4,TS262,4,v1,0.46676
T1228v1TS286_4,TS286,4,v1,0.46676
T1228v1TS369_2,TS369,2,v1,0.46676
T1228v1TS311_1,TS311,1,v1,0.46676
T1228v2TS231_3,TS231,3,v2,0.46629
T1228v1TS221_5,TS221,5,v1,0.46629
T1228v2TS262_3,TS262,3,v2,0.46629
T1228v1TS304_3,TS304,3,v1,0.46582
T1228v2TS231_5,TS231,5,v2,0.46582
T1228v2TS262_5,TS262,5,v2,0.46582
T1228v2TS262_2,TS262,2,v2,0.46582
T1228v2TS304_4,TS304,4,v2,0.46582
T1228v2TS375_1,TS375,1,v2,0.46536
T1228v2TS241_1,TS241,1,v2,0.46536
T1228v2TS286_1,TS286,1,v2,0.46488999999999997
T1228v2TS369_5,TS369,5,v2,0.46442
T1228v2TS164_3,TS164,3,v2,0.46442
T1228v1TS369_5,TS369,5,v1,0.46442
T1228v1TS110_2,TS110,2,v1,0.46442
T1228v1TS456_1,TS456,1,v1,0.46395000000000003
T1228v1TS028_2,TS028,2,v1,0.46395000000000003
T1228v2TS456_5,TS456,5,v2,0.46395000000000003
T1228v2TS204_3,TS204,3,v2,0.46395000000000003
T1228v2TS287_3,TS287,3,v2,0.46395000000000003
T1228v2TS208_5,TS208,5,v2,0.46348
T1228v2TS264_4,TS264,4,v2,0.46348
T1228v2TS231_4,TS231,4,v2,0.46301000000000003
T1228v1TS033_3,TS033,3,v1,0.46301000000000003
T1228v2TS287_4,TS287,4,v2,0.46301000000000003
T1228v2TS052_5,TS052,5,v2,0.46255
T1228v1TS052_1,TS052,1,v1,0.46255
T1228v1TS033_2,TS033,2,v1,0.46255
T1228v2TS286_5,TS286,5,v2,0.46255
T1228v2TS304_2,TS304,2,v2,0.46255
T1228v1TS231_1,TS231,1,v1,0.46255
T1228v2TS465_5,TS465,5,v2,0.46208
T1228v1TS481_4,TS481,4,v1,0.46208
T1228v1TS028_5,TS028,5,v1,0.46208
T1228v2TS304_3,TS304,3,v2,0.46208
T1228v2TS425_2,TS425,2,v2,0.46161
T1228v1TS198_2,TS198,2,v1,0.46161
T1228v1TS419_5,TS419,5,v1,0.46161
T1228v2TS319_1,TS319,1,v2,0.46161
T1228v1TS425_1,TS425,1,v1,0.46161
T1228v2TS091_2,TS091,2,v2,0.46114
T1228v2TS221_2,TS221,2,v2,0.46114
T1228v2TS198_2,TS198,2,v2,0.46114
T1228v1TS481_5,TS481,5,v1,0.46114
T1228v1TS091_2,TS091,2,v1,0.46114
T1228v2TS304_1,TS304,1,v2,0.46114
T1228v2TS148_5,TS148,5,v2,0.46067
T1228v2TS465_3,TS465,3,v2,0.46067
T1228v1TS312_1,TS312,1,v1,0.46067
T1228v2TS241_2,TS241,2,v2,0.46067
T1228v2TS274_3,TS274,3,v2,0.46021
T1228v1TS022_2,TS022,2,v1,0.46021
T1228v1TS494_3,TS494,3,v1,0.46021
T1228v2TS494_3,TS494,3,v2,0.46021
T1228v2TS022_2,TS022,2,v2,0.46021
T1228v1TS274_3,TS274,3,v1,0.46021
T1228v2TS164_4,TS164,4,v2,0.46021
T1228v2TS294_5,TS294,5,v2,0.45974
T1228v1TS221_3,TS221,3,v1,0.45974
T1228v2TS059_3,TS059,3,v2,0.45974
T1228v1TS345_5,TS345,5,v1,0.45927
T1228v2TS051_5,TS051,5,v2,0.45927
T1228v1TS019_4,TS019,4,v1,0.45927
T1228v1TS375_4,TS375,4,v1,0.45927
T1228v2TS345_5,TS345,5,v2,0.45927
T1228v1TS051_5,TS051,5,v1,0.45927
T1228v2TS148_2,TS148,2,v2,0.45880000000000004
T1228v1TS267_1,TS267,1,v1,0.45880000000000004
T1228v2TS075_2,TS075,2,v2,0.45880000000000004
T1228v2TS419_4,TS419,4,v2,0.45880000000000004
T1228v2TS122_2,TS122,2,v2,0.45880000000000004
T1228v1TS312_5,TS312,5,v1,0.45880000000000004
T1228v2TS301_2,TS301,2,v2,0.45880000000000004
T1228v2TS284_2,TS284,2,v2,0.45880000000000004
T1228v2TS235_3,TS235,3,v2,0.45832999999999996
T1228v2TS164_1,TS164,1,v2,0.45832999999999996
T1228v1TS235_3,TS235,3,v1,0.45832999999999996
T1228v2TS164_5,TS164,5,v2,0.45832999999999996
T1228v2TS231_1,TS231,1,v2,0.45787
T1228v1TS375_1,TS375,1,v1,0.45787
T1228v2TS311_4,TS311,4,v2,0.45740000000000003
T1228v1TS456_4,TS456,4,v1,0.45740000000000003
T1228v2TS465_2,TS465,2,v2,0.45740000000000003
T1228v2TS456_4,TS456,4,v2,0.45740000000000003
T1228v1TS110_1,TS110,1,v1,0.45740000000000003
T1228v1TS311_4,TS311,4,v1,0.45740000000000003
T1228v2TS274_1,TS274,1,v2,0.45693
T1228v2TS465_4,TS465,4,v2,0.45693
T1228v1TS147_2,TS147,2,v1,0.45693
T1228v1TS494_1,TS494,1,v1,0.45693
T1228v2TS494_1,TS494,1,v2,0.45693
T1228v1TS274_1,TS274,1,v1,0.45693
T1228v1TS033_5,TS033,5,v1,0.45646000000000003
T1228v1TS287_2,TS287,2,v1,0.45598999999999995
T1228v2TS033_2,TS033,2,v2,0.45598999999999995
T1228v1TS450_3,TS450,3,v1,0.45552
T1228v1TS167_3,TS167,3,v1,0.45552
T1228v1TS019_2,TS019,2,v1,0.45552
T1228v1TS314_2,TS314,2,v1,0.45506
T1228v2TS264_3,TS264,3,v2,0.45459000000000005
T1228v2TS148_4,TS148,4,v2,0.45411999999999997
T1228v1TS267_5,TS267,5,v1,0.45365
T1228v2TS196_5,TS196,5,v2,0.45365
T1228v2TS481_3,TS481,3,v2,0.45365
T1228v1TS196_5,TS196,5,v1,0.45365
T1228v2TS267_5,TS267,5,v2,0.45365
T1228v1TS110_4,TS110,4,v1,0.45365
T1228v2TS059_4,TS059,4,v2,0.45317999999999997
T1228v2TS059_2,TS059,2,v2,0.45317999999999997
T1228v2TS311_2,TS311,2,v2,0.45272
T1228v1TS489_2,TS489,2,v1,0.45272
T1228v1TS028_1,TS028,1,v1,0.45272
T1228v1TS311_2,TS311,2,v1,0.45272
T1228v2TS231_2,TS231,2,v2,0.45225000000000004
T1228v1TS019_1,TS019,1,v1,0.45225000000000004
T1228v2TS019_5,TS019,5,v2,0.45225000000000004
T1228v2TS267_4,TS267,4,v2,0.45225000000000004
T1228v2TS294_4,TS294,4,v2,0.45177999999999996
T1228v1TS167_5,TS167,5,v1,0.45177999999999996
T1228v1TS167_4,TS167,4,v1,0.45177999999999996
T1228v1TS450_5,TS450,5,v1,0.45177999999999996
T1228v1TS450_4,TS450,4,v1,0.45177999999999996
T1228v2TS241_5,TS241,5,v2,0.45177999999999996
T1228v1TS241_1,TS241,1,v1,0.45131
T1228v2TS388_3,TS388,3,v2,0.45131
T1228v2TS147_2,TS147,2,v2,0.45131
T1228v1TS319_5,TS319,5,v1,0.45084
T1228v2TS331_5,TS331,5,v2,0.45084
T1228v2TS425_5,TS425,5,v2,0.45084
T1228v1TS388_3,TS388,3,v1,0.45084
T1228v1TS425_5,TS425,5,v1,0.45084
T1228v2TS319_5,TS319,5,v2,0.45084
T1228v1TS331_5,TS331,5,v1,0.45084
T1228v1TS287_3,TS287,3,v1,0.45037
T1228v2TS425_3,TS425,3,v2,0.45037
T1228v2TS369_4,TS369,4,v2,0.45037
T1228v1TS319_3,TS319,3,v1,0.45037
T1228v2TS331_3,TS331,3,v2,0.45037
T1228v1TS369_4,TS369,4,v1,0.45037
T1228v2TS319_3,TS319,3,v2,0.45037
T1228v1TS331_3,TS331,3,v1,0.45037
T1228v1TS425_2,TS425,2,v1,0.45037
T1228v1TS019_3,TS019,3,v1,0.44991
T1228v1TS221_2,TS221,2,v1,0.44991
T1228v1TS028_3,TS028,3,v1,0.44991
T1228v1TS079_2,TS079,2,v1,0.44944
T1228v1TS159_1,TS159,1,v1,0.44944
T1228v2TS293_2,TS293,2,v2,0.44944
T1228v1TS301_5,TS301,5,v1,0.44944
T1228v1TS325_1,TS325,1,v1,0.44944
T1228v2TS325_1,TS325,1,v2,0.44944
T1228v1TS293_2,TS293,2,v1,0.44944
T1228v2TS079_2,TS079,2,v2,0.44944
T1228v2TS159_1,TS159,1,v2,0.44944
T1228v1TS231_5,TS231,5,v1,0.44897
T1228v2TS014_4,TS014,4,v2,0.4485
T1228v1TS286_2,TS286,2,v1,0.4485
T1228v2TS196_4,TS196,4,v2,0.4485
T1228v1TS419_4,TS419,4,v1,0.4485
