Model,Group,Model Number,Model Version,GlobalLDDT
T1228v1TS198_2,TS198,2,v1,0.7431
T1228v2TS028_3,TS028,3,v2,0.7431
T1228v2TS450_3,TS450,3,v2,0.7430
T1228v2TS167_3,TS167,3,v2,0.7430
T1228v1TS475_3,TS475,3,v1,0.7428
T1228v2TS264_2,TS264,2,v2,0.7428
T1228v2TS147_1,TS147,1,v2,0.7427
T1228v2TS204_4,TS204,4,v2,0.7425
T1228v2TS388_3,TS388,3,v2,0.7425
T1228v1TS425_4,TS425,4,v1,0.7425
T1228v1TS198_3,TS198,3,v1,0.7424
T1228v2TS198_3,TS198,3,v2,0.7424
T1228v2TS110_1,TS110,1,v2,0.7423
T1228v2TS264_5,TS264,5,v2,0.7423
T1228v2TS284_5,TS284,5,v2,0.7422
T1228v2TS241_5,TS241,5,v2,0.7422
T1228v2TS075_5,TS075,5,v2,0.7422
T1228v2TS122_5,TS122,5,v2,0.7422
T1228v2TS301_5,TS301,5,v2,0.7422
T1228v1TS204_2,TS204,2,v1,0.7421
T1228v2TS481_5,TS481,5,v2,0.7421
T1228v2TS204_1,TS204,1,v2,0.7421
T1228v2TS167_1,TS167,1,v2,0.7420
T1228v2TS450_1,TS450,1,v2,0.7420
T1228v2TS475_4,TS475,4,v2,0.7420
T1228v1TS462_2,TS462,2,v1,0.7420
T1228v1TS167_2,TS167,2,v1,0.7419
T1228v2TS028_2,TS028,2,v2,0.7419
T1228v1TS450_2,TS450,2,v1,0.7419
T1228v2TS304_1,TS304,1,v2,0.7418
T1228v2TS110_4,TS110,4,v2,0.7416
T1228v2TS481_1,TS481,1,v2,0.7415
T1228v1TS369_2,TS369,2,v1,0.7415
T1228v1TS388_3,TS388,3,v1,0.7415
T1228v2TS369_2,TS369,2,v2,0.7415
T1228v2TS110_2,TS110,2,v2,0.7415
T1228v1TS287_4,TS287,4,v1,0.7415
T1228v2TS481_2,TS481,2,v2,0.7415
T1228v1TS017_3,TS017,3,v1,0.7414
T1228v1TS231_1,TS231,1,v1,0.7414
T1228v1TS231_4,TS231,4,v1,0.7414
T1228v1TS145_2,TS145,2,v1,0.7414
T1228v1TS450_4,TS450,4,v1,0.7413
T1228v1TS450_5,TS450,5,v1,0.7413
T1228v1TS167_4,TS167,4,v1,0.7413
T1228v1TS167_5,TS167,5,v1,0.7413
T1228v1TS475_4,TS475,4,v1,0.7412
T1228v1TS475_2,TS475,2,v1,0.7412
T1228v2TS475_3,TS475,3,v2,0.7411
T1228v1TS298_2,TS298,2,v1,0.7410
T1228v1TS475_5,TS475,5,v1,0.7410
T1228v2TS164_5,TS164,5,v2,0.7410
T1228v2TS017_2,TS017,2,v2,0.7410
T1228v2TS198_5,TS198,5,v2,0.7410
T1228v2TS145_2,TS145,2,v2,0.7410
T1228v2TS475_1,TS475,1,v2,0.7407
T1228v2TS475_2,TS475,2,v2,0.7406
T1228v2TS388_2,TS388,2,v2,0.7406
T1228v1TS147_3,TS147,3,v1,0.7406
T1228v1TS264_6,TS264,6,v1,0.7405
T1228v1TS294_3,TS294,3,v1,0.7405
T1228v1TS294_2,TS294,2,v1,0.7405
T1228v2TS475_5,TS475,5,v2,0.7405
T1228v2TS284_2,TS284,2,v2,0.7405
T1228v2TS388_1,TS388,1,v2,0.7405
T1228v2TS301_2,TS301,2,v2,0.7405
T1228v2TS122_2,TS122,2,v2,0.7405
T1228v1TS294_1,TS294,1,v1,0.7405
T1228v2TS075_2,TS075,2,v2,0.7405
T1228v1TS475_1,TS475,1,v1,0.7404
T1228v1TS052_2,TS052,2,v1,0.7403
T1228v1TS369_3,TS369,3,v1,0.7403
T1228v2TS369_3,TS369,3,v2,0.7403
T1228v1TS241_4,TS241,4,v1,0.7403
T1228v2TS052_2,TS052,2,v2,0.7403
T1228v1TS456_2,TS456,2,v1,0.7403
T1228v2TS456_2,TS456,2,v2,0.7403
T1228v1TS033_4,TS033,4,v1,0.7402
T1228v2TS164_3,TS164,3,v2,0.7402
T1228v2TS028_1,TS028,1,v2,0.7402
T1228v2TS369_1,TS369,1,v2,0.7402
T1228v2TS287_4,TS287,4,v2,0.7402
T1228v2TS450_2,TS450,2,v2,0.7402
T1228v1TS287_2,TS287,2,v1,0.7402
T1228v2TS059_4,TS059,4,v2,0.7402
T1228v1TS489_2,TS489,2,v1,0.7402
T1228v2TS167_2,TS167,2,v2,0.7402
T1228v1TS369_1,TS369,1,v1,0.7402
T1228v1TS462_4,TS462,4,v1,0.7402
T1228v2TS164_4,TS164,4,v2,0.7401
T1228v1TS017_2,TS017,2,v1,0.7400
T1228v1TS145_1,TS145,1,v1,0.7400
T1228v2TS465_4,TS465,4,v2,0.7400
T1228v2TS314_1,TS314,1,v2,0.7400
T1228v2TS022_1,TS022,1,v2,0.7399
T1228v1TS375_2,TS375,2,v1,0.7399
T1228v2TS145_1,TS145,1,v2,0.7399
T1228v2TS298_1,TS298,1,v2,0.7399
T1228v2TS264_3,TS264,3,v2,0.7399
T1228v1TS022_5,TS022,5,v1,0.7399
T1228v1TS198_5,TS198,5,v1,0.7399
T1228v1TS294_5,TS294,5,v1,0.7397
T1228v1TS294_4,TS294,4,v1,0.7397
T1228v2TS345_6,TS345,6,v2,0.7397
T1228v1TS345_6,TS345,6,v1,0.7397
T1228v2TS028_5,TS028,5,v2,0.7397
T1228v1TS241_2,TS241,2,v1,0.7396
T1228v2TS298_3,TS298,3,v2,0.7396
T1228v1TS198_1,TS198,1,v1,0.7396
T1228v2TS269_1,TS269,1,v2,0.7396
T1228v2TS164_1,TS164,1,v2,0.7396
T1228v2TS145_5,TS145,5,v2,0.7396
T1228v2TS287_3,TS287,3,v2,0.7396
T1228v1TS269_1,TS269,1,v1,0.7396
T1228v2TS375_2,TS375,2,v2,0.7395
T1228v1TS145_5,TS145,5,v1,0.7395
T1228v1TS017_1,TS017,1,v1,0.7395
T1228v1TS388_2,TS388,2,v1,0.7394
T1228v1TS231_2,TS231,2,v1,0.7394
T1228v1TS167_3,TS167,3,v1,0.7394
T1228v1TS450_3,TS450,3,v1,0.7394
T1228v1TS231_5,TS231,5,v1,0.7394
T1228v2TS312_3,TS312,3,v2,0.7393
T1228v2TS033_2,TS033,2,v2,0.7392
T1228v1TS264_1,TS264,1,v1,0.7392
T1228v2TS196_4,TS196,4,v2,0.7392
T1228v1TS264_3,TS264,3,v1,0.7392
T1228v1TS147_4,TS147,4,v1,0.7392
T1228v1TS196_4,TS196,4,v1,0.7392
T1228v1TS231_3,TS231,3,v1,0.7391
T1228v1TS028_3,TS028,3,v1,0.7391
T1228v2TS147_5,TS147,5,v2,0.7391
