Model,Group,Model Number,Model Version,AvgDockQ
T1249v1TS079_3o,TS079,3o,v1,0.156
T1249v2TS079_5o,TS079,5o,v2,0.156
T1249v1TS293_3o,TS293,3o,v1,0.156
T1249v2TS293_5o,TS293,5o,v2,0.156
T1249v1TS293_1o,TS293,1o,v1,0.155
T1249v1TS079_1o,TS079,1o,v1,0.155
T1249v2TS110_5o,TS110,5o,v2,0.155
T1249v2TS040_3o,TS040,3o,v2,0.155
T1249v1TS274_5o,TS274,5o,v1,0.154
T1249v2TS293_2o,TS293,2o,v2,0.154
T1249v2TS079_2o,TS079,2o,v2,0.154
T1249v2TS164_3o,TS164,3o,v2,0.154
T1249v2TS267_5o,TS267,5o,v2,0.154
T1249v2TS425_3o,TS425,3o,v2,0.153
T1249v1TS345_3o,TS345,3o,v1,0.153
T1249v2TS319_3o,TS319,3o,v2,0.153
T1249v2TS331_3o,TS331,3o,v2,0.153
T1249v2TS117_1o,TS117,1o,v2,0.153
T1249v2TS294_3o,TS294,3o,v2,0.153
T1249v2TS110_2o,TS110,2o,v2,0.152
T1249v2TS052_5o,TS052,5o,v2,0.152
T1249v1TS052_5o,TS052,5o,v1,0.152
T1249v2TS345_4o,TS345,4o,v2,0.152
T1249v1TS241_3o,TS241,3o,v1,0.152
T1249v1TS456_2o,TS456,2o,v1,0.152
T1249v2TS456_2o,TS456,2o,v2,0.152
T1249v1TS419_3o,TS419,3o,v1,0.152
T1249v1TS286_3o,TS286,3o,v1,0.152
T1249v1TS221_3o,TS221,3o,v1,0.152
T1249v1TS091_5o,TS091,5o,v1,0.151
T1249v1TS293_4o,TS293,4o,v1,0.151
T1249v1TS079_4o,TS079,4o,v1,0.151
T1249v1TS059_2o,TS059,2o,v1,0.151
T1249v2TS208_4o,TS208,4o,v2,0.15
T1249v1TS241_2o,TS241,2o,v1,0.15
T1249v2TS241_1o,TS241,1o,v2,0.15
T1249v2TS198_2o,TS198,2o,v2,0.15
T1249v1TS345_4o,TS345,4o,v1,0.149
T1249v2TS345_1o,TS345,1o,v2,0.149
T1249v2TS051_1o,TS051,1o,v2,0.149
T1249v2TS059_2o,TS059,2o,v2,0.149
T1249v1TS059_4o,TS059,4o,v1,0.149
T1249v1TS059_3o,TS059,3o,v1,0.149
T1249v2TS465_3o,TS465,3o,v2,0.148
T1249v1TS465_1o,TS465,1o,v1,0.148
T1249v2TS462_2o,TS462,2o,v2,0.148
T1249v2TS028_5o,TS028,5o,v2,0.148
T1249v2TS147_2o,TS147,2o,v2,0.148
T1249v1TS014_2o,TS014,2o,v1,0.148
T1249v1TS267_4o,TS267,4o,v1,0.148
T1249v2TS369_4o,TS369,4o,v2,0.147
T1249v1TS369_4o,TS369,4o,v1,0.147
T1249v1TS423_4o,TS423,4o,v1,0.147
T1249v2TS167_1o,TS167,1o,v2,0.147
T1249v2TS450_1o,TS450,1o,v2,0.147
T1249v1TS419_2o,TS419,2o,v1,0.146
T1249v1TS221_2o,TS221,2o,v1,0.146
T1249v1TS286_2o,TS286,2o,v1,0.146
T1249v1TS450_4o,TS450,4o,v1,0.146
T1249v1TS167_4o,TS167,4o,v1,0.146
T1249v1TS419_5o,TS419,5o,v1,0.146
T1249v1TS221_5o,TS221,5o,v1,0.146
T1249v2TS267_3o,TS267,3o,v2,0.145
T1249v2TS423_2o,TS423,2o,v2,0.145
T1249v2TS015_1o,TS015,1o,v2,0.145
T1249v1TS015_2o,TS015,2o,v1,0.145
T1249v2TS267_1o,TS267,1o,v2,0.144
T1249v2TS311_1o,TS311,1o,v2,0.144
T1249v1TS311_1o,TS311,1o,v1,0.144
T1249v2TS051_4o,TS051,4o,v2,0.143
T1249v1TS267_3o,TS267,3o,v1,0.143
T1249v1TS051_3o,TS051,3o,v1,0.143
T1249v2TS423_3o,TS423,3o,v2,0.143
T1249v2TS423_4o,TS423,4o,v2,0.143
T1249v1TS267_2o,TS267,2o,v1,0.143
T1249v2TS294_4o,TS294,4o,v2,0.142
T1249v2TS290_3o,TS290,3o,v2,0.141
T1249v2TS015_5o,TS015,5o,v2,0.141
T1249v1TS015_5o,TS015,5o,v1,0.141
T1249v2TS031_4o,TS031,4o,v2,0.141
T1249v2TS208_1o,TS208,1o,v2,0.141
T1249v1TS014_6o,TS014,6o,v1,0.141
T1249v1TS221_1o,TS221,1o,v1,0.14
T1249v1TS286_1o,TS286,1o,v1,0.14
T1249v1TS419_1o,TS419,1o,v1,0.14
T1249v2TS148_2o,TS148,2o,v2,0.14
T1249v2TS264_2o,TS264,2o,v2,0.14
T1249v2TS312_2o,TS312,2o,v2,0.14
T1249v2TS293_4o,TS293,4o,v2,0.14
T1249v2TS079_4o,TS079,4o,v2,0.14
T1249v2TS031_1o,TS031,1o,v2,0.139
T1249v1TS031_5o,TS031,5o,v1,0.139
T1249v2TS301_1o,TS301,1o,v2,0.139
T1249v2TS462_4o,TS462,4o,v2,0.139
T1249v2TS147_4o,TS147,4o,v2,0.139
T1249v2TS028_2o,TS028,2o,v2,0.139
T1249v2TS323_1o,TS323,1o,v2,0.139
T1249v2TS375_3o,TS375,3o,v2,0.138
T1249v2TS375_4o,TS375,4o,v2,0.138
T1249v2TS204_4o,TS204,4o,v2,0.138
T1249v1TS267_5o,TS267,5o,v1,0.138
T1249v2TS091_4o,TS091,4o,v2,0.138
T1249v1TS301_4o,TS301,4o,v1,0.138
T1249v1TS198_4o,TS198,4o,v1,0.138
T1249v2TS425_5o,TS425,5o,v2,0.138
T1249v2TS345_3o,TS345,3o,v2,0.138
T1249v1TS051_1o,TS051,1o,v1,0.138
T1249v2TS051_3o,TS051,3o,v2,0.138
T1249v1TS319_2o,TS319,2o,v1,0.138
T1249v1TS345_1o,TS345,1o,v1,0.138
T1249v1TS331_2o,TS331,2o,v1,0.138
T1249v2TS319_5o,TS319,5o,v2,0.138
T1249v2TS331_5o,TS331,5o,v2,0.138
T1249v1TS425_1o,TS425,1o,v1,0.138
T1249v1TS198_2o,TS198,2o,v1,0.138
T1249v1TS274_4o,TS274,4o,v1,0.138
T1249v2TS301_5o,TS301,5o,v2,0.137
T1249v2TS031_5o,TS031,5o,v2,0.137
T1249v2TS274_1o,TS274,1o,v2,0.136
T1249v1TS014_4o,TS014,4o,v1,0.136
T1249v2TS311_2o,TS311,2o,v2,0.136
T1249v1TS311_2o,TS311,2o,v1,0.136
T1249v1TS014_3o,TS014,3o,v1,0.135
T1249v1TS423_3o,TS423,3o,v1,0.135
T1249v1TS423_2o,TS423,2o,v1,0.135
T1249v2TS290_2o,TS290,2o,v2,0.135
T1249v2TS380_4o,TS380,4o,v2,0.135
T1249v2TS145_2o,TS145,2o,v2,0.135
T1249v1TS380_4o,TS380,4o,v1,0.135
T1249v1TS145_2o,TS145,2o,v1,0.135
T1249v2TS267_2o,TS267,2o,v2,0.135
T1249v2TS164_5o,TS164,5o,v2,0.134
T1249v1TS494_2o,TS494,2o,v1,0.134
T1249v2TS494_5o,TS494,5o,v2,0.134
T1249v2TS494_2o,TS494,2o,v2,0.134
T1249v1TS494_5o,TS494,5o,v1,0.134
T1249v2TS311_3o,TS311,3o,v2,0.134
T1249v1TS311_3o,TS311,3o,v1,0.134
T1249v1TS311_5o,TS311,5o,v1,0.134
T1249v2TS311_5o,TS311,5o,v2,0.134
T1249v1TS014_5o,TS014,5o,v1,0.132
T1249v1TS274_2o,TS274,2o,v1,0.132
T1249v2TS312_4o,TS312,4o,v2,0.132
T1249v2TS148_4o,TS148,4o,v2,0.132
T1249v2TS264_4o,TS264,4o,v2,0.132
T1249v2TS015_3o,TS015,3o,v2,0.132
T1249v1TS015_3o,TS015,3o,v1,0.132
T1249v2TS423_5o,TS423,5o,v2,0.131
T1249v2TS059_1o,TS059,1o,v2,0.131
T1249v1TS311_4o,TS311,4o,v1,0.131
T1249v2TS311_4o,TS311,4o,v2,0.131
T1249v1TS423_5o,TS423,5o,v1,0.13
T1249v2TS059_3o,TS059,3o,v2,0.13
T1249v2TS293_1o,TS293,1o,v2,0.13
T1249v2TS079_1o,TS079,1o,v2,0.13
T1249v1TS301_3o,TS301,3o,v1,0.13
T1249v2TS164_4o,TS164,4o,v2,0.129
T1249v1TS301_5o,TS301,5o,v1,0.129
T1249v1TS393_2o,TS393,2o,v1,0.128
T1249v2TS059_5o,TS059,5o,v2,0.128
T1249v2TS423_1o,TS423,1o,v2,0.128
T1249v2TS031_2o,TS031,2o,v2,0.128
T1249v2TS031_3o,TS031,3o,v2,0.128
T1249v1TS274_1o,TS274,1o,v1,0.128
T1249v1TS423_1o,TS423,1o,v1,0.127
T1249v2TS301_2o,TS301,2o,v2,0.127
T1249v2TS301_4o,TS301,4o,v2,0.127
T1249v1TS290_2o,TS290,2o,v1,0.126
T1249v2TS022_3o,TS022,3o,v2,0.125
T1249v1TS052_3o,TS052,3o,v1,0.125
T1249v2TS052_3o,TS052,3o,v2,0.125
T1249v1TS022_3o,TS022,3o,v1,0.125
T1249v2TS301_3o,TS301,3o,v2,0.125
T1249v2TS286_1o,TS286,1o,v2,0.124
T1249v2TS419_1o,TS419,1o,v2,0.124
T1249v2TS221_1o,TS221,1o,v2,0.124
T1249v1TS314_2o,TS314,2o,v1,0.124
T1249v1TS287_5o,TS287,5o,v1,0.124
T1249v2TS456_4o,TS456,4o,v2,0.124
T1249v1TS456_1o,TS456,1o,v1,0.124
T1249v1TS301_2o,TS301,2o,v1,0.124
T1249v1TS241_4o,TS241,4o,v1,0.123
T1249v2TS293_3o,TS293,3o,v2,0.123
T1249v2TS079_3o,TS079,3o,v2,0.123
T1249v1TS375_5o,TS375,5o,v1,0.123
T1249v1TS293_5o,TS293,5o,v1,0.123
T1249v1TS079_5o,TS079,5o,v1,0.123
T1249v1TS450_3o,TS450,3o,v1,0.122
T1249v1TS167_3o,TS167,3o,v1,0.122
T1249v2TS014_1o,TS014,1o,v2,0.122
T1249v2TS022_4o,TS022,4o,v2,0.122
T1249v1TS301_1o,TS301,1o,v1,0.122
T1249v1TS164_4o,TS164,4o,v1,0.122
T1249v2TS286_3o,TS286,3o,v2,0.121
T1249v2TS419_3o,TS419,3o,v2,0.121
T1249v2TS221_3o,TS221,3o,v2,0.121
T1249v2TS419_4o,TS419,4o,v2,0.12
T1249v2TS221_4o,TS221,4o,v2,0.12
T1249v1TS425_3o,TS425,3o,v1,0.12
T1249v1TS331_3o,TS331,3o,v1,0.12
T1249v2TS198_1o,TS198,1o,v2,0.12
T1249v1TS287_3o,TS287,3o,v1,0.12
T1249v1TS274_3o,TS274,3o,v1,0.12
T1249v1TS319_3o,TS319,3o,v1,0.12
T1249v1TS494_3o,TS494,3o,v1,0.117
T1249v2TS494_3o,TS494,3o,v2,0.117
T1249v2TS274_5o,TS274,5o,v2,0.116
T1249v2TS393_3o,TS393,3o,v2,0.116
T1249v1TS287_4o,TS287,4o,v1,0.115
T1249v1TS425_2o,TS425,2o,v1,0.114
T1249v1TS319_1o,TS319,1o,v1,0.114
T1249v1TS331_1o,TS331,1o,v1,0.114
T1249v2TS319_4o,TS319,4o,v2,0.114
T1249v2TS425_4o,TS425,4o,v2,0.114
T1249v1TS204_1o,TS204,1o,v1,0.114
T1249v2TS331_4o,TS331,4o,v2,0.114
T1249v1TS198_1o,TS198,1o,v1,0.113
T1249v1TS164_1o,TS164,1o,v1,0.113
T1249v2TS148_1o,TS148,1o,v2,0.113
T1249v2TS264_1o,TS264,1o,v2,0.113
T1249v2TS312_1o,TS312,1o,v2,0.113
T1249v1TS164_5o,TS164,5o,v1,0.111
T1249v1TS322_3o,TS322,3o,v1,0.11
T1249v1TS219_3o,TS219,3o,v1,0.11
T1249v1TS164_2o,TS164,2o,v1,0.11
T1249v2TS219_2o,TS219,2o,v2,0.11
T1249v2TS322_2o,TS322,2o,v2,0.11
T1249v2TS375_5o,TS375,5o,v2,0.109
T1249v1TS322_1o,TS322,1o,v1,0.108
T1249v1TS219_1o,TS219,1o,v1,0.108
T1249v1TS164_3o,TS164,3o,v1,0.108
T1249v2TS219_3o,TS219,3o,v2,0.108
T1249v2TS322_3o,TS322,3o,v2,0.108
T1249v1TS059_1o,TS059,1o,v1,0.107
T1249v1TS314_5o,TS314,5o,v1,0.107
T1249v1TS059_6o,TS059,6o,v1,0.107
T1249v2TS286_2o,TS286,2o,v2,0.106
T1249v2TS221_2o,TS221,2o,v2,0.106
T1249v2TS419_2o,TS419,2o,v2,0.106
T1249v2TS208_2o,TS208,2o,v2,0.106
T1249v2TS274_3o,TS274,3o,v2,0.106
T1249v1TS208_5o,TS208,5o,v1,0.104
T1249v1TS456_3o,TS456,3o,v1,0.103
T1249v2TS456_3o,TS456,3o,v2,0.103
T1249v2TS456_5o,TS456,5o,v2,0.102
T1249v1TS456_5o,TS456,5o,v1,0.102
T1249v1TS204_2o,TS204,2o,v1,0.102
T1249v2TS274_4o,TS274,4o,v2,0.1
T1249v2TS204_1o,TS204,1o,v2,0.099
T1249v2TS494_1o,TS494,1o,v2,0.099
T1249v1TS494_1o,TS494,1o,v1,0.099
T1249v2TS274_2o,TS274,2o,v2,0.097
T1249v2TS241_3o,TS241,3o,v2,0.096
T1249v2TS221_5o,TS221,5o,v2,0.095
T1249v2TS419_5o,TS419,5o,v2,0.095
T1249v2TS262_5o,TS262,5o,v2,0.094
T1249v1TS314_1o,TS314,1o,v1,0.093
T1249v2TS262_1o,TS262,1o,v2,0.091
T1249v1TS314_4o,TS314,4o,v1,0.09
T1249v1TS008_2o,TS008,2o,v1,0.09
T1249v2TS369_5o,TS369,5o,v2,0.085
T1249v1TS369_5o,TS369,5o,v1,0.085
T1249v1TS262_1o,TS262,1o,v1,0.085
T1249v1TS262_3o,TS262,3o,v1,0.084
T1249v2TS262_2o,TS262,2o,v2,0.084
T1249v2TS262_3o,TS262,3o,v2,0.082
T1249v2TS022_2o,TS022,2o,v2,0.082
T1249v2TS456_1o,TS456,1o,v2,0.082
T1249v1TS022_2o,TS022,2o,v1,0.082
T1249v2TS262_4o,TS262,4o,v2,0.081
T1249v1TS262_2o,TS262,2o,v1,0.078
T1249v1TS287_1o,TS287,1o,v1,0.077
T1249v1TS489_4o,TS489,4o,v1,0.075
T1249v1TS489_3o,TS489,3o,v1,0.072
T1249v1TS290_1o,TS290,1o,v1,0.069
T1249v2TS040_1o,TS040,1o,v2,0.067
T1249v1TS489_1o,TS489,1o,v1,0.066
T1249v1TS450_2o,TS450,2o,v1,0.065
T1249v1TS167_2o,TS167,2o,v1,0.065
T1249v1TS015_4o,TS015,4o,v1,0.061
T1249v2TS015_4o,TS015,4o,v2,0.061
T1249v1TS489_5o,TS489,5o,v1,0.06
T1249v2TS040_2o,TS040,2o,v2,0.06
T1249v2TS040_4o,TS040,4o,v2,0.06
T1249v2TS040_5o,TS040,5o,v2,0.06
T1249v1TS262_4o,TS262,4o,v1,0.06
T1249v1TS314_3o,TS314,3o,v1,0.06
T1249v2TS264_6o,TS264,6o,v2,0.058
T1249v1TS290_4o,TS290,4o,v1,0.057
T1249v2TS489_5o,TS489,5o,v2,0.052
T1249v2TS196_5o,TS196,5o,v2,0.052
T1249v1TS204_5o,TS204,5o,v1,0.052
T1249v1TS287_2o,TS287,2o,v1,0.051
T1249v1TS204_4o,TS204,4o,v1,0.05
T1249v2TS267_4o,TS267,4o,v2,0.043
T1249v1TS393_1o,TS393,1o,v1,0.043
T1249v1TS196_1o,TS196,1o,v1,0.04
T1249v2TS059_4o,TS059,4o,v2,0.039
T1249v2TS015_2o,TS015,2o,v2,0.036
T1249v1TS015_1o,TS015,1o,v1,0.036
T1249v1TS148_3o,TS148,3o,v1,0.034
T1249v2TS489_4o,TS489,4o,v2,0.033
T1249v1TS028_4o,TS028,4o,v1,0.032
T1249v1TS294_1o,TS294,1o,v1,0.032
T1249v1TS294_2o,TS294,2o,v1,0.032
