Model,Group,Model Number,Model Version,TMscore
M1239v1TS028_4,TS028,4,v1,0.6515
M1239v1TS028_5,TS028,5,v1,0.6079
M1239v1TS028_5,TS028,5,v1,0.6146
M1239v1TS033_1,TS033,1,v1,0.5588
M1239v1TS033_1,TS033,1,v1,0.5653
M1239v1TS033_2,TS033,2,v1,0.5811
M1239v1TS033_2,TS033,2,v1,0.6084
M1239v1TS033_3,TS033,3,v1,0.5585
M1239v1TS033_3,TS033,3,v1,0.5841
M1239v1TS033_4,TS033,4,v1,0.5746
M1239v1TS033_4,TS033,4,v1,0.5834
M1239v1TS033_5,TS033,5,v1,0.5137
M1239v1TS033_5,TS033,5,v1,0.5303
M1239v1TS091_1,TS091,1,v1,0.5375
M1239v1TS091_1,TS091,1,v1,0.5435
M1239v1TS091_2,TS091,2,v1,0.5616
M1239v1TS091_2,TS091,2,v1,0.5702
M1239v1TS091_3,TS091,3,v1,0.5595
M1239v1TS091_3,TS091,3,v1,0.5755
M1239v1TS091_4,TS091,4,v1,0.5403
M1239v1TS091_4,TS091,4,v1,0.5643
M1239v1TS091_5,TS091,5,v1,0.5614
M1239v1TS091_5,TS091,5,v1,0.5875
M1239v1TS110_1,TS110,1,v1,0.6603
M1239v1TS110_1,TS110,1,v1,0.6572
M1239v1TS110_2,TS110,2,v1,0.5885
M1239v1TS110_2,TS110,2,v1,0.5923
M1239v1TS110_3,TS110,3,v1,0.6398
M1239v1TS110_3,TS110,3,v1,0.6522
M1239v1TS110_4,TS110,4,v1,0.5537
M1239v1TS110_4,TS110,4,v1,0.5681
M1239v1TS110_5,TS110,5,v1,0.5555
M1239v1TS110_5,TS110,5,v1,0.5797
M1239v1TS159_1,TS159,1,v1,0.6025
M1239v1TS159_1,TS159,1,v1,0.6104
M1239v1TS159_2,TS159,2,v1,0.6222
M1239v1TS159_2,TS159,2,v1,0.6288
M1239v1TS167_1,TS167,1,v1,0.5948
M1239v1TS167_1,TS167,1,v1,0.6182
M1239v1TS167_2,TS167,2,v1,0.5839
M1239v1TS167_2,TS167,2,v1,0.6091
M1239v1TS167_3,TS167,3,v1,0.5773
M1239v1TS167_3,TS167,3,v1,0.6031
M1239v1TS167_4,TS167,4,v1,0.5779
M1239v1TS167_4,TS167,4,v1,0.6056
M1239v1TS167_5,TS167,5,v1,0.5847
M1239v1TS167_5,TS167,5,v1,0.6106
M1239v1TS204_1,TS204,1,v1,0.5691
M1239v1TS204_1,TS204,1,v1,0.5953
M1239v1TS204_2,TS204,2,v1,0.6285
M1239v1TS204_2,TS204,2,v1,0.6379
M1239v1TS204_3,TS204,3,v1,0.5824
M1239v1TS204_3,TS204,3,v1,0.6095
M1239v1TS204_4,TS204,4,v1,0.5033
M1239v1TS204_4,TS204,4,v1,0.5315
M1239v1TS204_5,TS204,5,v1,0.6382
M1239v1TS204_5,TS204,5,v1,0.6471
M1239v1TS208_1,TS208,1,v1,0.6538
M1239v1TS208_1,TS208,1,v1,0.6581
M1239v1TS208_2,TS208,2,v1,0.6379
M1239v1TS208_2,TS208,2,v1,0.6387
M1239v1TS208_4,TS208,4,v1,0.6612
M1239v1TS208_4,TS208,4,v1,0.6663
M1239v1TS231_1,TS231,1,v1,0.5587
M1239v1TS231_1,TS231,1,v1,0.5709
M1239v1TS231_2,TS231,2,v1,0.5627
M1239v1TS231_2,TS231,2,v1,0.5767
M1239v1TS235_1,TS235,1,v1,0.6536
M1239v1TS235_1,TS235,1,v1,0.655
M1239v1TS235_2,TS235,2,v1,0.6519
M1239v1TS235_2,TS235,2,v1,0.6504
M1239v1TS235_3,TS235,3,v1,0.6384
M1239v1TS235_3,TS235,3,v1,0.6437
M1239v1TS235_4,TS235,4,v1,0.578
M1239v1TS235_4,TS235,4,v1,0.6027
M1239v1TS235_5,TS235,5,v1,0.6701
M1239v1TS235_5,TS235,5,v1,0.6753
M1239v1TS241_1,TS241,1,v1,0.3214
M1239v1TS241_1,TS241,1,v1,0.3343
M1239v1TS241_2,TS241,2,v1,0.3316
M1239v1TS241_2,TS241,2,v1,0.3348
M1239v1TS241_3,TS241,3,v1,0.3222
M1239v1TS241_3,TS241,3,v1,0.3344
M1239v1TS241_4,TS241,4,v1,0.3422
M1239v1TS241_4,TS241,4,v1,0.3511
M1239v1TS241_5,TS241,5,v1,0.3304
M1239v1TS241_5,TS241,5,v1,0.3297
M1239v1TS262_1,TS262,1,v1,0.6251
M1239v1TS262_1,TS262,1,v1,0.6276
M1239v1TS262_2,TS262,2,v1,0.6315
M1239v1TS262_2,TS262,2,v1,0.6325
M1239v1TS262_3,TS262,3,v1,0.6251
M1239v1TS262_3,TS262,3,v1,0.6276
M1239v1TS262_4,TS262,4,v1,0.5951
M1239v1TS262_4,TS262,4,v1,0.6164
M1239v1TS262_5,TS262,5,v1,0.6315
M1239v1TS262_5,TS262,5,v1,0.6325
M1239v1TS272_1,TS272,1,v1,0.4027
M1239v1TS272_1,TS272,1,v1,0.4051
M1239v1TS272_2,TS272,2,v1,0.3973
M1239v1TS272_2,TS272,2,v1,0.3855
M1239v1TS272_3,TS272,3,v1,0.4099
M1239v1TS272_3,TS272,3,v1,0.399
M1239v1TS272_4,TS272,4,v1,0.3955
M1239v1TS272_4,TS272,4,v1,0.3841
M1239v1TS272_5,TS272,5,v1,0.3936
M1239v1TS272_5,TS272,5,v1,0.2685
M1239v1TS286_1,TS286,1,v1,0.5639
M1239v1TS286_1,TS286,1,v1,0.5899
M1239v1TS286_2,TS286,2,v1,0.5491
M1239v1TS286_2,TS286,2,v1,0.5764
M1239v1TS286_3,TS286,3,v1,0.5737
M1239v1TS286_3,TS286,3,v1,0.6008
M1239v1TS286_4,TS286,4,v1,0.6028
M1239v1TS286_4,TS286,4,v1,0.6108
M1239v1TS286_5,TS286,5,v1,0.5587
M1239v1TS286_5,TS286,5,v1,0.586
M1239v1TS294_1,TS294,1,v1,0.651
M1239v1TS294_1,TS294,1,v1,0.6605
M1239v1TS294_2,TS294,2,v1,0.5632
M1239v1TS294_2,TS294,2,v1,0.5889
M1239v1TS294_3,TS294,3,v1,0.5517
M1239v1TS294_3,TS294,3,v1,0.5751
M1239v1TS294_4,TS294,4,v1,0.6205
M1239v1TS294_4,TS294,4,v1,0.6291
M1239v1TS294_5,TS294,5,v1,0.6134
M1239v1TS294_5,TS294,5,v1,0.6212
M1239v1TS304_1,TS304,1,v1,0.3304
M1239v1TS304_1,TS304,1,v1,0.3297
M1239v1TS304_2,TS304,2,v1,0.3047
M1239v1TS304_2,TS304,2,v1,0.3124
M1239v1TS304_3,TS304,3,v1,0.2998
M1239v1TS304_3,TS304,3,v1,0.3131
M1239v1TS304_4,TS304,4,v1,0.3011
M1239v1TS304_4,TS304,4,v1,0.3169
M1239v1TS304_5,TS304,5,v1,0.2972
M1239v1TS304_5,TS304,5,v1,0.3123
M1239v1TS325_1,TS325,1,v1,0.6025
M1239v1TS325_1,TS325,1,v1,0.6104
M1239v1TS325_2,TS325,2,v1,0.6222
M1239v1TS325_2,TS325,2,v1,0.6288
M1239v1TS369_1,TS369,1,v1,0.5738
M1239v1TS369_1,TS369,1,v1,0.601
M1239v1TS369_2,TS369,2,v1,0.5747
M1239v1TS369_2,TS369,2,v1,0.5982
M1239v1TS369_3,TS369,3,v1,0.5842
M1239v1TS369_3,TS369,3,v1,0.6107
M1239v1TS369_4,TS369,4,v1,0.5674
M1239v1TS369_4,TS369,4,v1,0.592
M1239v1TS369_5,TS369,5,v1,0.5827
M1239v1TS369_5,TS369,5,v1,0.6091
M1239v1TS450_1,TS450,1,v1,0.5948
M1239v1TS450_1,TS450,1,v1,0.6182
M1239v1TS450_2,TS450,2,v1,0.5839
M1239v1TS450_2,TS450,2,v1,0.6091
M1239v1TS450_3,TS450,3,v1,0.5773
M1239v1TS450_3,TS450,3,v1,0.6031
M1239v1TS450_4,TS450,4,v1,0.5779
M1239v1TS450_4,TS450,4,v1,0.6056
M1239v1TS450_5,TS450,5,v1,0.5847
M1239v1TS450_5,TS450,5,v1,0.6106
M1239v1TS462_1,TS462,1,v1,0.6544
M1239v1TS462_1,TS462,1,v1,0.6587
M1239v1TS462_2,TS462,2,v1,0.5867
M1239v1TS462_2,TS462,2,v1,0.6117
M1239v1TS462_3,TS462,3,v1,0.565
M1239v1TS462_3,TS462,3,v1,0.588
M1239v1TS462_4,TS462,4,v1,0.6526
M1239v1TS462_4,TS462,4,v1,0.6577
M1239v1TS462_5,TS462,5,v1,0.5535
M1239v1TS462_5,TS462,5,v1,0.5564
M1239v1TS481_1,TS481,1,v1,0.6122
M1239v1TS481_1,TS481,1,v1,0.618
M1239v1TS481_2,TS481,2,v1,0.6392
M1239v1TS481_2,TS481,2,v1,0.6486
M1239v1TS481_3,TS481,3,v1,0.6188
M1239v1TS481_3,TS481,3,v1,0.6308
M1239v1TS481_4,TS481,4,v1,0.6313
M1239v1TS481_4,TS481,4,v1,0.6385
M1239v1TS481_5,TS481,5,v1,0.6471
M1239v1TS481_5,TS481,5,v1,0.6577
M1239v1TS489_1,TS489,1,v1,0.5906
M1239v1TS489_1,TS489,1,v1,0.5943
M1239v1TS489_2,TS489,2,v1,0.6033
M1239v1TS489_2,TS489,2,v1,0.6089
M1239v1TS489_3,TS489,3,v1,0.6211
M1239v1TS489_3,TS489,3,v1,0.6267
M1239v1TS489_4,TS489,4,v1,0.606
M1239v1TS489_4,TS489,4,v1,0.6138
M1239v1TS489_5,TS489,5,v1,0.6077
M1239v1TS489_5,TS489,5,v1,0.6192
