Model,Group,Model_Number,Composite_Score_4
R1203TS189_4 v1,TS189,4,9.670062334159377
R1203TS189_2 v1,TS189,2,9.661252538180507
R1203TS052_5 v1,TS052,5,9.631007846279845
R1203TS028_3 v1,TS028,3,9.628761538052903
R1203TS317_5 v1,TS317,5,9.616380017744557
R1203TS456_4 v1,TS456,4,9.611281083146121
R1203TS238_1 v1,TS238,1,9.602686388102972
R1203TS286_5 v1,TS286,5,9.595086275576307
R1203TS294_5 v1,TS294,5,9.585495576777053
R1203TS481_2 v1,TS481,2,9.575009158580803
R1203TS338_2 v1,TS338,2,9.54814739897148
R1203TS435_3 v1,TS435,3,9.527958244739867
R1203TS165_5 v1,TS165,5,9.492208378327016
R1203TS286_4 v1,TS286,4,9.44006477676974
R1203TS435_4 v1,TS435,4,9.375416373448628
R1203TS183_4 v1,TS183,4,9.310623189635677
R1203TS338_3 v1,TS338,3,9.295175265089032
R1203TS267_4 v1,TS267,4,9.293753565485629
R1203TS189_1 v1,TS189,1,9.279041168729433
R1203TS267_5 v1,TS267,5,9.258751341150768
R1203TS448_5 v1,TS448,5,9.242500736411694
R1203TS159_4 v1,TS159,4,9.065286221819076
R1203TS159_5 v1,TS159,5,9.034041631019994
R1203TS189_5 v1,TS189,5,8.974907685631488
R1203TS267_2 v1,TS267,2,8.967866115799676
R1203TS231_1 v1,TS231,1,8.913813849704948
R1203TS156_5 v1,TS156,5,8.907520188329602
R1203TS272_3 v1,TS272,3,8.776270817418158
R1203TS159_3 v1,TS159,3,8.674921015139821
R1203TS267_1 v1,TS267,1,8.64250522917494
R1203TS267_3 v1,TS267,3,8.60500130391
R1203TS417_4 v1,TS417,4,8.512795469480391
R1203TS450_2 v1,TS450,2,8.421302814889732
R1203TS052_2 v1,TS052,2,8.39413659548508
R1203TS456_2 v1,TS456,2,8.34778850117526
R1203TS450_1 v1,TS450,1,8.268750239915857
R1203TS167_3 v1,TS167,3,8.253152233003886
R1203TS156_1 v1,TS156,1,8.222692878750898
R1203TS231_3 v1,TS231,3,8.221353644411082
R1203TS417_1 v1,TS417,1,8.212565784330296
R1203TS358_1 v1,TS358,1,8.1514727126
R1203TS450_3 v1,TS450,3,8.091258479339789
R1203TS358_4 v1,TS358,4,8.085801514
R1203TS183_1 v1,TS183,1,8.042612390517863
R1203TS358_2 v1,TS358,2,8.027438436672423
R1203TS358_3 v1,TS358,3,7.9734035176593965
R1203TS167_5 v1,TS167,5,7.9425003498956
R1203TS110_1 v1,TS110,1,7.933791029623508
R1203TS462_3 v1,TS462,3,7.916300791102252
R1203TS167_4 v1,TS167,4,7.902506281826303
R1203TS110_3 v1,TS110,3,7.876300907566369
R1203TS462_5 v1,TS462,5,7.876300907566369
R1203TS028_1 v1,TS028,1,7.876282452399238
R1203TS169_4 v1,TS169,4,7.770503385
R1203TS272_2 v1,TS272,2,7.758765109934231
R1203TS367_1 v1,TS367,1,7.758753444383939
R1203TS358_5 v1,TS358,5,7.725194548551954
R1203TS235_3 v1,TS235,3,7.717041546394782
R1203TS231_4 v1,TS231,4,7.702500096723361
R1203TS235_1 v1,TS235,1,7.6173942418180856
R1203TS261_3 v1,TS261,3,7.614543210207968
R1203TS462_4 v1,TS462,4,7.595032026634331
R1203TS462_1 v1,TS462,1,7.591258669857514
R1203TS261_1 v1,TS261,1,7.551254178025441
R1203TS235_4 v1,TS235,4,7.51634964650305
R1203TS450_4 v1,TS450,4,7.430000153517193
R1203TS456_5 v1,TS456,5,7.413758858035132
R1203TS052_3 v1,TS052,3,7.383989831977724
R1203TS261_4 v1,TS261,4,7.350001409920263
R1203TS183_3 v1,TS183,3,7.3360676152220305
R1203TS462_2 v1,TS462,2,7.313760088485952
R1203TS110_2 v1,TS110,2,7.313760088485952
R1203TS110_5 v1,TS110,5,7.255011382372388
R1203TS448_1 v1,TS448,1,7.155432008436615
R1203TS450_5 v1,TS450,5,7.150000098076544
R1203TS165_4 v1,TS165,4,7.038390797846586
R1203TS169_3 v1,TS169,3,7.033418335484697
R1203TS169_5 v1,TS169,5,6.83390753427287
R1203TS167_1 v1,TS167,1,6.829903049916011
R1203TS261_5 v1,TS261,5,6.805062298030471
R1203TS110_4 v1,TS110,4,6.765009037014695
R1203TS169_2 v1,TS169,2,6.700006410949048
R1203TS028_2 v1,TS028,2,6.612240154615026
R1203TS261_2 v1,TS261,2,6.520003444359901
R1203TS156_4 v1,TS156,4,6.513409735812698
R1203TS169_1 v1,TS169,1,6.2700005509361985
R1203TS052_4 v1,TS052,4,5.865510270960961
R1203TS448_2 v1,TS448,2,5.647501078732185
R1203TS448_3 v1,TS448,3,4.778387647992316
R1203TS403_1 v1,TS403,1,3.655030714529204
R1203TS298_1 v1,TS298,1,3.6375138799391413
R1203TS423_1 v1,TS423,1,3.6375138799391413
R1203TS317_2 v1,TS317,2,3.306441773892046
R1203TS208_1 v1,TS208,1,3.1262941675386022
R1203TS448_4 v1,TS448,4,2.894025272961802
R1203TS094_5 v1,TS094,5,2.3517583338594195
R1203TS417_3 v1,TS417,3,2.120633184363915
R1203TS317_3 v1,TS317,3,2.0901274803939844
R1203TS028_4 v1,TS028,4,1.3977566286907699
R1203TS094_3 v1,TS094,3,1.1037628428561381
R1203TS094_1 v1,TS094,1,0.9700002440662967
R1203TS456_3 v1,TS456,3,0.5973969009825382
R1203TS094_2 v1,TS094,2,0.39875047637380706
R1203TS094_4 v1,TS094,4,0.17625057828457674
R1203TS156_3 v1,TS156,3,0.1063942036
R1203TS306_1 v1,TS306,1,0.024493052438036383
R1203TS156_2 v1,TS156,2,0.0190165850292252
R1203TS369_1 v1,TS369,1,0.0016059162062069022
R1203TS317_1 v1,TS317,1,4.3720747601875766e-05
R1203TS033_3 v1,TS033,3,1.1200667420151666e-09
R1203TS033_5 v1,TS033,5,1.1200667420151666e-09
R1203TS033_2 v1,TS033,2,1.1200667420151666e-09
R1203TS033_1 v1,TS033,1,1.1200667420151666e-09
R1203TS033_4 v1,TS033,4,1.1200667420151666e-09
