Model,Group,Model Number,Model Version,BestDockQ
M1228v2TS323_1,TS323,1,v2,nan
M1228v2TS494_1,TS494,1,v2,0.16319999999999998
M1228v2TS274_1,TS274,1,v2,0.16319999999999998
M1228v2TS014_1,TS014,1,v2,0.1271
M1228v2TS014_3,TS014,3,v2,0.1384
M1228v2TS014_4,TS014,4,v2,0.1394
M1228v2TS014_2,TS014,2,v2,0.1365
M1228v2TS014_5,TS014,5,v2,0.1392
M1228v2TS456_1,TS456,1,v2,nan
M1228v2TS052_1,TS052,1,v2,nan
M1228v2TS022_1,TS022,1,v2,nan
